ICAO_TYPE_CODE,aircraft,mtow,mlw,oew,mfc,vmo,mmo,ceiling,pax_max,pax_low,pax_high,fuselage_length,fuselage_height,fuselage_width,wing_area,wing_span,wing_mac,wing_sweep,wing_t/c,flaps_type,flaps_area,flaps_bf/b,flaps_lambda_f,flaps_cf/c,flaps_Sf/S,cruise_height,cruise_mach,cruise_range,engine_type,engine_mount,engine_number,engine_default,engine_options_A320-271N,engine_options_A320-272N,engine_options_A320-273N,engine_options_A320-251N,engine_options_A320-252N,engine_options_A320-253N,drag_cd0,drag_k,drag_e,drag_gears,fuel_aircraft,fuel_engine,fuel_fuel_coef,limits_MTOW,limits_MLW,limits_OEW,limits_MFC,limits_VMO,limits_MMO,limits_ceiling,clean_cd0,clean_k,clean_e,clean_gears,GND,CL,CR,DE,LVL,NA,WTC
A20N,Airbus A320neo,79000,66000,44300,29700,350,0.82,12500,194,150,180,37.57,4.14,3.95,124,35.8,4.29,25,0.1092,single-slotted,21.1,0.78,0.9,0.176,0.17,11000,0.78,6300,turbofan,wing,2,PW1127G-JM,PW1127G-JM,PW1124G1-JM,PW1129G-JM,LEAP-1A26,LEAP-1A24,LEAP-1A29,0.017,0.038,0.807,0.017,Airbus A320,CFM56-5B4/P,2.65942225,79000,66000,44300,29700,350,0.82,12500,0.02,0.042,0.797,0.018,0.08,1.05,0.58,0.14,0.48,0.5846,M
A21N,Airbus A321neo,97000,77800,50000,33000,350,0.82,12500,244,180,220,44.51,4.14,3.95,128,35.8,4.29,25,0.10856,double-slotted,21.1,0.78,0.9,0.176,0.17,11000,0.78,7400,turbofan,wing,2,PW1133G-JM,,,,,,,0.017,0.038,0.807,0.017,,CFM56-5B4/P,2.65942225,97000,77800,50000,33000,350,0.82,12500,0.02,0.042,0.797,0.018,0.09,1.15,0.66,0.16,0.54,0.6608,M
A306,Airbus A300-600,178989,142716.5,85905,85021.15,343.6,0.8461,12668,319.66,210.83,262.68,50.84445,4.95875,4.7902,250.632,46.29565,5.879015,27.4645,0.102,single-slotted,38.1902,0.762641568,0.9,0.170045,0.163255,11000,0.799675,7660,turbofan,wing,2.04,,,,,,,,0.019855,0.04023,0.786025,0.01640837,,,4.707164911,178989,142716.5,85905,85021.15,343.6,0.8461,12668,0.02,0.042,0.797,0.018,0.28,2.85,1.35,0.35,1.15,1.4056,H
A318,Airbus A318,68000,57500,39500,24210,350,0.82,12500,136,107,117,31.44,4.14,3.95,122.4,34.1,4.1935,25,0.10936,single-slotted,21.1,0.78,0.9,0.176,0.17,11000,0.78,2800,turbofan,wing,2,CFM56-5B9,,,,,,,0.02,0.039,0.783,0.017,,CFM56-5B9/3,2.03114004,68000,57500,39500,24210,350,0.82,12500,0.02,0.042,0.797,0.018,0.1,1.18,0.62,0.18,0.55,0.634,M
A319,Airbus A319,75500,62500,40800,30190,350,0.82,12500,156,110,140,33.84,4.14,3.95,124,35.8,4.1935,25,0.10936,single-slotted,21.1,0.78,0.9,0.176,0.17,11000,0.78,3300,turbofan,wing,2,V2524-A5,,,,,,,0.02,0.039,0.783,0.017,,V2524-A5,2.33357287,75500,62500,40800,30190,350,0.82,12500,0.02,0.042,0.797,0.018,0.1,1.22,0.65,0.19,0.58,0.663,M
A320,Airbus A320,78000,66000,42600,24210,350,0.82,12500,180,140,170,37.57,4.14,3.95,124,35.8,4.1935,25,0.10888,single-slotted,21.1,0.78,0.9,0.176,0.17,11000,0.78,5000,turbofan,wing,2,CFM56-5B4,,,,,,,0.018,0.039,0.799,0.017,,CFM56-5B4/P,2.65942225,78000,66000,42600,24210,350,0.82,12500,0.02,0.042,0.797,0.018,0.11,1.28,0.69,0.21,0.61,0.7032,M
A321,Airbus A321,93500,77800,48500,30030,350,0.82,12500,220,170,210,44.51,4.14,3.95,128,35.8,4.1935,25,0.1084,double-slotted,21.1,0.78,0.9,0.176,0.165,11000,0.78,4400,turbofan,wing,2,CFM56-5B1,,,,,,,0.02,0.041,0.785,0.019,,V2533-A5,3.2375643,93500,77800,48500,30030,350,0.82,12500,0.02,0.042,0.797,0.018,0.12,1.4,0.78,0.22,0.69,0.7884,M
A332,Airbus A330-200,230000,182000,120200,139000,330,0.86,12500,406,220,260,58.82,5.64,5.64,361.6,60.3,7.26,29.7,0.11,double-slotted,21.1,0.665,0.9,0.15,0.15,11000,0.82,12500,turbofan,wing,2,Trent 772,,,,,,,0.022,0.041,0.774,0.014,,Trent 772,6.0218489,230000,182000,120200,139000,330,0.86,12500,0.02,0.042,0.797,0.018,0.26,3.1,1.55,0.35,1.38,1.5902,H
A333,Airbus A330-300,242000,188000,122780,139000,330,0.86,12500,440,250,290,63.67,5.64,5.64,361.6,60.3,7.26,29.7,0.11,double-slotted,22.30886996,0.665,0.9,0.15,0.15,11000,0.82,10500,turbofan,wing,2,Trent 772,,,,,,,0.022,0.041,0.773,0.014,,Trent 772,5.84957777,242000,188000,122780,139000,330,0.86,12500,0.02,0.042,0.797,0.018,0.27,3.25,1.6,0.36,1.42,1.6464,H
A359,Airbus A350-900,280000,205000,142400,140795,340,0.89,13100,440,300,350,66.8,6.09,5.96,442,64.75,6.01358,31.9,0.09672,double-slotted,26.85375,0.738002665,0.9,0.15,0.15,11000,0.85,15000,turbofan,wing,2,Trent XWB-84,,,,,,,0.022,0.043,0.783,0.013,,,3.08635534,280000,205000,142400,140795,340,0.89,13100,0.02,0.042,0.797,0.018,0.25,2.95,1.58,0.3,1.35,1.594,H
