,idx,fuel_kg,mtow,mlw,oew,mfc,vmo,mmo,ceiling,pax_max,pax_low,pax_high,fuselage_length,fuselage_height,fuselage_width,wing_area,wing_span,wing_mac,wing_sweep,wing_t/c,flaps_area,flaps_bf/b,flaps_lambda_f,flaps_cf/c,flaps_Sf/S,cruise_height,cruise_mach,cruise_range,engine_number,drag_cd0,drag_k,drag_e,drag_gears,fuel_fuel_coef,limits_MTOW,limits_MLW,limits_OEW,limits_MFC,limits_VMO,limits_MMO,limits_ceiling,engine_options_A318-111,engine_options_A318-112,engine_options_A318-121,engine_options_A318-122,clean_cd0,clean_k,clean_e,clean_gears,segment_duration_s,segment_distance_km,mean_dist_to_origin_km,mean_dist_to_dest_km,takeoff_fraction,climb_fraction,cruise_fraction,descent_fraction,approach_fraction
idx,1.0,-0.2825219732297827,-0.14168025144866966,-0.135970387665224,-0.13265405843609177,-0.11556525640255216,0.1261570556383282,-0.14441682736803785,-0.17040745667346602,-0.13042692996805047,-0.1723592362556358,-0.17596725902077784,-0.1699625992536115,-0.09558384200934876,-0.10919122461619388,-0.1376914892774747,-0.11663743351650191,-0.07712536773366332,-0.13455324391411663,0.21412250387117396,-0.10553855542567354,0.16715595746293851,,0.17872371350238542,0.2147341410563536,,-0.17062142938317118,-0.06589404056490818,-0.0371476705372744,-0.20558199118309703,-0.2600336708286811,0.15432774371743088,0.06958829017204049,-0.02507190028951798,-0.14168025144866966,-0.135970387665224,-0.13265405843609177,-0.11556525640255216,0.1261570556383282,-0.14441682736803785,-0.17040745667346602,,,,,,,,,-0.24913365429276668,-0.202082632355082,0.08870702017946899,0.0668008090029176,-0.0487671466952025,0.05446017167430458,-0.025897139254366614,-0.007910056638063778,
fuel_kg,-0.2825219732297827,1.0,0.5103688989278907,0.5028956871574077,0.49665681600483846,0.47144188208138194,-0.1638954513020409,0.5202576471142983,0.47957903972103744,0.4739593471601331,0.48967361273380194,0.49225626038916886,0.5172209426624762,0.4707912820382323,0.48612392149115363,0.5074927561146163,0.4812031117388331,0.4275086146856468,0.5048253231949805,-0.48960988423792595,0.37059041693748623,-0.2354697265919048,,-0.3253255372824934,-0.40654669850992714,,0.5292149266138005,0.3769549617493115,0.1659608460693987,0.5243356049112515,0.526865596026915,-0.41511478532110085,-0.427352342880369,0.2314816389829032,0.5103688989278907,0.5028956871574077,0.49665681600483846,0.47144188208138194,-0.1638954513020409,0.5202576471142983,0.47957903972103744,,,,,,,,,0.7226438802642345,0.7208642723998262,0.020137798529613834,0.06840757360528914,-0.019752263970539943,-0.1501884391093368,0.18821599217397822,-0.019586778776095302,
mtow,-0.14168025144866966,0.5103688989278907,1.0,0.9968223030252406,0.9976481328355353,0.9882940452590072,-0.21795444910051967,0.9868929346620438,0.7666049536789356,0.9905055818091174,0.9383717269870822,0.9435852200537157,0.9822426579067085,0.9765911018345448,0.9875154062719369,0.9952646997746125,0.9802942367951519,0.9430737878299152,0.9926758426789385,-0.680747707640244,0.5825764465797961,-0.39060678000517024,,-0.5417339251237202,-0.6955334405514367,,0.9710759286252348,0.900205697874384,0.3969261384263646,0.8286711676771316,0.7069728796056964,-0.6540776510426297,-0.8898254602667949,0.6724874435920138,1.0,0.9968223030252406,0.9976481328355353,0.9882940452590072,-0.21795444910051967,0.9868929346620438,0.7666049536789356,,,,,,,,,0.10232313412736814,0.10973943386286175,0.1516795440109786,0.5227466713680035,-0.04393234781159055,-0.04854782750911507,0.09041180815379285,-0.026481301992808643,
mlw,-0.135970387665224,0.5028956871574077,0.9968223030252406,1.0,0.9981900059835118,0.9931209488509741,-0.23910553616565489,0.9774157544924034,0.7179682474292335,0.9881044124313904,0.9115298049795247,0.9189077500433751,0.9864346883537527,0.9683584688917997,0.9924168778409048,0.9967609229610878,0.9906587060456375,0.9481335802044765,0.9831109136945361,-0.638334290436617,0.5280716191772864,-0.40134965431132075,,-0.5737652154676921,-0.7074622035834912,,0.9688062881303331,0.905783474142502,0.340247522358755,0.8465771863911237,0.6907259542275638,-0.6955108700959336,-0.9024547161418236,0.7213768544568508,0.9968223030252406,1.0,0.9981900059835118,0.9931209488509741,-0.23910553616565489,0.9774157544924034,0.7179682474292335,,,,,,,,,0.09567150923808806,0.10439579703565713,0.15627885070139946,0.5320079709065255,-0.04448982427228957,-0.052196071312978404,0.09520686887143931,-0.028430318587812618,
oew,-0.13265405843609177,0.49665681600483846,0.9976481328355353,0.9981900059835118,1.0,0.992082372607468,-0.22658200200028192,0.9831215034126878,0.7405597936860576,0.989451682236209,0.9211086006605105,0.9286678823493574,0.9822005956403098,0.9754274218718338,0.9931283507094332,0.9978951252260752,0.9900280096778044,0.9409808580729042,0.9880079565337326,-0.6565303384817907,0.5349879682203013,-0.37751114629259835,,-0.5519596487581675,-0.6886991761758576,,0.9706170025105438,0.9225505575725433,0.356818954458413,0.8199747178949626,0.6706797282169867,-0.660577932841623,-0.9067959170164218,0.6971592139163802,0.9976481328355353,0.9981900059835116,1.0,0.992082372607468,-0.22658200200028192,0.9831215034126878,0.7405597936860576,,,,,,,,,0.09453798184362149,0.09957478655510268,0.1510638155994301,0.5430668794565962,-0.04102176669317742,-0.04629603706708062,0.08605642803930473,-0.029432049516167395,
mfc,-0.11556525640255216,0.47144188208138194,0.9882940452590072,0.9931209488509741,0.992082372607468,1.0,-0.26792189702840546,0.9610758960853127,0.6791697847949313,0.9874244325538711,0.8988230105029593,0.9030600568861696,0.9691751499574027,0.9633090171688589,0.9891476717814014,0.9883583000423692,0.9858296445588208,0.9704952991605231,0.9722084694221163,-0.5791013245758437,0.5318331081964456,-0.4092037335299183,,-0.5671671631206119,-0.698389122077341,,0.9499416776492634,0.9158475512033954,0.34123965451652927,0.8152639043043316,0.6512837170641231,-0.6617037086471897,-0.9051026118849474,0.7518511913439829,0.9882940452590072,0.9931209488509741,0.992082372607468,1.0,-0.26792189702840546,0.9610758960853127,0.6791697847949313,,,,,,,,,0.08254590909102666,0.09469765551516124,0.13566219461187826,0.5586757809045038,-0.043456105448068556,-0.056231826098882325,0.09818466904442069,-0.02062262314432663,
vmo,0.1261570556383282,-0.1638954513020409,-0.21795444910051967,-0.23910553616565489,-0.22658200200028192,-0.26792189702840546,1.0,-0.12133789076410126,0.10931483911295706,-0.2207956099435591,-0.13948651611297885,-0.1486622594413344,-0.24574894545904474,-0.13934300712660153,-0.22206695317604497,-0.24259339607694017,-0.2573287334167299,-0.27937586459045827,-0.1536610116279706,-0.148751933228568,-0.008750981072356579,0.4058720918618647,,0.4058559449678207,0.36927063765112594,,-0.19787679277309642,-0.15215817323688408,0.11664350832080002,-0.31770148614813887,-0.24308270774990395,0.3364195355124461,0.27595895143439675,-0.42562276254221854,-0.2179544491005198,-0.23910553616565514,-0.2265820020002821,-0.2679218970284058,1.0,-0.12133789076410126,0.10931483911295706,,,,,,,,,-0.039221670159225376,0.060701844586170776,0.7907459580894363,-0.28863853095517744,0.021947144328622888,0.05579296799077022,-0.07538700067142005,-0.03827582110111181,
mmo,-0.14441682736803785,0.5202576471142983,0.9868929346620438,0.9774157544924034,0.9831215034126878,0.9610758960853127,-0.12133789076410126,1.0,0.838393876016823,0.9639349162954018,0.9392658607456243,0.9415099233217209,0.9599983891298995,0.9680000115228847,0.9718994938059018,0.9851422349284067,0.9620419192605921,0.8963060755940504,0.9934440364617182,-0.7723956500631954,0.6028776444225294,-0.3532262720436293,,-0.5217259092100304,-0.6721919580291863,,0.9823089274184441,0.8941782785032822,0.3999399853545335,0.8009065933347072,0.7108849507602785,-0.604256479630969,-0.8925149402795949,0.5687882223005201,0.9868929346620438,0.9774157544924028,0.9831215034126877,0.9610758960853124,-0.1213378907641012,1.0,0.838393876016823,,,,,,,,,0.1081906558711293,0.11521510264502448,0.2208551923591162,0.5091086516445036,-0.03655722611716008,-0.03606917278116239,0.06978174485589514,-0.017569471950527136,
ceiling,-0.17040745667346602,0.47957903972103744,0.7666049536789356,0.7179682474292335,0.7405597936860576,0.6791697847949313,0.10931483911295706,0.838393876016823,1.0,0.7270717994051944,0.8759405925336797,0.867067178558792,0.7084005357402163,0.7794102118822902,0.7049104513235879,0.7418830348896798,0.6658673197092729,0.5960737808842916,0.8169633187844882,-0.9493306420444075,0.7754878303784255,-0.1585419086498921,,-0.2056348190806618,-0.42970803440361033,,0.7863633499033162,0.6433022715872252,0.60223118403415,0.5161494977962819,0.665743333796065,-0.22106245361535534,-0.6013653295086341,0.051571393169361636,0.7666049536789356,0.7179682474292335,0.7405597936860574,0.6791697847949321,0.10931483911295693,0.8383938760168231,1.0,,,,,,,,,0.1400024085575161,0.13205632058509348,0.19626123960652225,0.3136686846728699,-0.020575149632177027,0.006365034290584869,0.008974781591692044,-0.01143480373038449,
pax_max,-0.13042692996805047,0.4739593471601331,0.9905055818091174,0.9881044124313904,0.989451682236209,0.9874244325538711,-0.2207956099435591,0.9639349162954018,0.7270717994051944,1.0,0.9443524296473006,0.950807077966354,0.977998028794079,0.9675366325022838,0.9734088328427749,0.9795340841431056,0.9666695194700969,0.9524008468155959,0.9789644597303934,-0.6263492363754956,0.5667297443189449,-0.4046875201061113,,-0.5283653070355682,-0.6932941415953922,,0.945277318104913,0.9083461241453852,0.4271743915008327,0.7896658750003449,0.6683251284311912,-0.6152071986928309,-0.8610108403053877,0.7076512494532584,0.9905055818091172,0.9881044124313904,0.989451682236209,0.9874244325538711,-0.22079560994355898,0.9639349162954022,0.7270717994051942,,,,,,,,,0.09178225526311054,0.10395041450670117,0.14458979291440727,0.5219851268546946,-0.05023443464027573,-0.04548632111865384,0.09353098676389546,-0.04449264304621638,
