,idx,fuel_kg,mtow,mlw,oew,mfc,vmo,mmo,ceiling,pax_max,pax_low,pax_high,fuselage_length,fuselage_height,fuselage_width,wing_area,wing_span,wing_mac,wing_sweep,wing_t/c,flaps_area,flaps_bf/b,flaps_lambda_f,flaps_cf/c,flaps_Sf/S,cruise_height,cruise_mach,cruise_range,engine_number,drag_cd0,drag_k,drag_e,drag_gears,fuel_fuel_coef,limits_MTOW,limits_MLW,limits_OEW,limits_MFC,limits_VMO,limits_MMO,limits_ceiling,engine_options_A318-111,engine_options_A318-112,engine_options_A318-121,engine_options_A318-122,clean_cd0,clean_k,clean_e,clean_gears,segment_duration_s,segment_distance_km,mean_dist_to_origin_km,mean_dist_to_dest_km,takeoff_fraction,climb_fraction,cruise_fraction,descent_fraction,approach_fraction
idx,1.0,-0.11173689091510383,-0.09946736478394556,-0.10303415771096863,-0.10284848356252242,-0.10928787383143869,-0.11697985778000494,-0.12814145226519208,-0.10676843076331906,-0.09643987306215793,-0.07119518483434441,-0.06810117132589891,-0.10503126615822228,-0.09213470133965629,-0.10894543267237437,-0.11196410424684045,-0.11355635872939117,-0.0905730349909707,-0.11851869013692663,0.1359837157808344,-0.09793126440277197,0.2140095550590704,0.009223271312138447,0.20011908502542092,0.19151841698659236,,-0.1374082029836572,-0.11196153279197346,0.056037743566231986,-0.042491331624103436,-0.1267524627234309,-0.009977054996174718,0.1309059059281897,-0.1659958522943206,-0.09946736478394556,-0.10303415771096863,-0.10284848356252242,-0.10928787383143869,-0.11697985778000494,-0.12814145226519208,-0.10676843076331906,,,,,,-0.03836721641268795,-0.12814462817989242,,-0.12584506157837358,-0.08409619379348758,-0.06910022347671112,-0.0669900601116718,-0.002170748417009348,0.005606912015559421,-0.0051342770318752355,-0.005388420136105911,0.014189948023024928
fuel_kg,-0.11173689091510383,1.0,0.5649570368874068,0.5589039620391721,0.5563666062511687,0.5491716763998815,0.02764429628874369,0.5188945277898082,0.5169839049765941,0.5584829324989852,0.56597651427579,0.5734942622854791,0.556656480246725,0.5329913660636202,0.5382043894512129,0.540009476799918,0.5307622716859302,0.529386434831668,0.5242288137155471,-0.4968554350455017,0.4473766203823877,-0.14850008955570912,-0.011659866048840891,-0.38778410268480945,-0.4420774539220624,,0.5168890177906761,0.5023688386145126,0.1233935973619949,0.5042439243986849,0.5044381155701861,-0.3941659205146519,-0.44989423453423333,0.18585740778149007,0.5649570368874068,0.5589039620391721,0.5563666062511687,0.5491716763998815,0.02764429628874369,0.5188945277898082,0.5169839049765941,,,,,,0.008424465456378634,0.03600550089215386,,0.8109849067072092,0.36389330609832227,0.3782334121033048,0.39260054326796995,-0.0066249004644613925,0.005749218115878983,0.048945906058581144,-0.05032027944468474,-0.049331438097101124
mtow,-0.09946736478394556,0.5649570368874068,1.0,0.9985288212280955,0.9985990467648004,0.9925918803632935,0.17292433108618513,0.9644471798690248,0.9164552124999279,0.9954375882259079,0.9663125371311291,0.9618152296055231,0.9923759988040233,0.9843107805864887,0.9897331339463221,0.9922266442344889,0.9855460878128067,0.9119123109242441,0.977859201291325,-0.8760846121757677,0.6108383388939773,-0.32171214467263387,-0.010358601480533566,-0.7492033651183349,-0.8405057927306495,,0.965644350516792,0.954752319131746,0.21429010033003723,0.8371407452716452,0.860904437862432,-0.6166980369527377,-0.9112001699920845,0.465054252684255,1.0,0.9985288212280955,0.9985990467648004,0.9925918803632935,0.17292433108618513,0.9644471798690248,0.9164552124999279,,,,,,-0.026010363948971698,0.062160868340304126,,0.27670819353464254,0.1373239428901683,0.6434575968986161,0.6367589879696912,-0.011549026131997537,-0.08748170394965292,0.1450397654282393,-0.1059474266202005,-0.052995883948332545
mlw,-0.10303415771096863,0.5589039620391721,0.9985288212280955,1.0,0.9989219163642574,0.9953137521728715,0.18357082131207142,0.9643790519643588,0.9022204643365452,0.9944436574897582,0.9531482986768697,0.9489304753415571,0.9936422703228918,0.982255848206628,0.9929975844223319,0.9934214647972601,0.9907165738912372,0.9149804770811937,0.9767050331587599,-0.8671509898567525,0.5879879040717325,-0.331392669488483,-0.014195527472806866,-0.768438317519782,-0.8489961947424333,,0.9673695003581682,0.9590983126078654,0.1797311787821628,0.8415108912015956,0.8506103827720747,-0.6306204894601269,-0.9193753686288577,0.49810301870694557,0.9985288212280955,1.0,0.9989219163642574,0.9953137521728715,0.18357082131207142,0.9643790519643588,0.9022204643365452,,,,,,-0.02584352153410321,0.06596145687855265,,0.2727519982302108,0.13673878546656626,0.6439781868566405,0.633205207292804,-0.011713697968663934,-0.08999247351754656,0.14721829452482915,-0.10699890600676734,-0.05279879333046619
oew,-0.10284848356252242,0.5563666062511687,0.9985990467648004,0.9989219163642574,1.0,0.9935656610622996,0.1848044817173953,0.9687280031528719,0.913606070442474,0.9931790353327454,0.9559673911531575,0.9516290823689794,0.9929828861440398,0.9857682158063836,0.9941679023410436,0.9962882757793207,0.9926120105258708,0.9029303248877459,0.9806021497279253,-0.8771508161816878,0.5827939558665622,-0.3198697392093005,-0.005076653783150786,-0.7637656979834682,-0.8443908521031421,,0.972121362956737,0.9668548704406735,0.18497039148998878,0.8281812837051062,0.845686547213804,-0.6113116655619465,-0.9274744560388377,0.48358406936993165,0.9985990467648003,0.9989219163642574,1.0,0.9935656610622996,0.1848044817173953,0.9687280031528719,0.913606070442474,,,,,,-0.027481525111926502,0.06807393883688917,,0.2742823040763978,0.13549740829473716,0.6485421897119653,0.6405724195711572,-0.011362467852478852,-0.09037548469133719,0.14810089423619033,-0.10781760445638576,-0.053091140356168215
mfc,-0.10928787383143869,0.5491716763998815,0.9925918803632935,0.9953137521728715,0.9935656610622996,1.0,0.20376247820537574,0.9608974144595404,0.884993267593115,0.9922699155515976,0.9384151389195193,0.9314066617995149,0.9812368299471753,0.9830592886181405,0.9930234563309694,0.9884902004098264,0.98786808315164,0.9395428886143768,0.9754265224468949,-0.8462698589060418,0.6132438121023791,-0.35989036710464767,-0.01019119503121112,-0.7616731730904479,-0.8475522007833856,,0.9595322566875865,0.9562955412056198,0.19640399031571862,0.814962705651987,0.83539717265807,-0.5977767560206857,-0.9204229601527076,0.556883998303165,0.9925918803632935,0.9953137521728715,0.9935656610622996,1.0,0.20376247820537574,0.9608974144595404,0.884993267593115,,,,,,-0.0291983607260442,0.08171290304726266,,0.26671837518056546,0.13194566402877744,0.6385102178227742,0.6218161691176092,-0.01105976217069887,-0.0897130464777617,0.14609456166127563,-0.10666853389182128,-0.050916502372464124
vmo,-0.11697985778000494,0.02764429628874369,0.17292433108618513,0.18357082131207142,0.1848044817173953,0.20376247820537574,1.0,0.39982976646525503,0.3567224324704458,0.17358397987712101,0.04722731950105884,0.007565558767203744,0.138482674793853,0.26492835024044425,0.2506755466982373,0.20067920041307977,0.22094122676743605,0.20214519978232778,0.3393035262469478,-0.46701598853008797,0.30800354269161767,-0.16174570234736851,0.010460946212027209,-0.2384654682949034,-0.24164706085089038,,0.3363025807281168,0.30711094543711487,0.0064170524228348794,-0.2055628502511244,0.04647983785368477,0.40326647805827276,-0.2979815264721342,0.4108933076418545,0.17292433108618518,0.18357082131207145,0.18480448171739536,0.2037624782053758,1.0,0.39982976646525503,0.3567224324704458,,,,,,-0.014193327446408461,0.34924386929058016,,0.026045695569947548,-0.0027747326611609656,0.1213109331090955,0.2124334795595614,-0.0030992677886824073,-0.03712887466695601,0.06394617474769355,-0.04799846005498153,-0.023595998521001155
mmo,-0.12814145226519208,0.5188945277898082,0.9644471798690248,0.9643790519643588,0.9687280031528719,0.9608974144595404,0.39982976646525503,1.0,0.9584301484573041,0.9524735999172341,0.902829109848627,0.8868258456242466,0.9507517827745933,0.9762577193922357,0.9787239502752776,0.9752898545481398,0.9716186855049995,0.8539933535147883,0.9944625391155462,-0.9489337257569299,0.6071602268224139,-0.33579906541267557,-0.0005339036353576638,-0.7703571243811564,-0.8467010290032887,,0.9923176495604161,0.9685915567000606,0.17586292573749102,0.712211974438906,0.8185057296943695,-0.44680900893819947,-0.9455450861687912,0.49251411944342177,0.9644471798690246,0.9643790519643586,0.9687280031528718,0.9608974144595398,0.39982976646525503,1.0,0.9584301484573041,,,,,,-0.027905987045680467,0.1482330246787693,,0.2640267606830223,0.12736109426463407,0.636946738972501,0.6554553789293205,-0.011439019300080665,-0.09103114236259859,0.15349402443211416,-0.1123684953059025,-0.058240302807720544
ceiling,-0.10676843076331906,0.5169839049765941,0.9164552124999279,0.9022204643365452,0.913606070442474,0.884993267593115,0.3567224324704458,0.9584301484573041,1.0,0.8956942487990037,0.9117119301616456,0.8956602401020941,0.8957311995122162,0.929619702340036,0.9096709812338605,0.9192960322836378,0.8964008936570814,0.754138331961366,0.9504208148173715,-0.976995126921321,0.6527964185428851,-0.2379027946301602,0.005431032002415307,-0.652813469956932,-0.76133316538073,,0.9459889182326495,0.905338183754203,0.2819629696693858,0.6510851560888253,0.8251341645966526,-0.35148564202921845,-0.8667274049743148,0.25786783022889936,0.9164552124999279,0.9022204643365448,0.9136060704424741,0.8849932675931153,0.3567224324704459,0.9584301484573041,1.0,,,,,,-0.02527060180929411,0.12582677648383092,,0.27218601712662727,0.1280267866963535,0.6070346567579221,0.652399664436301,-0.010320338668952211,-0.07690075429217982,0.13896380001894182,-0.1030806524819705,-0.05932395716304002
pax_max,-0.09643987306215793,0.5584829324989852,0.9954375882259079,0.9944436574897582,0.9931790353327454,0.9922699155515976,0.17358397987712101,0.9524735999172341,0.8956942487990037,1.0,0.9670119948122913,0.9625392465276431,0.9873556491833162,0.9812452069195061,0.9824005022517331,0.9825230648564571,0.9765760335122122,0.9297784790864964,0.971171896730999,-0.8499348362814109,0.6173518297134383,-0.33935211971705975,-0.011750678647824397,-0.7314162441698799,-0.8356655077971316,,0.9496741908023948,0.9475054145425265,0.2563171229317424,0.8254862113017907,0.8462449221562492,-0.607316334886082,-0.8922795079919683,0.49859712911139387,0.9954375882259078,0.9944436574897582,0.9931790353327453,0.9922699155515978,0.17358397987712104,0.9524735999172345,0.8956942487990036,,,,,,-0.021088089903361626,0.06516276369238974,,0.26873960934777497,0.13263615336581105,0.6285040145054112,0.6216033079396601,-0.011032715395950899,-0.0869752827912788,0.14231086554989128,-0.10359834367836013,-0.05079656941946918
