,idx,fuel_kg,mtow,mlw,oew,mfc,vmo,mmo,ceiling,pax_max,pax_low,pax_high,fuselage_length,fuselage_height,fuselage_width,wing_area,wing_span,wing_mac,wing_sweep,wing_t/c,flaps_area,flaps_bf/b,flaps_lambda_f,flaps_cf/c,flaps_Sf/S,cruise_height,cruise_mach,cruise_range,engine_number,drag_cd0,drag_k,drag_e,drag_gears,fuel_fuel_coef,limits_MTOW,limits_MLW,limits_OEW,limits_MFC,limits_VMO,limits_MMO,limits_ceiling,engine_options_A318-111,engine_options_A318-112,engine_options_A318-121,engine_options_A318-122,clean_cd0,clean_k,clean_e,clean_gears,segment_duration_s,segment_distance_km,mean_dist_to_origin_km,mean_dist_to_dest_km,takeoff_fraction,climb_fraction,cruise_fraction,descent_fraction,approach_fraction
idx,1.0,-0.2220603661492257,-0.16712624553128638,-0.16785673573432955,-0.16299141840401576,-0.14590136441789195,-0.04511425608665769,-0.18690270595769687,-0.17896878171638142,-0.15408096341071936,-0.1793799861077204,-0.1763563163715234,-0.19498334775855378,-0.10570869744977211,-0.13913858161875975,-0.172327348374793,-0.15806227870580825,-0.10235884768063495,-0.16937553199414304,0.23928287115967997,-0.04515679786539795,0.26122334152378746,,0.3145556980442584,0.30672388025747893,,-0.22770219366118033,-0.1116017806486147,0.0650846634712985,-0.2377157449145558,-0.2822725842050779,0.1911119833408789,0.1617972036140401,-0.058892979407861534,-0.16712624553128638,-0.16785673573432955,-0.16299141840401576,-0.14590136441789195,-0.04511425608665769,-0.18690270595769687,-0.17896878171638142,,,,,,,,,-0.2627999482039957,-0.181355310293127,0.048897192396296016,0.012815000177030552,,-0.022423328340159004,-0.10488222876561303,0.1297750974526869,-0.07134648357004918
fuel_kg,-0.2220603661492257,1.0,0.41064635000253286,0.4086106612606263,0.4025240713477068,0.381106720194228,0.2021337276219165,0.41056338738137016,0.3681674679451762,0.39634859296015906,0.3892478855414391,0.40289671096091234,0.4091582378349992,0.3698132073321451,0.3865476710799555,0.3814720811887718,0.381129727860742,0.37327177494308944,0.39017797350858724,-0.40934727718442754,0.3223790264316004,-0.09156557105575237,,-0.2745424452687986,-0.2754278274611234,,0.39961227262519006,0.3470968427326146,-0.00920119595046403,0.39396328481988224,0.2803722378094018,-0.37964214661575996,-0.29498261752672483,0.18565968780852274,0.41064635000253286,0.4086106612606263,0.4025240713477068,0.381106720194228,0.2021337276219165,0.41056338738137016,0.3681674679451762,,,,,,,,,0.777788773164387,0.5364036167844843,0.1915803663343556,0.14784092169290328,,0.0851752243507819,0.3107315442494409,-0.28738226774465964,0.044284880545860605
mtow,-0.16712624553128638,0.41064635000253286,1.0,0.9979441992721988,0.9980391187978317,0.9893420198942907,0.08805028932877974,0.9747169306443609,0.7919074703420497,0.9912961073983139,0.95520727443435,0.953719832966857,0.9870487789265083,0.974950916606378,0.9881279331818049,0.9930028763914017,0.9837397928253736,0.9452666863059861,0.9863949045519457,-0.7212763975634395,0.598868603034807,-0.31866723606912345,,-0.6266550109632002,-0.6975931784826771,,0.9668962304526828,0.9143146200262137,0.236854747072663,0.8784440341355054,0.685272159581678,-0.7743081378872132,-0.8923597360411128,0.6524566127330654,1.0,0.9979441992721988,0.9980391187978317,0.9893420198942907,0.08805028932877974,0.9747169306443609,0.7919074703420497,,,,,,,,,0.20889464186217993,0.11701458618565734,0.549970893763661,-0.034167412793805,,0.017325964575627073,0.09303931866993559,-0.10424448187831516,0.0446103155030934
mlw,-0.16785673573432955,0.4086106612606263,0.9979441992721988,1.0,0.9984872533734902,0.9932109795121608,0.08678985479933281,0.9694763355735053,0.7586992320695167,0.9911820600615918,0.937990109006653,0.9370833048089579,0.9886591443691451,0.9726886020293858,0.9917327191300535,0.9946276806123246,0.9908222530916913,0.9505365565120925,0.983147145785591,-0.691870925352261,0.5599174154022706,-0.33170192681053345,,-0.6456614263725399,-0.7080114100218194,,0.9650659783545444,0.9171271096633544,0.20125814447610454,0.8884696204830811,0.6760055270692703,-0.798382591808414,-0.9026492250403889,0.6926903935381882,0.9979441992721986,1.0,0.9984872533734902,0.9932109795121608,0.08678985479933281,0.9694763355735053,0.7586992320695167,,,,,,,,,0.20551333963539678,0.11599332339738753,0.5347075620219877,-0.030376250832101093,,0.01830297141259924,0.09951859071607713,-0.1076837756458211,0.041150600346712744
oew,-0.16299141840401576,0.4025240713477068,0.9980391187978317,0.9984872533734902,1.0,0.9922972518466714,0.08755949345379735,0.9727810670473584,0.7736262484840287,0.9912997873800669,0.9431260338073935,0.9427169556142573,0.985434616633282,0.9784201959898192,0.9929990580722169,0.996105041587686,0.991711085289356,0.9427173411845925,0.9863655695416139,-0.7021944708274459,0.557684708486706,-0.3089214058080889,,-0.6290066414354007,-0.691652800099559,,0.9663440938381939,0.9321850462663871,0.21315093034346777,0.8679983957456414,0.65584938989866,-0.773733617347323,-0.9079948979921662,0.6751441352046672,0.9980391187978317,0.9984872533734901,1.0,0.9922972518466714,0.08755949345379735,0.9727810670473584,0.7736262484840287,,,,,,,,,0.2049775227647016,0.11544453274740292,0.5541123937129766,-0.031901855748907165,,0.015041384092133372,0.09610388420483117,-0.10619705702594226,0.04355621276078569
mfc,-0.14590136441789195,0.381106720194228,0.9893420198942907,0.9932109795121608,0.9922972518466714,1.0,0.04089376961532708,0.9500066323144662,0.7139129898503964,0.9889539286919642,0.922843702160126,0.9191852170125219,0.9728811192121988,0.969036108338075,0.9896805653447235,0.9883660427125935,0.9878923878380802,0.97079118630109,0.9714524291297696,-0.629849730704509,0.5579360873726747,-0.34196289571793803,,-0.6374111310528239,-0.6993217838382673,,0.9453232921091662,0.920163264334399,0.20636295706879443,0.8640405881727785,0.6428813883971656,-0.774202625943808,-0.9069994752922579,0.7321484911356321,0.9893420198942908,0.9932109795121606,0.9922972518466716,1.0,0.04089376961532708,0.9500066323144662,0.7139129898503964,,,,,,,,,0.18806319357190407,0.108946307298805,0.5382147571215955,-0.025598134142842257,,0.014964274614050593,0.10356257025941952,-0.10748212084616,0.03498557167472202
vmo,-0.04511425608665769,0.2021337276219165,0.08805028932877974,0.08678985479933281,0.08755949345379735,0.04089376961532708,1.0,0.25272883527739015,0.3461220372191217,0.0770462790059826,0.07954390821268388,0.051114058881787786,0.08440876453700813,0.1388184605254184,0.10140442006281335,0.07817002186380077,0.07950973895801525,-0.01617413068701555,0.18915139101508735,-0.43458887619721753,-0.06682247311799043,0.2148826600478071,,0.01602810846184994,0.012940588243928736,,0.19525874332392085,0.16744528913746912,0.03576006173366742,0.028356865673014518,-0.009934225745611537,0.02570083722804279,-0.07924165691897021,-0.20211422385787262,0.08805028932877976,0.08678985479933282,0.08755949345379746,0.040893769615327105,1.0,0.25272883527739015,0.3461220372191217,,,,,,,,,0.15801478392198956,0.09983240557978496,0.0867175937851305,-0.024616400602706576,,-0.015063804621550833,0.0571411376078907,-0.06972321631928377,0.037404552679289944
mmo,-0.18690270595769687,0.41056338738137016,0.9747169306443609,0.9694763355735053,0.9727810670473584,0.9500066323144662,0.25272883527739015,1.0,0.8712740788866093,0.9529943946638336,0.9372791079746254,0.9254078974878034,0.9579835177660067,0.9596329265867545,0.9659470060996199,0.9753629145722917,0.9591656780241419,0.8833579151940236,0.9885113849696093,-0.811643225912955,0.5659773467197399,-0.27436508478656246,,-0.6075156992002405,-0.678571413553693,,0.9853971996853601,0.9068357749685598,0.2314202192149517,0.8522988127010788,0.7018434512536693,-0.7132742184555109,-0.8986442318781847,0.5382332279683256,0.9747169306443612,0.9694763355735053,0.9727810670473583,0.9500066323144662,0.25272883527739004,1.0,0.8712740788866093,,,,,,,,,0.2296568927793093,0.12217933823044251,0.5639351136790012,-0.046771883224590284,,-0.0019259109762642848,0.08075873365824593,-0.1052387817310214,0.06422435230754327
ceiling,-0.17896878171638142,0.3681674679451762,0.7919074703420497,0.7586992320695167,0.7736262484840287,0.7139129898503964,0.3461220372191217,0.8712740788866093,1.0,0.7458344198414142,0.8621176221189987,0.846590107387688,0.758207366831273,0.7826955371205595,0.7479951338834276,0.7729702836103988,0.7197730056411765,0.621000961576111,0.8288809703693122,-0.9556346890437681,0.6837625860272661,-0.08953405822509766,,-0.36847576706484736,-0.47341692083704434,,0.8364853793105808,0.7137880741892653,0.3696755477722649,0.6302481912610205,0.6518130116326256,-0.41490399773340814,-0.656859279294681,0.07329498330448812,0.7919074703420498,0.7586992320695167,0.7736262484840288,0.713912989850396,0.34612203721912205,0.8712740788866097,1.0,,,,,,,,,0.23637566950680827,0.10948856893792358,0.5658444850747141,-0.0733347827582214,,-0.025710918339228946,0.01497471128991596,-0.06590535892879242,0.09187257165793668
pax_max,-0.15408096341071936,0.39634859296015906,0.9912961073983139,0.9911820600615918,0.9912997873800669,0.9889539286919642,0.0770462790059826,0.9529943946638336,0.7458344198414142,1.0,0.9560993152195034,0.956294392421002,0.986323082780442,0.9646974714851146,0.976766978470114,0.9803499044823137,0.9748061431847742,0.9513769883712528,0.9721311067076837,-0.6701559695016325,0.5675330189587355,-0.33619937417456736,,-0.6238058501509208,-0.6989813303817196,,0.9449019007865009,0.9251083517203594,0.2595883990794873,0.8468970441818885,0.6460059309450118,-0.7468186327238745,-0.8758685044101786,0.6956954211713173,0.9912961073983139,0.9911820600615918,0.991299787380067,0.9889539286919642,0.0770462790059826,0.9529943946638342,0.7458344198414141,,,,,,,,,0.196842055723471,0.11885979966684006,0.5350362241078713,-0.029733168829119205,,0.03413573831011957,0.10069876904207704,-0.10264490105344655,0.03065451909729874
