,idx,fuel_kg,mtow,mlw,oew,mfc,vmo,mmo,ceiling,pax_max,pax_low,pax_high,fuselage_length,fuselage_height,fuselage_width,wing_area,wing_span,wing_mac,wing_sweep,wing_t/c,flaps_area,flaps_bf/b,flaps_lambda_f,flaps_cf/c,flaps_Sf/S,cruise_height,cruise_mach,cruise_range,engine_number,drag_cd0,drag_k,drag_e,drag_gears,fuel_fuel_coef,limits_MTOW,limits_MLW,limits_OEW,limits_MFC,limits_VMO,limits_MMO,limits_ceiling,engine_options_A318-111,engine_options_A318-112,engine_options_A318-121,engine_options_A318-122,clean_cd0,clean_k,clean_e,clean_gears,segment_duration_s,segment_distance_km,mean_dist_to_origin_km,mean_dist_to_dest_km,takeoff_fraction,climb_fraction,cruise_fraction,descent_fraction,approach_fraction
idx,1.0,0.04487107681076587,0.15492596276278797,,0.15492596276278411,0.1549259627627842,,,,0.15492596276278386,0.15492596276278428,0.15492596276278428,,,,,,0.15492596276277867,,0.15492596276279896,,,,,,,,0.15492596276278436,,-0.15492596276278472,-0.1549259627627878,0.15492596276278564,,,0.15492596276278797,,0.15492596276278411,0.1549259627627842,,,,,,,,,,,,-0.12186415528132882,0.19794069452579502,0.33323650659840315,0.19644691967842848,-0.1777675685035327,0.1484189288477297,0.10058991798458888,,
fuel_kg,0.04487107681076587,1.0,-0.4586684759838314,,-0.45866847598383065,-0.4586684759838305,,,,-0.4586684759838299,-0.45866847598383015,-0.45866847598383015,,,,,,-0.45866847598382715,,-0.45866847598383753,,,,,,,,-0.45866847598383026,,0.4586684759838303,0.4586684759838313,-0.458668475983832,,,-0.4586684759838314,,-0.45866847598383065,-0.4586684759838305,,,,,,,,,,,,0.4347389307436956,0.6508580628123599,0.4644180829618035,-0.17345159153156645,-0.533024742481288,0.3674391296406497,0.49429687420319857,,
mtow,0.15492596276278797,-0.4586684759838314,1.0,,0.9999999999999998,0.9999999999999998,,,,0.9999999999999997,0.9999999999999996,0.9999999999999996,,,,,,1.0,,1.000000000000002,,,,,,,,0.9999999999999998,,-0.9999999999999999,-1.0000000000000002,0.9999999999999987,,,1.0,,0.9999999999999998,0.9999999999999998,,,,,,,,,,,,-0.12490970640133509,0.12822081708740574,0.18822752395999492,0.5053172096176991,-0.15864641733447987,0.21300210389929686,-0.11027016855684192,,
mlw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oew,0.15492596276278411,-0.45866847598383065,0.9999999999999998,,1.0,1.0000000000000002,,,,0.9999999999999998,0.9999999999999999,0.9999999999999999,,,,,,1.0000000000000002,,1.000000000000002,,,,,,,,0.9999999999999999,,-1.0000000000000004,-1.0000000000000007,0.9999999999999991,,,1.0000000000000002,,1.0,1.0000000000000002,,,,,,,,,,,,-0.12490970640133431,0.12822081708740748,0.18822752395999595,0.5053172096176985,-0.1586464173344805,0.21300210389929763,-0.11027016855684188,,
mfc,0.1549259627627842,-0.4586684759838305,0.9999999999999998,,1.0000000000000002,1.0,,,,1.0000000000000002,1.0,1.0,,,,,,1.0000000000000002,,1.0000000000000018,,,,,,,,1.0000000000000002,,-1.0000000000000004,-1.0000000000000009,0.9999999999999991,,,1.0000000000000002,,1.0,1.0,,,,,,,,,,,,-0.12490970640133439,0.12822081708740737,0.18822752395999595,0.5053172096176988,-0.15864641733448054,0.21300210389929752,-0.11027016855684195,,
vmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceiling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pax_max,0.15492596276278386,-0.4586684759838299,0.9999999999999997,,0.9999999999999998,1.0000000000000002,,,,1.0,1.0000000000000002,1.0000000000000002,,,,,,1.0000000000000002,,1.0000000000000018,,,,,,,,0.9999999999999993,,-1.0000000000000002,-1.0000000000000004,0.9999999999999989,,,1.0000000000000007,,1.0000000000000002,1.0,,,,,,,,,,,,-0.124909706401334,0.12822081708740718,0.18822752395999615,0.505317209617698,-0.15864641733448068,0.21300210389929763,-0.11027016855684153,,
pax_low,0.15492596276278428,-0.45866847598383015,0.9999999999999996,,0.9999999999999999,1.0,,,,1.0000000000000002,1.0,1.0,,,,,,1.0000000000000002,,1.0000000000000018,,,,,,,,0.9999999999999998,,-1.0000000000000004,-1.0000000000000004,0.999999999999999,,,1.0000000000000004,,1.0000000000000002,1.0000000000000002,,,,,,,,,,,,-0.12490970640133389,0.1282208170874077,0.1882275239599961,0.5053172096176981,-0.15864641733448068,0.2130021038992978,-0.1102701685568421,,
pax_high,0.15492596276278428,-0.45866847598383015,0.9999999999999996,,0.9999999999999999,1.0,,,,1.0000000000000002,1.0,1.0,,,,,,1.0000000000000002,,1.0000000000000018,,,,,,,,0.9999999999999998,,-1.0000000000000004,-1.0000000000000004,0.999999999999999,,,1.0000000000000004,,1.0000000000000002,1.0000000000000002,,,,,,,,,,,,-0.12490970640133389,0.1282208170874077,0.1882275239599961,0.5053172096176981,-0.15864641733448068,0.2130021038992978,-0.1102701685568421,,
fuselage_length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuselage_height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuselage_width,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wing_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wing_span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wing_mac,0.15492596276277867,-0.45866847598382715,1.0,,1.0000000000000002,1.0000000000000002,,,,1.0000000000000002,1.0000000000000002,1.0000000000000002,,,,,,1.0,,1.0000000000000022,,,,,,,,1.0,,-1.0000000000000004,-1.0000000000000007,0.9999999999999991,,,1.0000000000000009,,1.0,1.0,,,,,,,,,,,,-0.12490970640132873,0.1282208170874078,0.18822752395999734,0.5053172096176964,-0.15864641733448256,0.21300210389929927,-0.11027016855684081,,
wing_sweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
