,idx,fuel_kg,mtow,mlw,oew,mfc,vmo,mmo,ceiling,pax_max,pax_low,pax_high,fuselage_length,fuselage_height,fuselage_width,wing_area,wing_span,wing_mac,wing_sweep,wing_t/c,flaps_area,flaps_bf/b,flaps_lambda_f,flaps_cf/c,flaps_Sf/S,cruise_height,cruise_mach,cruise_range,engine_number,drag_cd0,drag_k,drag_e,drag_gears,fuel_fuel_coef,limits_MTOW,limits_MLW,limits_OEW,limits_MFC,limits_VMO,limits_MMO,limits_ceiling,engine_options_A318-111,engine_options_A318-112,engine_options_A318-121,engine_options_A318-122,engine_options_A380-841,engine_options_A380-842,engine_options_A380-861,clean_cd0,clean_k,clean_e,clean_gears,eng_turbofan,segment_duration_s,segment_distance_km,mean_dist_to_origin_km,mean_dist_to_dest_km,takeoff_fraction,climb_fraction,cruise_fraction,descent_fraction,approach_fraction
idx,1.0,-0.20329132285870036,0.08004452360614064,0.06441383321654615,0.07322097450976593,0.08941790772358846,0.2046290672297526,0.08415378558553781,0.11237777323522909,0.1020330302734305,0.1225413796391537,0.10704350000163174,0.01934201699932592,0.13806652184704846,0.07428757419640816,0.07063334710775034,0.04322584229102548,0.13512705208668482,0.11849576440247857,-0.012773720586848933,0.14542186144325064,-0.053583366868531476,,0.26086836962109333,0.03610685060609689,,0.030209036167210688,0.06340101103801467,0.23312428816606756,-0.09402827497214723,0.055013437250440916,0.23141540738604957,-0.04773786048969472,0.022613615515923228,0.08004452360614064,0.06441383321654615,0.07322097450976593,0.08941790772358846,0.2046290672297526,0.08415378558553781,0.11237777323522909,,,,,,,,,,,,,-0.009432501943262808,0.09507887891563378,0.2031066013226277,0.2822297613048198,,-0.030816409312258892,0.04144974938258526,0.23083684317683847,-0.09388262950959515
fuel_kg,-0.20329132285870036,1.0,0.43647353621488527,0.445281243444335,0.4322132060640761,0.39736999281546387,-0.2530999525100659,0.40924333685344727,0.3754023132806213,0.3951011299196327,0.36775585646089093,0.40696069907752647,0.4822344729783425,0.33668285034836426,0.41492405533133,0.40423083915584396,0.4196093747961191,0.3741153300864259,0.3475476798455886,-0.5322585537043519,0.4186794702987587,-0.0913267771064794,,-0.20856897579005348,-0.3304493996565493,,0.4361843981839961,0.37058123140528365,0.09076727129803298,0.5495817485652518,0.3708583075930043,-0.46722052877158016,-0.19543667767369582,0.06636735022238616,0.43647353621488527,0.445281243444335,0.4322132060640761,0.39736999281546387,-0.2530999525100659,0.40924333685344727,0.3754023132806213,,,,,,,,,,,,,0.6547274581503832,0.6550092454677718,0.1842412642197847,-0.12111019243457008,,0.09598367252958613,0.14265586643130992,0.14627233200216314,-0.16483925314048545
mtow,0.08004452360614064,0.43647353621488527,1.0,0.9960604822002728,0.9979459987460854,0.992598615773085,-0.09409216426554011,0.9935470663199384,0.9089038516332358,0.9967563762074817,0.962225425194861,0.9717196915714501,0.982350372872183,0.9790384503449846,0.9887287513419647,0.991746636049325,0.9661552932288969,0.9813723561757122,0.9825733277875957,-0.9008401397414978,0.8832478185604636,-0.6819068607358586,,-0.05032696735328796,-0.8485208928867961,,0.9806255018809615,0.9251454280758877,0.733427465261217,0.8324052809379082,0.8995047601578305,-0.2957034743161392,-0.7252905426044223,0.4635330687541685,1.0,0.9960604822002728,0.9979459987460854,0.992598615773085,-0.09409216426554011,0.9935470663199384,0.9089038516332358,,,,,,,,,,,,,-0.10513678627030458,0.21938984172417075,0.7344424869538237,-0.05747221289603085,,-0.09126437211731299,-0.05354191242213292,-0.023101681268584993,0.054516655129738946
mlw,0.06441383321654615,0.445281243444335,0.9960604822002728,1.0,0.9989813001441288,0.9965002452479799,-0.17658146117878434,0.9843224323392156,0.8698134418597169,0.9897407599922565,0.9350699429376337,0.9480534123492504,0.9913556059362815,0.9635283747084018,0.9955536247772634,0.9943952750526487,0.9832069657058631,0.9774714461276679,0.9676639143766983,-0.8728599954821565,0.844064844688685,-0.6831352900864783,,-0.1277405630532892,-0.868274362799754,,0.9847691744143906,0.9425060195666408,0.6774186182477261,0.8653303143548939,0.8754834015990806,-0.36762804583655717,-0.7532151575111369,0.5286462517796248,0.9960604822002727,1.0,0.9989813001441288,0.9965002452479799,-0.17658146117878434,0.9843224323392156,0.8698134418597169,,,,,,,,,,,,,-0.10017284066043138,0.22389042404229229,0.7540201996103446,-0.06930349074567231,,-0.09305409989759043,-0.03678786134450901,-0.022040417399655798,0.039257634419987766
oew,0.07322097450976593,0.4322132060640761,0.9979459987460854,0.9989813001441288,1.0,0.9967854949288557,-0.1433896032910006,0.9902499256017798,0.885845666110238,0.992947731496455,0.9451743982265188,0.9560810413775667,0.987243728512847,0.9717546788609884,0.9956117899806627,0.9961821341837787,0.9801998437994015,0.9780047750043377,0.9756243453538131,-0.8827171555153371,0.8537900241601768,-0.680012537197079,,-0.09934501984043094,-0.8591555722471881,,0.9865908757153463,0.9450295596880558,0.6983784819142493,0.8438821973976394,0.8781609829391281,-0.32873763800132005,-0.7573983400245743,0.5032613205080164,0.9979459987460854,0.9989813001441288,1.0,0.9967854949288557,-0.1433896032910006,0.9902499256017798,0.885845666110238,,,,,,,,,,,,,-0.11074526267942414,0.210914209288645,0.7569805496979466,-0.06229012671180935,,-0.1007709133595148,-0.040279746104091504,-0.02498068432342975,0.04318330112090336
mfc,0.08941790772358846,0.39736999281546387,0.992598615773085,0.9965002452479799,0.9967854949288557,1.0,-0.170381487019722,0.9812954487208527,0.8611147588524796,0.9908594020538964,0.9334663655301454,0.9432656220835965,0.9808732400953314,0.967759318812952,0.9955843709322926,0.9938233929569837,0.9826026374587066,0.985121129945137,0.970212648593484,-0.8469133633646748,0.8371791827036118,-0.703768535674951,,-0.11754823097941386,-0.8677755248729567,,0.9789733658828456,0.9505660067971973,0.6914432177885913,0.8377750703580021,0.8620458099810994,-0.33059199356005897,-0.7716932729263304,0.5530255036845606,0.9925986157730848,0.9965002452479799,0.9967854949288557,1.0,-0.170381487019722,0.9812954487208527,0.8611147588524796,,,,,,,,,,,,,-0.13686352412200298,0.18529287461016627,0.760374072609035,-0.06912249574207494,,-0.10133269488371333,-0.03979602005877582,-0.030519543906723394,0.04412314973601694
vmo,0.2046290672297526,-0.2530999525100659,-0.09409216426554011,-0.17658146117878434,-0.1433896032910006,-0.170381487019722,1.0,-0.026210556627596315,0.2921161516726573,-0.054081422499642186,0.15794362253484834,0.11063537389595701,-0.23398423612567523,0.07542814464868121,-0.186743693284589,-0.14604178927575448,-0.2957100626124474,-0.09194478964501518,0.053044033821537065,-0.11664094976521885,0.24986323054732915,0.16904717458820728,,0.9530081493125506,0.3751737570668313,,-0.18320461879280772,-0.30302833318198935,0.5560377541360022,-0.4771494223673188,0.13905659546368707,0.8294201692779158,0.36353670351974465,-0.6759485288154062,-0.09409216426553975,-0.1765814611787841,-0.14338960329100028,-0.1703814870197218,1.0,-0.026210556627596315,0.2921161516726573,,,,,,,,,,,,,-0.18674172981500956,-0.2278524727320089,-0.3324686000509261,0.07964211905467086,,-0.13758748102387505,-0.14420359453273984,-0.04466461356741754,0.14150643515014677
mmo,0.08415378558553781,0.40924333685344727,0.9935470663199384,0.9843224323392156,0.9902499256017798,0.9812954487208527,-0.026210556627596315,1.0,0.9352953602196695,0.9903458979973774,0.9705282183206896,0.974342383260564,0.9660193216812532,0.987619323223592,0.9812971174426889,0.9904374753790963,0.9552725455028446,0.964599390598823,0.9930741451615258,-0.9162915704719731,0.8806979027801419,-0.6834761377097571,,-0.007592619882599034,-0.8363511248989062,,0.9834792420293953,0.9169947439118413,0.7682739203304452,0.7925246893264961,0.909623362145588,-0.22437425622155993,-0.7471243701403637,0.4069768455286912,0.9935470663199384,0.9843224323392156,0.9902499256017799,0.9812954487208527,-0.026210556627596686,1.0,0.9352953602196695,,,,,,,,,,,,,-0.13447696666127712,0.17856648561416355,0.7307504380756434,-0.041722023903634935,,-0.08757947691784508,-0.054162748580248866,-0.034074854565452284,0.057749964129785156
ceiling,0.11237777323522909,0.3754023132806213,0.9089038516332358,0.8698134418597169,0.885845666110238,0.8611147588524796,0.2921161516726573,0.9352953602196695,1.0,0.9140790138835859,0.9777035836887784,0.9708137726019753,0.8409515257918133,0.9405333104798276,0.8526512302078203,0.8776897758785315,0.7903656379667502,0.8706523060027326,0.9448180076337154,-0.9576756341225936,0.9477720426766519,-0.581021483152601,,0.2841670073141289,-0.67014568611893,,0.8716376719343387,0.7528972116186486,0.889939504350766,0.6013249500076726,0.9150807282517177,0.05146788084985821,-0.544061464712747,0.08165502670319873,0.9089038516332365,0.8698134418597174,0.8858456661102385,0.8611147588524802,0.29211615167265703,0.9352953602196699,1.0,,,,,,,,,,,,,-0.1040466413304462,0.17871563595725795,0.5810792080182282,0.010361768950761593,,-0.07017508185469463,-0.10869138877354008,-0.027303265473491083,0.10478137437423751
pax_max,0.1020330302734305,0.3951011299196327,0.9967563762074817,0.9897407599922565,0.992947731496455,0.9908594020538964,-0.054081422499642186,0.9903458979973774,0.9140790138835859,1.0,0.9721188295578139,0.9783759096303993,0.9725891519117839,0.9851084469190597,0.9814525557778114,0.9858977212608365,0.9536850669067438,0.986877152914304,0.9868227500762436,-0.8880549563890321,0.8930307143019398,-0.6979889561718567,,-0.0075406393770766035,-0.8437201858111583,,0.968854574766581,0.9150993969401999,0.7672134084337597,0.807165782672765,0.9056543845446747,-0.25056370486118645,-0.7032177681017523,0.46408200263731103,0.9967563762074817,0.9897407599922565,0.992947731496455,0.9908594020538966,-0.05408142249964251,0.9903458979973778,0.9140790138835851,,,,,,,,,,,,,-0.13834651413796173,0.18756985665090442,0.7206272039292814,-0.06255570060256412,,-0.09701093774647425,-0.05987283878161868,-0.03390632993485526,0.0629110481905482
