,idx,fuel_kg,mtow,mlw,oew,mfc,vmo,mmo,ceiling,pax_max,pax_low,pax_high,fuselage_length,fuselage_height,fuselage_width,wing_area,wing_span,wing_mac,wing_sweep,wing_t/c,flaps_area,flaps_bf/b,flaps_lambda_f,flaps_cf/c,flaps_Sf/S,cruise_height,cruise_mach,cruise_range,engine_number,drag_cd0,drag_k,drag_e,drag_gears,fuel_fuel_coef,limits_MTOW,limits_MLW,limits_OEW,limits_MFC,limits_VMO,limits_MMO,limits_ceiling,engine_options_A318-111,engine_options_A318-112,engine_options_A318-121,engine_options_A318-122,engine_options_A380-841,engine_options_A380-842,engine_options_A380-861,clean_cd0,clean_k,clean_e,clean_gears,eng_turbofan,segment_duration_s,segment_distance_km,mean_dist_to_origin_km,mean_dist_to_dest_km,takeoff_fraction,climb_fraction,cruise_fraction,descent_fraction,approach_fraction
idx,1.0,-0.3011951549272282,0.008877069728425396,0.022741162301920838,0.027551415141777863,0.02858342414159222,0.15993017606012358,0.031191486972107545,-0.03531351606407776,0.00730826871200626,-0.06065729912086241,-0.05824839384625288,0.007886507283816619,0.04259301361692915,0.06380327072197503,0.02288747897058892,0.06252820520701961,0.008552038268522768,0.007149319391334657,0.03995259586660543,-0.11125959639081973,0.2376478216079996,,0.08750245371213744,0.15896952570409653,,0.006634066702289124,0.15173589822339031,-0.11521586528950588,-0.06677919580688145,-0.21282305497350754,-0.00586722287931866,-0.08804622147092807,0.044282397937424896,0.008877069728425396,0.022741162301920838,0.027551415141777863,0.02858342414159222,0.15993017606012358,0.031191486972107545,-0.03531351606407776,,,,,,,,,,,,,-0.29082350998331136,-0.25436981443448353,0.15289206634064878,0.15295258027066316,-0.11763332438569857,0.12244996595686057,-0.06910176460760067,,
fuel_kg,-0.3011951549272282,1.0,0.38059532088749387,0.3635924546706652,0.35338851697176993,0.3278083559133538,0.06806783291440371,0.38667574480693667,0.40180335674279133,0.34686492561066684,0.4009355301503375,0.39774899900250865,0.35457698134970594,0.3496527222283667,0.3206015967513829,0.3685769467891045,0.3087165143066338,0.34946338956878786,0.4029820596970077,-0.41029174069275737,0.4025274915514915,-0.39293317023662966,,-0.18066261549436458,-0.41267863706915076,,0.39770071677960817,0.11948039795261142,0.39743304794656903,0.4654444860225385,0.5932262920686969,-0.2680476974219779,-0.22524901384412246,0.1556112933785766,0.38059532088749387,0.3635924546706652,0.35338851697176993,0.3278083559133538,0.06806783291440371,0.38667574480693667,0.40180335674279133,,,,,,,,,,,,,0.8059477268627332,0.799099075558449,0.1063433337267814,-0.34891014444614726,-0.07194563957553672,-0.12499297759627902,0.16136579527629594,,
mtow,0.008877069728425396,0.38059532088749387,1.0,0.994596549104336,0.9972525059423745,0.9884638557887593,0.2566618150749931,0.9752693538020588,0.7497195808034225,0.9946767447231236,0.9312049996140932,0.9358247425330903,0.9725073471895593,0.9737806343297446,0.9811037829552851,0.9946639297823704,0.9643464844788284,0.9862120565991451,0.9880694990402104,-0.6350525779933319,0.6840130708342358,-0.4394253028781718,,-0.26906221483735154,-0.6470652408401889,,0.957800518216104,0.8638962375964786,0.659052034119591,0.7718789947946165,0.7071239203272484,-0.4583134236280509,-0.8165165803205616,0.6852915141355354,1.0,0.994596549104336,0.9972525059423745,0.9884638557887593,0.2566618150749931,0.9752693538020588,0.7497195808034225,,,,,,,,,,,,,0.038218287585422187,0.16446333419046466,0.3607752346297916,0.09321524359845516,-0.06702373127233331,-0.04644384121430336,0.0790170213370674,,
mlw,0.022741162301920838,0.3635924546706652,0.994596549104336,1.0,0.9980718965543941,0.9937948272337943,0.25237162060936796,0.9649413752223966,0.6858752881255872,0.9879042931451644,0.8908878891203253,0.89720013010374,0.9850023798995402,0.956297431364849,0.9905604395560862,0.9983327939076003,0.985004248521041,0.983536160313222,0.971550519764559,-0.586487608638055,0.605829157680538,-0.4448126103418365,,-0.3320977353939759,-0.6657211716685423,,0.9630079376531474,0.8761278366350821,0.5791196859924173,0.8070511633916597,0.6796392284938907,-0.5316477904345928,-0.8509378859683843,0.7470361288510811,0.9945965491043363,1.0,0.9980718965543941,0.9937948272337943,0.25237162060936796,0.9649413752223966,0.6858752881255872,,,,,,,,,,,,,0.03023949247993596,0.16408158275842144,0.38041959373777656,0.11658296819170817,-0.06960411437878257,-0.06171830648721238,0.09579818819433714,,
oew,0.027551415141777863,0.35338851697176993,0.9972525059423745,0.9980718965543941,1.0,0.9955235804724472,0.2572240964502559,0.9704078128391296,0.7121790496128748,0.9925635872691512,0.9066411424970259,0.9121327389593388,0.975746365947173,0.9690982169992157,0.9910435860161705,0.9981589414437285,0.9796693454246997,0.988341268838127,0.9795586340534319,-0.5989694107005359,0.6375120067654989,-0.42246954093295297,,-0.2900629655792728,-0.6400699998611866,,0.9581719354798317,0.890249160779669,0.6119033642330551,0.7717558666386405,0.6662833189571993,-0.48122308438030253,-0.8443867818434703,0.7218396371495536,0.9972525059423745,0.9980718965543941,1.0,0.9955235804724472,0.2572240964502559,0.9704078128391296,0.7121790496128748,,,,,,,,,,,,,0.024649726099732885,0.15715984221276943,0.37227905188889054,0.12349568598753459,-0.06404112217265294,-0.05769006180901055,0.08906311039962955,,
mfc,0.02858342414159222,0.3278083559133538,0.9884638557887593,0.9937948272337943,0.9955235804724472,1.0,0.19476660832373965,0.9481558905164835,0.659903141801087,0.9886712724127411,0.8878155180653434,0.8940592139279758,0.9720049754831634,0.9528810405168149,0.9880014831161826,0.9945681203388883,0.9836796642428155,0.9927429245720459,0.9614339483651198,-0.5359288685131495,0.6027626996931184,-0.4466351632137895,,-0.3249509341425131,-0.6538478083017373,,0.946333096438236,0.8990903359118033,0.5778636464530295,0.7629094523471689,0.6381137621676867,-0.4869752719838015,-0.8629426774570865,0.7658937094878508,0.9884638557887593,0.9937948272337943,0.9955235804724473,1.0,0.19476660832373965,0.9481558905164835,0.659903141801087,,,,,,,,,,,,,0.014659337575459107,0.1367280319217578,0.3250772924745622,0.17119377719207418,-0.06151950835532522,-0.07014907530066332,0.10056276927304246,,
vmo,0.15993017606012358,0.06806783291440371,0.2566618150749931,0.25237162060936796,0.2572240964502559,0.19476660832373965,1.0,0.4493809444258174,0.5082266769796422,0.21698235090787155,0.21732838761858825,0.20032781253024806,0.24276312838486552,0.28214931496076373,0.2724944013859786,0.25041608927931314,0.24277796505681576,0.12175414105002871,0.3410191445595419,-0.7194843464129349,0.11120286224522118,0.1829676233065992,,-0.014007970987111042,-0.06213291928463929,,0.4086797035795498,0.365736910879678,0.08505314651051962,0.15942466876049496,0.11701381501498853,-0.03319557095073885,-0.2184844570731128,-0.18445395830166458,0.25666181507499297,0.2523716206093679,0.257224096450256,0.19476660832373963,1.0,0.4493809444258174,0.5082266769796422,,,,,,,,,,,,,-0.038821690574895415,0.21231936884168995,0.9513191253496894,-0.26544194206142707,-0.006230059018225084,0.08428812681109744,-0.08292024707696011,,
mmo,0.031191486972107545,0.38667574480693667,0.9752693538020588,0.9649413752223966,0.9704078128391296,0.9481558905164835,0.4493809444258174,1.0,0.8274650079593981,0.958450720654118,0.915558823686079,0.9133067060838418,0.9329937502148263,0.9602026492512074,0.9554908559914093,0.96863819540849,0.9305972428583346,0.9352039765919218,0.9911173456432215,-0.7648652937959547,0.6873061982456223,-0.3896571386954722,,-0.24604775375376747,-0.6195916233138145,,0.9737035931754555,0.8612971407071727,0.6596954145788289,0.7343716848269163,0.7008015412560288,-0.3965391737823223,-0.7997761938427218,0.5618693922724901,0.9752693538020591,0.9649413752223963,0.9704078128391296,0.9481558905164835,0.4493809444258173,1.0,0.8274650079593981,,,,,,,,,,,,,0.03815466242929481,0.20369265607041773,0.529301916884651,0.012799407800423858,-0.06212636433126833,-0.01618752582646285,0.0458773758898891,,
ceiling,-0.03531351606407776,0.40180335674279133,0.7497195808034225,0.6858752881255872,0.7121790496128748,0.659903141801087,0.5082266769796422,0.8274650079593981,1.0,0.7335342662824751,0.8814439745402771,0.8685082374814388,0.6262444268159985,0.8038556868218515,0.6585536254098235,0.6970240641457047,0.5783123293005008,0.6808378261453546,0.834717907737813,-0.9220625879490567,0.9074336501590005,-0.2289793873527112,,0.14260683610713926,-0.3623429635021849,,0.7240506505905014,0.5756440057327855,0.893437849451258,0.38729389501494743,0.6861337272704707,0.06827595207863307,-0.39973154866360466,0.037262710707111665,0.7497195808034228,0.6858752881255876,0.7121790496128749,0.6599031418010877,0.5082266769796419,0.8274650079593981,1.0,,,,,,,,,,,,,0.07491692620875244,0.1937694729726168,0.4326350415173114,-0.19422585053332345,-0.036332077640125394,0.09028294907664314,-0.07478871761822337,,
pax_max,0.00730826871200626,0.34686492561066684,0.9946767447231236,0.9879042931451644,0.9925635872691512,0.9886712724127411,0.21698235090787155,0.958450720654118,0.7335342662824751,1.0,0.9399614849858027,0.9459962842708155,0.9722115103838088,0.9650622601380393,0.9708398737588565,0.9855605165017822,0.9543405097408503,0.9865096705907508,0.9760594975388063,-0.6050603466556914,0.6852816861258259,-0.44293160887211735,,-0.2615720535506573,-0.642890516031034,,0.9408937762742944,0.8742703637820843,0.6610265183069051,0.7385637546355572,0.6830913118930145,-0.4214953667339501,-0.7983645202216667,0.6916801131489881,0.9946767447231236,0.9879042931451644,0.9925635872691512,0.9886712724127412,0.21698235090787155,0.9584507206541183,0.7335342662824746,,,,,,,,,,,,,0.02229548008635017,0.13956406610275893,0.32000382281564804,0.12991337570710407,-0.06365762709308563,-0.04940760837961439,0.08044409838902204,,
