,idx,fuel_kg,mtow,mlw,oew,mfc,vmo,mmo,ceiling,pax_max,pax_low,pax_high,fuselage_length,fuselage_height,fuselage_width,wing_area,wing_span,wing_mac,wing_sweep,wing_t/c,flaps_area,flaps_bf/b,flaps_lambda_f,flaps_cf/c,flaps_Sf/S,cruise_height,cruise_mach,cruise_range,engine_number,drag_cd0,drag_k,drag_e,drag_gears,fuel_fuel_coef,limits_MTOW,limits_MLW,limits_OEW,limits_MFC,limits_VMO,limits_MMO,limits_ceiling,engine_options_A318-111,engine_options_A318-112,engine_options_A318-121,engine_options_A318-122,engine_options_A380-841,engine_options_A380-842,engine_options_A380-861,clean_cd0,clean_k,clean_e,clean_gears,eng_turbofan,segment_duration_s,segment_distance_km,mean_dist_to_origin_km,mean_dist_to_dest_km,takeoff_fraction,climb_fraction,cruise_fraction,descent_fraction,approach_fraction
idx,1.0,-0.39427527939998086,-0.3513753880134681,-0.3465646245424424,-0.34632209024656563,-0.3195355341863269,-0.0794985171286599,-0.382883044119195,-0.3827078267507963,-0.3248079824522792,-0.35763701391564373,-0.353282820387396,-0.35643065960349646,-0.3316197645823606,-0.33539869175719544,-0.35556508490645694,-0.3388043711188249,-0.25912892713078683,-0.36961760449033865,0.3956142630186855,-0.1893363833229567,0.23038890794996575,,0.3668472116803247,0.3749821021808079,,-0.39418978561599377,-0.308882430056778,,-0.39391419864019694,-0.4474126762874021,0.34439749376582424,0.3108456298917726,-0.13344573915012628,-0.3513753880134681,-0.3465646245424424,-0.34632209024656563,-0.3195355341863269,-0.0794985171286599,-0.382883044119195,-0.3827078267507963,,,,,,,,,,,,,-0.33662787102178804,-0.29458686911742726,-0.11668729142378383,-0.06242163853562763,,,-0.20641894215127243,0.23908327041494976,-0.10136268387431151
fuel_kg,-0.39427527939998086,1.0,0.5128755778993462,0.5157122158941624,0.5190725992243584,0.5067591426547419,-0.024495719317880516,0.5335712998267632,0.4172570973666834,0.4952864370401964,0.47770626978977576,0.46472270165846497,0.5128089650984542,0.526460456618735,0.5275690161165814,0.5410094059831836,0.53608409034277,0.4342625515872588,0.541638789308305,-0.3791537264914141,0.09777465994625398,-0.2952011711692337,,-0.48818048770226996,-0.4849245146005363,,0.5468505317903795,0.5091612754819885,,0.5058813878560834,0.47931055139045375,-0.46304499213833794,-0.5560363670577277,0.35191245807934474,0.5128755778993462,0.5157122158941624,0.5190725992243584,0.5067591426547419,-0.024495719317880516,0.5335712998267632,0.4172570973666834,,,,,,,,,,,,,0.7699646532848897,0.7210247556974614,0.1085886125277597,0.320041256763672,,,0.4786474563268561,-0.3793764038333341,-0.07672107606241994
mtow,-0.3513753880134681,0.5128755778993462,1.0,0.9985864101518181,0.9991061486591132,0.9897764553249316,-0.07251916043894392,0.9782929399897626,0.7545358712148394,0.9943863030004724,0.9757753383413372,0.9711915735370669,0.9950615418074147,0.9868076245273946,0.992703098311166,0.9935773675754271,0.9905709962591428,0.9348859345329263,0.9889463609804141,-0.693066494646859,0.5508904263702654,-0.47004562555885104,,-0.8339050328194515,-0.8352489041935697,,0.9739712822861939,0.9525578354864871,,0.9317277777753069,0.7989873843657307,-0.8777818271065214,-0.9080599876389751,0.6798740231191224,1.0,0.9985864101518181,0.9991061486591132,0.9897764553249316,-0.07251916043894392,0.9782929399897626,0.7545358712148394,,,,,,,,,,,,,0.23717624490357536,0.10452048287502526,0.5860613950338015,-0.03939700619399838,,,0.06901841427578251,-0.11218499629114094,0.09133154387772965
mlw,-0.3465646245424424,0.5157122158941624,0.9985864101518181,1.0,0.9987289378222189,0.9946804742704174,-0.07659218313683283,0.9722629572388314,0.7230692661902212,0.996446533597911,0.9644323172705261,0.9587492542205852,0.9948140353733426,0.9876151648588081,0.9953620873150835,0.993986897990782,0.9942063262849403,0.947425822984877,0.9873501311359567,-0.6597188223160614,0.5223921043361357,-0.49050355561626885,,-0.8423787681136159,-0.8438165264502041,,0.9686897628272573,0.9490824197951921,,0.9386306932433283,0.7951647863047067,-0.891853566526111,-0.9133048270795343,0.7157784366748816,0.9985864101518181,1.0,0.9987289378222189,0.9946804742704174,-0.07659218313683283,0.9722629572388314,0.7230692661902212,,,,,,,,,,,,,0.23570352447800272,0.10584576082149628,0.574390697889642,-0.03690068744036996,,,0.07646802042796909,-0.11609162092496468,0.08657841452628821
oew,-0.34632209024656563,0.5190725992243584,0.9991061486591132,0.9987289378222189,1.0,0.9926994567075164,-0.07597252345421736,0.97831855835787,0.7458314810204992,0.9947313130862601,0.9702631827986682,0.964373738032906,0.9932904664687748,0.9909702564667133,0.9961911623468578,0.9963709498543176,0.9947492151419314,0.9361135589502282,0.9909481531365161,-0.6794560066841066,0.5241885018276972,-0.467813583559168,,-0.8325224821038811,-0.8326879228722717,,0.974262208490599,0.9612900809516648,,0.9247206767305717,0.7854569368027585,-0.8710764859760656,-0.9201690104296036,0.6915727803936013,0.9991061486591133,0.9987289378222189,1.0,0.9926994567075164,-0.07597252345421736,0.97831855835787,0.7458314810204992,,,,,,,,,,,,,0.24220387293425896,0.1096365587863246,0.5942103960053161,-0.038605905416441606,,,0.07680801965585149,-0.12065238605225621,0.09416823921785739
mfc,-0.3195355341863269,0.5067591426547419,0.9897764553249316,0.9946804742704174,0.9926994567075164,1.0,-0.11359617609584875,0.951803800966839,0.6646779170588797,0.9961679825419133,0.9450389526764497,0.9384146320186003,0.9840840087516258,0.9819259370251134,0.9926671574915649,0.9872359579829161,0.9927612909096831,0.9671861475287814,0.9748213962628051,-0.5932446403851946,0.49066910616393716,-0.5139668220936066,,-0.8431814935754456,-0.8419883371525746,,0.9492629162749063,0.9513143779273687,,0.920620465692822,0.7544203125831932,-0.8814645650974446,-0.9182815628336749,0.7664817276100637,0.9897764553249316,0.9946804742704174,0.9926994567075165,1.0,-0.11359617609584875,0.951803800966839,0.6646779170588797,,,,,,,,,,,,,0.2285388455833271,0.10852970785818085,0.5715586406254598,-0.03940292478209262,,,0.09409558742696388,-0.13023816358694695,0.08406453135453568
vmo,-0.0794985171286599,-0.024495719317880516,-0.07251916043894392,-0.07659218313683283,-0.07597252345421736,-0.11359617609584875,1.0,0.07923651365681748,0.22840829248915862,-0.08994577351015673,-0.06647913528491778,-0.09395506951477463,-0.07866105824995274,-0.03372301480155808,-0.06434258909706493,-0.07972003527576173,-0.08550558591607044,-0.15978673416574374,0.01609786993325146,-0.2967605119476175,-0.10421089437975184,0.2804751446512222,,0.11524251084011915,0.11543848972740318,,0.03059807120170398,-0.007189675092839652,,-0.09905947093877293,-0.07804763498409001,0.15457571900849382,0.07093686184038894,-0.2976714885682355,-0.07251916043894382,-0.07659218313683262,-0.07597252345421714,-0.11359617609584857,1.0,0.07923651365681748,0.22840829248915862,,,,,,,,,,,,,0.05853818158622297,0.037422095410955994,0.10784065616472129,-0.03246344068667884,,,-0.10104991398045879,-0.005903497562376053,0.16938650337482772
mmo,-0.382883044119195,0.5335712998267632,0.9782929399897626,0.9722629572388314,0.97831855835787,0.951803800966839,0.07923651365681748,1.0,0.8465789893523736,0.9593877322532914,0.9664545237178325,0.9548673948178155,0.9708203564020927,0.9756999145208078,0.9727893027777649,0.9810098474266705,0.9700031886285854,0.8578239964171157,0.9947206327590699,-0.7940719005789747,0.502057970241974,-0.4071725296295936,,-0.8145045229767441,-0.812471614959628,,0.9940474886739569,0.9584443740255685,,0.893377457314555,0.8004880036695462,-0.8103505271478016,-0.9181957857019174,0.561890764934463,0.9782929399897626,0.9722629572388313,0.97831855835787,0.9518038009668394,0.0792365136568174,1.0,0.8465789893523736,,,,,,,,,,,,,0.2762262124718378,0.12452332999012687,0.6258106914800063,-0.04192249327432008,,,0.04775092335286569,-0.11372203004130575,0.12750621428346975
ceiling,-0.3827078267507963,0.4172570973666834,0.7545358712148394,0.7230692661902212,0.7458314810204992,0.6646779170588797,0.22840829248915862,0.8465789893523736,1.0,0.6966511488620818,0.834568129828685,0.830892534851316,0.7390074441930151,0.742304028932453,0.7170739459030202,0.7485829440859113,0.7059731457542147,0.4949758030051877,0.7916055803201373,-0.9864098950079715,0.588415727784158,-0.09124381476356505,,-0.5454481626232119,-0.5453206174057307,,0.8339255579541945,0.7706788766121002,,0.6268143747283865,0.6816401823027551,-0.48319353641408536,-0.6646372572598551,0.0420660796331863,0.7545358712148392,0.7230692661902212,0.7458314810204993,0.6646779170588798,0.2284082924891589,0.8465789893523742,1.0,,,,,,,,,,,,,0.26217241915828005,0.09971380876206892,0.5884024619593298,-0.05153588179608893,,,-0.046074112153831816,-0.04677080567021313,0.15575322008297274
pax_max,-0.3248079824522792,0.4952864370401964,0.9943863030004724,0.996446533597911,0.9947313130862601,0.9961679825419133,-0.08994577351015673,0.9593877322532914,0.6966511488620818,1.0,0.9644378585060953,0.9588419313587272,0.9926550203427442,0.9803759771828632,0.989752231815717,0.986115033623999,0.9883515847487359,0.9576499956950123,0.9770978531571046,-0.6311216153929637,0.5268263263270443,-0.4975164798655265,,-0.8380227072254602,-0.8408628515163691,,0.9552208239036053,0.9465956801603054,,0.9248617371371074,0.7704779440881823,-0.8806524913044836,-0.8994463902984674,0.7339170328285481,0.9943863030004724,0.996446533597911,0.9947313130862601,0.9961679825419133,-0.08994577351015699,0.9593877322532914,0.6966511488620816,,,,,,,,,,,,,0.22270087507334702,0.10160458375490573,0.5849793269797188,-0.0446222526495268,,,0.07863984123408166,-0.1215355954566593,0.09286157214027739
