,idx,fuel_kg,mtow,mlw,oew,mfc,vmo,mmo,ceiling,pax_max,pax_low,pax_high,fuselage_length,fuselage_height,fuselage_width,wing_area,wing_span,wing_mac,wing_sweep,wing_t/c,flaps_area,flaps_bf/b,flaps_lambda_f,flaps_cf/c,flaps_Sf/S,cruise_height,cruise_mach,cruise_range,engine_number,drag_cd0,drag_k,drag_e,drag_gears,fuel_fuel_coef,limits_MTOW,limits_MLW,limits_OEW,limits_MFC,limits_VMO,limits_MMO,limits_ceiling,engine_options_A318-111,engine_options_A318-112,engine_options_A318-121,engine_options_A318-122,engine_options_A380-841,engine_options_A380-842,engine_options_A380-861,clean_cd0,clean_k,clean_e,clean_gears,eng_turbofan,segment_duration_s,segment_distance_km,mean_dist_to_origin_km,mean_dist_to_dest_km,takeoff_fraction,climb_fraction,cruise_fraction,descent_fraction,approach_fraction
idx,1.0,-0.5358304979585609,0.6103653417287621,,0.6103653417287614,0.6103653417287616,,,,0.6103653417287614,0.6103653417287614,0.6103653417287614,,,,,,0.6103653417287627,,0.6103653417287604,,,,,,,,0.6103653417287616,,-0.6103653417287612,-0.6103653417287616,0.6103653417287616,,,0.6103653417287621,,0.6103653417287614,0.6103653417287616,,,,,,,,,,,,,,,,-0.13236098683077455,-0.0818579187792163,-0.23916322818884875,0.09686932867365931,0.06077253621997513,0.03135528303953242,-0.19022325911097246,,
fuel_kg,-0.5358304979585609,1.0,-0.8173069919094254,,-0.817306991909423,-0.8173069919094231,,,,-0.8173069919094232,-0.8173069919094231,-0.8173069919094231,,,,,,-0.8173069919094256,,-0.8173069919094342,,,,,,,,-0.8173069919094232,,0.8173069919094232,0.8173069919094244,-0.8173069919094244,,,-0.8173069919094254,,-0.817306991909423,-0.8173069919094231,,,,,,,,,,,,,,,,0.4166787731040936,0.32247044488547144,0.18692550890282048,-0.6600419270911172,0.1336534202282576,-0.2784587541115184,0.3204958949882366,,
mtow,0.6103653417287621,-0.8173069919094254,1.0,,0.9999999999999982,0.9999999999999983,,,,0.9999999999999984,0.9999999999999982,0.9999999999999982,,,,,,1.0000000000000002,,1.0000000000000009,,,,,,,,0.9999999999999986,,-0.9999999999999983,-0.9999999999999991,0.9999999999999991,,,1.0,,0.9999999999999982,0.9999999999999983,,,,,,,,,,,,,,,,-0.3785546791887508,0.171587506167095,0.21571689226596827,0.49138215220004244,-0.4045251079995177,0.5761322333321858,-0.40291278407349074,,
mlw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oew,0.6103653417287614,-0.817306991909423,0.9999999999999982,,1.0,1.0000000000000002,,,,1.0000000000000002,1.0,1.0,,,,,,1.000000000000002,,1.0000000000000029,,,,,,,,1.0,,-1.0,-1.0000000000000009,1.0000000000000009,,,1.0000000000000018,,1.0,1.0000000000000002,,,,,,,,,,,,,,,,-0.37855467918875146,0.17158750616709437,0.2157168922659689,0.4913821522000457,-0.4045251079995202,0.5761322333321883,-0.4029127840734914,,
mfc,0.6103653417287616,-0.8173069919094231,0.9999999999999983,,1.0000000000000002,1.0,,,,1.0,0.9999999999999999,0.9999999999999999,,,,,,1.0000000000000018,,1.0000000000000024,,,,,,,,1.0,,-1.0,-1.0000000000000009,1.0000000000000009,,,1.0000000000000018,,1.0,1.0,,,,,,,,,,,,,,,,-0.3785546791887514,0.1715875061670941,0.21571689226596882,0.4913821522000455,-0.40452510799952,0.5761322333321882,-0.4029127840734914,,
vmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceiling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pax_max,0.6103653417287614,-0.8173069919094232,0.9999999999999984,,1.0000000000000002,1.0,,,,1.0,0.9999999999999998,0.9999999999999998,,,,,,1.0000000000000018,,1.0000000000000022,,,,,,,,0.9999999999999998,,-0.9999999999999999,-1.0000000000000007,1.0000000000000007,,,1.0000000000000016,,0.9999999999999999,0.9999999999999998,,,,,,,,,,,,,,,,-0.3785546791887513,0.17158750616709434,0.21571689226596882,0.4913821522000454,-0.40452510799951996,0.576132233332188,-0.4029127840734913,,
pax_low,0.6103653417287614,-0.8173069919094231,0.9999999999999982,,1.0,0.9999999999999999,,,,0.9999999999999998,1.0,1.0,,,,,,1.000000000000002,,1.0000000000000027,,,,,,,,1.0000000000000002,,-1.0,-1.0000000000000009,1.0000000000000009,,,1.0000000000000018,,1.0,1.0000000000000002,,,,,,,,,,,,,,,,-0.37855467918875146,0.17158750616709387,0.21571689226596893,0.4913821522000458,-0.4045251079995202,0.5761322333321885,-0.40291278407349135,,
pax_high,0.6103653417287614,-0.8173069919094231,0.9999999999999982,,1.0,0.9999999999999999,,,,0.9999999999999998,1.0,1.0,,,,,,1.000000000000002,,1.0000000000000027,,,,,,,,1.0000000000000002,,-1.0,-1.0000000000000009,1.0000000000000009,,,1.0000000000000018,,1.0,1.0000000000000002,,,,,,,,,,,,,,,,-0.37855467918875146,0.17158750616709387,0.21571689226596893,0.4913821522000458,-0.4045251079995202,0.5761322333321885,-0.40291278407349135,,
fuselage_length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuselage_height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fuselage_width,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wing_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wing_span,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wing_mac,0.6103653417287627,-0.8173069919094256,1.0000000000000002,,1.000000000000002,1.0000000000000018,,,,1.0000000000000018,1.000000000000002,1.000000000000002,,,,,,1.0,,1.0000000000000004,,,,,,,,0.9999999999999981,,-0.999999999999998,-0.9999999999999988,0.9999999999999988,,,0.9999999999999996,,0.9999999999999979,0.9999999999999979,,,,,,,,,,,,,,,,-0.3785546791887508,0.17158750616709562,0.21571689226596671,0.49138215220004133,-0.4045251079995164,0.5761322333321843,-0.4029127840734903,,
wing_sweep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wing_t/c,0.6103653417287604,-0.8173069919094342,1.0000000000000009,,1.0000000000000029,1.0000000000000024,,,,1.0000000000000022,1.0000000000000027,1.0000000000000027,,,,,,1.0000000000000004,,1.0,,,,,,,,0.9999999999999974,,-0.9999999999999976,-0.9999999999999982,0.9999999999999982,,,0.999999999999999,,0.9999999999999976,0.9999999999999973,,,,,,,,,,,,,,,,-0.3785546791887396,0.17158750616709675,0.21571689226596397,0.49138215220004056,-0.4045251079995198,0.5761322333321827,-0.40291278407347975,,
flaps_area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flaps_bf/b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flaps_lambda_f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flaps_cf/c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flaps_Sf/S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cruise_height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cruise_mach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
