,idx,fuel_kg,mtow,mlw,oew,mfc,vmo,mmo,ceiling,pax_max,pax_low,pax_high,fuselage_length,fuselage_height,fuselage_width,wing_area,wing_span,wing_mac,wing_sweep,wing_t/c,flaps_area,flaps_bf/b,flaps_cf/c,flaps_Sf/S,cruise_mach,cruise_range,drag_cd0,drag_k,drag_e,drag_gears,fuel_fuel_coef,limits_MTOW,limits_MLW,limits_OEW,limits_MFC,limits_VMO,limits_MMO,limits_ceiling,clean_e,origin_longitude,origin_latitude,origin_elevation,origin_RWY_1_HEADING_a,origin_RWY_1_HEADING_b,origin_RWY_1_LENGTH,origin_RWY_2_HEADING_a,origin_RWY_2_HEADING_b,origin_RWY_2_LENGTH,origin_RWY_3_HEADING_a,origin_RWY_3_HEADING_b,origin_RWY_3_LENGTH,origin_RWY_4_HEADING_a,origin_RWY_4_HEADING_b,origin_RWY_4_LENGTH,origin_RWY_5_HEADING_a,origin_RWY_5_HEADING_b,origin_RWY_5_LENGTH,origin_RWY_6_HEADING_a,origin_RWY_6_HEADING_b,origin_RWY_6_LENGTH,origin_RWY_7_HEADING_a,origin_RWY_7_HEADING_b,origin_RWY_7_LENGTH,origin_RWY_8_HEADING_a,origin_RWY_8_HEADING_b,origin_RWY_8_LENGTH,destination_longitude,destination_latitude,destination_elevation,destination_RWY_1_HEADING_a,destination_RWY_1_HEADING_b,destination_RWY_1_LENGTH,destination_RWY_2_HEADING_a,destination_RWY_2_HEADING_b,destination_RWY_2_LENGTH,destination_RWY_3_HEADING_a,destination_RWY_3_HEADING_b,destination_RWY_3_LENGTH,destination_RWY_4_HEADING_a,destination_RWY_4_HEADING_b,destination_RWY_4_LENGTH,destination_RWY_5_HEADING_a,destination_RWY_5_HEADING_b,destination_RWY_5_LENGTH,destination_RWY_6_HEADING_a,destination_RWY_6_HEADING_b,destination_RWY_6_LENGTH,destination_RWY_7_HEADING_a,destination_RWY_7_HEADING_b,destination_RWY_7_LENGTH,destination_RWY_8_HEADING_a,destination_RWY_8_HEADING_b,destination_RWY_8_LENGTH,arrival_rwy_heading,arrival_rwy_length,departure_rwy_heading,departure_rwy_length,starting_altitude,ending_altitude,altitude_difference,mean_vertical_rate,std_vertical_rate,mean_track,std_track,num_trajectory_points,points_per_second,takeoff_delta,landing_delta,segment_duration_s,segment_distance_km,mean_dist_to_origin_km,mean_dist_to_dest_km,takeoff_fraction,climb_fraction,cruise_fraction,descent_fraction,approach_fraction,landing_fraction,taxiing_fraction
idx,1.0,-0.10361890574096942,-0.08585212298705958,-0.08846217471174797,-0.0881560685909716,-0.0927349232701921,-0.1030579910340385,-0.10939205651782989,-0.09364206599917138,-0.0840164069924351,-0.0653561677666833,-0.06332851143390891,-0.09270067068190917,-0.0792613465037859,-0.09252546313442649,-0.09570649971911681,-0.09589125694003325,-0.07665139380848555,-0.10157773418615886,0.11707386340914028,-0.08994938091572331,0.17748260169126992,0.1635157979339678,0.16161735150438292,-0.11687399353104586,-0.09216551426469904,-0.03979333559436375,-0.11871416549767717,-0.00834826219384617,0.10438497872533746,-0.14161060597453418,-0.08585212298705958,-0.08846217471174797,-0.0881560685909716,-0.0927349232701921,-0.1030579910340385,-0.10939205651782989,-0.09364206599917138,-0.11372121951438134,-0.030428137377741034,-0.10821736220323848,0.05245123114194661,-0.023647449990085518,0.016750514932001373,0.003455306231971891,-0.00932660957708024,-0.0641133328130953,-0.04132852329487624,0.08283016790896201,0.008712941392793635,0.056890054325625716,-0.01235420222237529,0.02299247844741724,0.012847539860267133,-0.012558924688329842,0.022339567047667618,0.09949841744099386,-0.010571877973124392,0.007581787117984123,0.11640627201793312,-0.023647449990085518,0.016750514932001373,0.013236623683094723,-0.023647449990085518,0.016750514932001373,0.01241664321990478,0.005449279640550574,-0.08139137958470323,-0.05059262950677202,-0.027542733491427124,0.063914524873775,0.04054542426669473,-0.026538460565329224,-0.022616823051778416,-0.011967030835211948,0.06042938993888751,0.041848368061786025,0.007925605301699562,-0.05294829268749474,0.04678403889344793,-0.04424980728398646,-0.03322890143676994,0.0597406903214319,0.10208984482570724,-0.01211071169410778,0.03749228460268065,0.11911484154070776,-0.027542733491427124,0.063914524873775,0.024136820723882072,-0.027542733491427124,0.063914524873775,0.022944125541566832,-0.04225350461588467,-0.029197323235804783,-0.0352576809300525,-0.041278687986318396,-0.024843737376056697,-0.014281871281507003,0.02385071968110511,-0.015182195831244766,-0.003193279613593723,-0.06441563248035044,-0.003450492736660409,0.018310471909621043,0.14731923718964546,-0.03310901092475238,-0.03107694054003074,-0.11267648377010205,-0.029215741055672147,-0.025144166892526836,-0.019955435916513033,-0.03198957364881405,0.004906958848453506,0.06347836947191436,0.01651241410272182,-0.004925579694451743,-0.04181034292082414,-0.15163649251470518
fuel_kg,-0.10361890574096942,1.0,0.590724449608742,0.5851659601011674,0.584460257711819,0.5753723289073418,0.05428598925193193,0.548975486188069,0.5424988393289787,0.5821868311175766,0.582256206416963,0.5923299058521259,0.5772897931224122,0.5619554054959396,0.5649141357783927,0.5734274514087034,0.5600016211289696,0.5262425415104708,0.5538703602468229,-0.5333714481410434,0.43181138878926384,-0.18687713267103628,-0.4235909331863804,-0.47440759571386515,0.5497945836017156,0.5306444116961004,0.5064592901004753,0.5293277577395518,-0.3730086896924535,-0.49200369481589484,0.2142829060961916,0.590724449608742,0.5851659601011674,0.584460257711819,0.5753723289073418,0.05428598925193193,0.548975486188069,0.5424988393289787,0.0430186506596803,0.25119040649392355,-0.02796175573606236,-0.1250593284026781,0.12478021963035188,0.036434259992983886,0.16869943734348705,0.18548282773987354,0.16674899291475204,0.15424029915613519,0.05764446348741567,0.06292745281807897,0.10366806857915298,0.10887460072693846,0.03057503111776917,0.11867811039357293,0.12394304194499074,0.04244496351873052,0.148891271100348,0.10249460146713422,0.0728640677221633,0.12826096291106592,0.12478021963035188,0.036434259992983886,0.17410992904889633,0.12478021963035188,0.036434259992983886,0.17817441539878112,0.2930309506997875,-0.15791885881323908,-0.06701048405011162,0.0788510088659221,-0.03261879059088465,0.12295946993555988,0.09907127895464499,0.09014034626363622,0.1019899052127705,-0.0034542763695660714,0.005969158071765518,0.0657016564303472,0.11306835091303412,-0.006584477534531096,0.20280509765628335,0.09352724761680994,-0.023367460210243655,0.12364426092294255,0.05372210398685524,0.010532987646015308,0.09893060580738303,0.0788510088659221,-0.03261879059088465,0.14436084917028172,0.0788510088659221,-0.03261879059088465,0.1454718368472584,-0.06327248835822788,-0.0708000229297748,-0.008898084191007882,-0.00922542534710348,0.14948984078156993,0.17403863455848767,0.06660728685606189,0.06442581874123379,-0.08348672525122564,-0.07135103344791334,-0.0672043532084666,0.05497243475468205,-0.33075315920156745,0.3101891216145278,0.35092573205244604,0.8104032928797718,0.20959074265410402,0.34890543296618437,0.3757876219781718,-0.022173794973645928,0.015032351791678156,0.1251677882927849,-0.12664799132162172,-0.06272452289816896,-0.06318891220149805,-0.07460829811850568
mtow,-0.08585212298705958,0.590724449608742,1.0,0.9985174858318907,0.9986098871735397,0.9927213707410765,0.1834254000057639,0.9657159958955354,0.9122325340194277,0.9951091360954075,0.9663944293005126,0.9630180366648244,0.9906343692317549,0.9847700770495171,0.9896398189629967,0.9927814093316649,0.9853861219236592,0.9126691268363254,0.9785614864256869,-0.8745824516561118,0.6239286308404176,-0.35172738767375483,-0.7468569777821887,-0.8377016844423879,0.9658591612827933,0.9516585280069204,0.8326426662178985,0.8528533261620562,-0.6026579053716483,-0.9109504953271014,0.49604810942125227,1.0,0.9985174858318907,0.9986098871735397,0.9927213707410765,0.1834254000057639,0.9657159958955354,0.9122325340194277,0.08502158583243016,0.6312103590878957,-0.12435575738604797,-0.18638148901646945,0.25081893949514833,0.041597317919718886,0.3561742164187391,0.3275393002325269,0.3061856242264338,0.3452372539037207,0.2078788794967302,0.1987674628720863,0.3050315216497244,0.268208538336862,0.05762045683373183,0.30715076082482223,0.2652789168275522,0.05234347303218484,0.3626810921107644,0.21560596631601664,0.10073279338774553,0.31075567814010263,0.25081893949514833,0.041597317919718886,0.38025924209501705,0.25081893949514833,0.041597317919718886,0.3823028030126946,0.6473683570697464,-0.31791908332746405,-0.12075835857515554,0.263262982328339,0.031210746808125987,0.2764887808865234,0.25577785563390454,0.23402478751448186,0.19362243971511348,0.20840603113256617,0.18049666519355234,0.15600358188613642,0.31049508760831523,0.06988990523608962,0.3887386139322614,0.2808026999932537,0.04631109844125301,0.29115587463909265,0.2429972417562469,0.08392066122823474,0.25727572931605,0.263262982328339,0.031210746808125987,0.3020875328946229,0.263262982328339,0.031210746808125987,0.3048463828404723,-0.061144995695063896,-0.061089494316883916,-0.03891698943597207,-0.042286603021555465,0.2326606254718812,0.22232222587946995,-0.012284108101769102,-0.01809042056098218,-0.20130050717440423,-0.17756035463266928,-0.11326043352149892,-0.23801898560440732,-0.5239234931025011,0.5895583225517423,0.5632172511606334,0.3180731385718816,0.08951738089199864,0.5912150344788627,0.5607126686654214,-0.037427002592924696,-0.09211452981661543,0.18715432742896754,-0.0981582864967591,-0.06121994817854808,-0.06312813791560037,-0.09659564456125397
mlw,-0.08846217471174797,0.5851659601011674,0.9985174858318907,1.0,0.9989223777310133,0.9953443803909656,0.19246163152875462,0.9653012316993934,0.8973441125099728,0.9941578107466801,0.9535140738655556,0.9504250412846051,0.9923085618988476,0.9825009041279428,0.9928991206372278,0.9939272993780319,0.9906668625925987,0.9160938003469562,0.9772175466072401,-0.864456395723121,0.6006017893403872,-0.3614503603912025,-0.7659403519952622,-0.8462017475597183,0.9674042585031646,0.9559465591150575,0.8382240065244503,0.8429951042534863,-0.6185599781486704,-0.918942577466418,0.52938565513015,0.9985174858318908,1.0,0.9989223777310133,0.9953443803909656,0.19246163152875462,0.9653012316993934,0.8973441125099728,0.0888593177166093,0.6323472656597479,-0.12323498919591079,-0.1846007210035755,0.25194182870034104,0.04030546593209471,0.3586125145635732,0.32980806664850426,0.3069280120060958,0.34679162658148016,0.21000876924835543,0.1991912574692645,0.30535994519607984,0.2698963914447894,0.056113938973764654,0.3082002172362541,0.2667653407148431,0.051042312870363565,0.36553921136535583,0.2166410154219791,0.09938038771958176,0.3131109842799566,0.25194182870034104,0.04030546593209471,0.3829281785671629,0.25194182870034104,0.04030546593209471,0.3848641935914431,0.6460695955327566,-0.3197507014223091,-0.11774619093494171,0.2619895962818569,0.033398362570947956,0.27586725364775777,0.2568716303628595,0.2356144273243675,0.1957518346719673,0.2099589973463196,0.18238151919464485,0.1571905347442909,0.30980520524871946,0.07196103891856613,0.38965650664865326,0.2802384210703405,0.04877396795757451,0.29295672582393295,0.24437648004849816,0.08416770996036375,0.2601309918247964,0.2619895962818569,0.033398362570947956,0.3029655781159441,0.2619895962818569,0.033398362570947956,0.305593886175264,-0.06303802969508943,-0.06288677012256672,-0.03953746913103173,-0.04292229215953646,0.23511876599810308,0.2232693468864909,-0.015762052156931793,-0.019682483236244677,-0.2025314153544002,-0.17877486238396298,-0.1149137036371746,-0.24179915845253244,-0.527816396750116,0.591569348062989,0.5607503642796652,0.31550206863718616,0.08978581304016714,0.592722871839138,0.5583819437765342,-0.03770896856166794,-0.09266244246029617,0.186777813448591,-0.09684233316660865,-0.06064997575823243,-0.06385718544671481,-0.09632335994588188
oew,-0.0881560685909716,0.584460257711819,0.9986098871735397,0.9989223777310133,1.0,0.9936736655902708,0.19491529516690656,0.9695157508632508,0.9088004040276505,0.9930458186509125,0.9563110848034315,0.9532631911060788,0.9911711265924577,0.9859773210948134,0.9938487840575013,0.9965648820961686,0.9922308162985738,0.9043220338480056,0.9809137208116029,-0.8749940196800197,0.595750273056314,-0.3492757718188055,-0.7606677755898428,-0.8408508326940444,0.9718033667816186,0.963852568109881,0.8237281382832428,0.8369080401688984,-0.5977777119217609,-0.9265683361883907,0.5140276229546975,0.9986098871735397,0.9989223777310133,1.0,0.9936736655902708,0.19491529516690656,0.9695157508632508,0.9088004040276505,0.09131616808801507,0.6305909580778501,-0.13395488292179156,-0.18116518258330885,0.2515888560558478,0.041880196331574936,0.35995778284968216,0.33154203294454004,0.30811816430948685,0.35108371400158733,0.21160620714159545,0.20019819853656065,0.3069797529930839,0.2700177364962005,0.058589290509379624,0.3085333590027168,0.26667745375456053,0.05314720492031706,0.3679524076958565,0.22042834990792895,0.09738905106919891,0.31785345228046125,0.2515888560558478,0.041880196331574936,0.38422740190589505,0.2515888560558478,0.041880196331574936,0.38637381081897226,0.6462225160605576,-0.3292994038826794,-0.11375260543979675,0.2647754267125124,0.036772716978788866,0.2797525738534657,0.2587392734698645,0.23601405466229738,0.19862773160794858,0.21573598991974421,0.18546582944661652,0.15640042321939115,0.3118160982561902,0.07537961674447166,0.38907454073656633,0.28305568055526914,0.052551878315518025,0.2967867968801773,0.2508324772460523,0.0840196093361521,0.26632224587185416,0.2647754267125124,0.036772716978788866,0.3059463890501435,0.2647754267125124,0.036772716978788866,0.3087545623461795,-0.0626081690857461,-0.06322964291718922,-0.03860425838113902,-0.041974214733465666,0.23895360775015517,0.2280922385433967,-0.013197561698973776,-0.019539235016618698,-0.20461559574914207,-0.18558742070255757,-0.11385713723116404,-0.24427396749760621,-0.5318773789136032,0.5944219174727624,0.5689522037588902,0.31744198384485833,0.08984502329450472,0.5965041853837835,0.5661032041962152,-0.03747695563974011,-0.0915453080467062,0.18694886678104264,-0.09661164142988315,-0.0609900845645885,-0.06470178176543397,-0.0985855696792201
mfc,-0.0927349232701921,0.5753723289073418,0.9927213707410765,0.9953443803909656,0.9936736655902708,1.0,0.2090583121808368,0.9604860609080278,0.8788899287523003,0.9921203346266373,0.9395303330737456,0.9338233811355768,0.9796902388387699,0.9826932557942453,0.9923543313932722,0.9889522696901291,0.9874498198531452,0.9389416652769643,0.9747657142150316,-0.84226563813477,0.6225477884965444,-0.3867989967603652,-0.7591960943486993,-0.8438414116133311,0.9587117415954433,0.9527861162773815,0.8127088042724574,0.8269081163500702,-0.5870575486473016,-0.9200104305459075,0.5825605965775043,0.9927213707410761,0.9953443803909656,0.9936736655902706,1.0,0.2090583121808368,0.9604860609080278,0.8788899287523003,0.10475184498311606,0.6059974771407043,-0.11837702038595167,-0.1680201236197538,0.24309340011474814,0.01997734381093653,0.360366473414136,0.3178149027830599,0.29602455996584026,0.3545521067351025,0.19968382718578634,0.18985940703880358,0.3018822877192796,0.25931495424540546,0.03367329701114159,0.30543490036134446,0.2588145318818928,0.0296235249389056,0.3691691045513567,0.20427000930412959,0.08053332157948594,0.31412997608937804,0.24309340011474814,0.01997734381093653,0.3864921053159893,0.24309340011474814,0.01997734381093653,0.3877953748705407,0.6166364409857215,-0.3037775174303561,-0.09619412130910648,0.25438293391052524,0.014586018370586255,0.2777363278110503,0.2542053821204731,0.2331556362313985,0.21768172155841356,0.1991787575935499,0.1737321584172297,0.16527587587406378,0.2990842060653734,0.0503877104542548,0.3868550445287006,0.27254686867643524,0.028075886839193476,0.2957619077969662,0.2316785622610789,0.06713193496016359,0.2596471783320782,0.25438293391052524,0.014586018370586255,0.3055344617295827,0.25438293391052524,0.014586018370586255,0.307427598926681,-0.062202942090217,-0.061497246110583915,-0.04089294966303445,-0.04420069786297031,0.23391207131129518,0.22169345187697997,-0.01671006098614584,-0.0238891908245459,-0.19949981216791443,-0.1745612014057172,-0.11156234572519996,-0.23883228303535525,-0.520925861333081,0.5900904829050049,0.5498777122626222,0.30928719613256467,0.08976643769024505,0.5916110328823503,0.5486579641058236,-0.03844238078858971,-0.09052100468159804,0.18124420396758795,-0.08836092921950867,-0.05816529756241454,-0.06324045009284271,-0.10193486749643157
vmo,-0.1030579910340385,0.05428598925193193,0.1834254000057639,0.19246163152875462,0.19491529516690656,0.2090583121808368,1.0,0.3997593837894552,0.36511419610643986,0.18212478140604454,0.06863044053193375,0.03173997771035374,0.15212034543757202,0.26986818961328324,0.2561642012769377,0.21043878399832,0.22906058135053817,0.1995014929529618,0.34105709814275387,-0.46890168845046404,0.3046605642305952,-0.1490179779935956,-0.23513064961562055,-0.2385264214212144,0.34033427040609193,0.3136381284852426,-0.18071227130495285,0.059373042366857115,0.3754635170008181,-0.301801536519092,0.38285238942580385,0.18342540000576388,0.19246163152875465,0.19491529516690664,0.20905831218083665,1.0,0.3997593837894552,0.36511419610643986,0.3854710108876993,0.056451608377543865,-0.006047224042771388,0.19047687680623224,0.15461943892402666,-0.06688136898522998,0.13225477476512718,0.152914494072432,0.1593517063892928,0.17342177524670718,0.1329859143665167,0.13665433742304028,0.1216510573991265,0.1728975006697767,-0.04634609554649422,0.12312298601309297,0.1623584403249747,-0.06991803040940497,0.14215710808399268,0.17541926100200542,-0.09227421074511498,0.13569337075361104,0.15461943892402666,-0.06688136898522998,0.14057115052816513,0.15461943892402666,-0.06688136898522998,0.13734877534412535,0.034913835637375885,-0.12922912572462186,0.31603519875402486,0.19123523545422752,-0.038683918546237504,0.09629297876227805,0.16946777628896062,0.17415327408866793,0.11000546952243193,0.16536104970631813,0.16136382772009417,0.1856618337141511,0.20991033050630917,-0.015876760439765266,0.15376937585181244,0.19886033559425123,-0.04045073334683849,0.11487102947219734,0.20177305684478605,-0.05321551227762269,0.10458271015683133,0.19123523545422752,-0.038683918546237504,0.10686182733822736,0.19123523545422752,-0.038683918546237504,0.10359494201222529,-0.027792380458368723,-0.03402838782267795,-0.01966985774351369,-0.0201442081002698,0.14656969428527986,0.14614793944041038,0.006815654417785473,-0.04262428399341316,-0.08578298286557691,-0.020718072568087144,-0.04521315875143731,-0.13444433398507094,-0.24018282205121474,0.10299161184341131,0.20412632998999045,0.05862402648887205,0.0015712808774831879,0.11539318728712138,0.20352293820702738,-0.011142210380353299,-0.02450300041319979,0.023758758553046003,0.028168331542239102,-0.0317743119698318,-0.029238905059078012,-0.0249815214630584
mmo,-0.10939205651782989,0.548975486188069,0.9657159958955354,0.9653012316993934,0.9695157508632508,0.9604860609080278,0.3997593837894552,1.0,0.9561133535666738,0.9525925665354237,0.909541878724151,0.8939144318434822,0.9532451043059363,0.9756163096175361,0.979109412194728,0.9757978640894256,0.972523811043423,0.8598715867406682,0.9944623846393136,-0.9435271775597897,0.6224244101098867,-0.3599372831840535,-0.7659794174401119,-0.8424314407677836,0.9924578589676016,0.9665088940182809,0.7228738816857796,0.8131324820189354,-0.45374087883405656,-0.9437557525147408,0.5106609516618134,0.9657159958955354,0.9653012316993931,0.969515750863251,0.9604860609080277,0.3997593837894553,1.0,0.9561133535666738,0.1740928175608358,0.6158947642784415,-0.1382284224589662,-0.12726081216131027,0.26389956824993505,0.027197525550229907,0.3590041652379868,0.3489515677044885,0.33178494378738355,0.3661896397809319,0.22524469844847123,0.22095971256042277,0.31620689769229265,0.29263177079932945,0.05342483912053546,0.3211390515933308,0.2804465913854379,0.03854871762993336,0.37311755947770003,0.2442116614137242,0.0690330318739542,0.3295254979971114,0.26389956824993505,0.027197525550229907,0.3820815606349398,0.26389956824993505,0.027197525550229907,0.3839463584022928,0.6267756486182703,-0.34440096115695945,-0.036682337283476536,0.29994081173396303,0.024019916523809165,0.27951136468019905,0.28408393549712185,0.26275619759304597,0.19980625663844437,0.243026784986439,0.21260064208345264,0.1785687019765336,0.3501496266504584,0.0681382830909701,0.3958111084128333,0.3182577964044519,0.0389101455574123,0.2978942216994686,0.28685909235110446,0.06761954331410429,0.2672743823012612,0.29994081173396303,0.024019916523809165,0.3052885416948909,0.29994081173396303,0.024019916523809165,0.3076519916541553,-0.06604079320700669,-0.06875037860847887,-0.038662057142180885,-0.04195102499485147,0.26420914991260713,0.2555889587515582,-0.006497034615430769,-0.025693060589231143,-0.21497253071453237,-0.180099578880183,-0.11784500068016855,-0.2562573186299372,-0.5515330874604283,0.5844792261557328,0.5873359851711651,0.31254710706414796,0.08430840006009137,0.5888413478218811,0.5837333721771742,-0.036742347537977615,-0.0901303704958579,0.1853324447236569,-0.08804508853206798,-0.06826362928330006,-0.068800351407936,-0.09809619521764089
ceiling,-0.09364206599917138,0.5424988393289787,0.9122325340194277,0.8973441125099728,0.9088004040276505,0.8788899287523003,0.36511419610643986,0.9561133535666738,1.0,0.8899731401044048,0.9130498415203727,0.8971696004883772,0.891441480980952,0.9249599444596689,0.9048174461867285,0.9143826176280841,0.891143070971864,0.7548877089093432,0.9473092726878382,-0.9745821411727987,0.6719633999698363,-0.25849832145151197,-0.6424068329980679,-0.7519351065794609,0.9424483031199846,0.899028028140796,0.6519777586339516,0.8166864720192202,-0.34515583994982707,-0.8594669739876921,0.2685966140083938,0.912232534019428,0.8973441125099725,0.90880040402765,0.8788899287523005,0.36511419610643997,0.9561133535666736,1.0,0.1503762910339164,0.596486687485901,-0.14809217404780617,-0.13150868395483045,0.25256642111210836,0.04566505617225675,0.3229931502023164,0.33442718048309417,0.32672992612673335,0.3352275319145217,0.2125732854856363,0.21915290006717017,0.2995346773336479,0.28131867637402264,0.07679061458149526,0.30148052077259335,0.26631235955521176,0.05769360980670812,0.335092158991837,0.2412652283847074,0.08016965414347747,0.3009581783601314,0.25256642111210836,0.04566505617225675,0.3424646641800758,0.25256642111210836,0.04566505617225675,0.3452977581577291,0.6192712760940541,-0.3414519250092098,-0.05152347827427258,0.30423639185702506,0.027117863121897772,0.26386824395445124,0.2699820567931949,0.24768662642103534,0.1588786678959399,0.239164316041525,0.2062915261459395,0.15667986637152018,0.35046695425330343,0.07259974322679984,0.36918744528375647,0.31838930435777246,0.04139489172051584,0.27020659024020116,0.2857236574386624,0.07384280628204541,0.2404926647707343,0.30423639185702506,0.027117863121897772,0.28131343851889173,0.30423639185702506,0.027117863121897772,0.2846746639603523,-0.05514532323107732,-0.059536749922093304,-0.031908682305934556,-0.034978465056889584,0.2459653618048956,0.24551253415263688,0.012038894672083274,-0.015121831942106211,-0.20462122629426935,-0.1728989813542012,-0.10625856019410265,-0.23089621361150298,-0.515015347084406,0.5451787610344594,0.5822401922289889,0.3128045432832157,0.07750136549585498,0.5517455853298107,0.5767181106685233,-0.03256210114037488,-0.08433544938785309,0.18208809839355486,-0.09454630419133833,-0.07123905263365539,-0.06365092385614594,-0.09009987166729531
pax_max,-0.0840164069924351,0.5821868311175766,0.9951091360954075,0.9941578107466801,0.9930458186509125,0.9921203346266373,0.18212478140604454,0.9525925665354237,0.8899731401044048,1.0,0.9674120829059059,0.9644573180654011,0.9859250564485965,0.9809923088822646,0.9816362722283545,0.982896234847659,0.9760502811302293,0.928478312252947,0.9710211812038844,-0.8468637414987427,0.627041593154926,-0.3690963660755917,-0.7297094812794351,-0.8331956223016651,0.9490995944728465,0.9448703587804079,0.8190899981061546,0.8376239331644864,-0.59094775976988,-0.8914379013135931,0.5300773012595328,0.9951091360954073,0.9941578107466801,0.9930458186509122,0.9921203346266374,0.18212478140604454,0.9525925665354228,0.8899731401044048,0.08660634220765262,0.6213085076767791,-0.11247000197341514,-0.18784134416175605,0.24841558080456563,0.03789604548867666,0.35407098730210834,0.32226653453070675,0.2966499094963431,0.34291710134273873,0.20751394945428792,0.1923319838149948,0.30213159983710397,0.26252911125045314,0.05023068645493975,0.3035325842057856,0.2639764646585685,0.04798959691428362,0.3632146545969121,0.21289467975837784,0.09803577871031299,0.3101942464621045,0.24841558080456563,0.03789604548867666,0.38225807548226187,0.24841558080456563,0.03789604548867666,0.383567341106478,0.6374840209401107,-0.30329378440956545,-0.12318065000104467,0.25019635824477443,0.02687407102283451,0.2711139725427834,0.2503808824794211,0.2281078120951667,0.2000368237392528,0.19911991221009123,0.17153016812169553,0.15999431736761943,0.29586012588228316,0.06287557452699276,0.3866776859829542,0.26826217450480944,0.041318803799583324,0.2881291731562405,0.23029414521068486,0.07799541946418004,0.2541663843176037,0.25019635824477443,0.02687407102283451,0.297953950614192,0.25019635824477443,0.02687407102283451,0.30021563216959724,-0.058617260790448274,-0.05835270900510063,-0.04121088683645029,-0.0445557347714217,0.22342634980152504,0.2128864947058926,-0.013258839595766778,-0.018850843917690572,-0.1927639974190877,-0.17209148318166936,-0.1102874427675429,-0.23511936710532877,-0.5160115734806405,0.5763697143016796,0.548517501917166,0.30891090713440117,0.08772685984773014,0.5779337012651102,0.5469086814905163,-0.03891717434135848,-0.09229994490712219,0.18359076420815884,-0.09406774754012452,-0.056166108971145455,-0.060839999108436696,-0.0978086453388435
