idx,flight_id,start,end,fuel_kg,flight_date,aircraft_type,takeoff,landed,origin_icao,origin_name,destination_icao,destination_name,ICAO_TYPE_CODE,aircraft,mtow,mlw,oew,mfc,vmo,mmo,ceiling,pax_max,pax_low,pax_high,fuselage_length,fuselage_height,fuselage_width,wing_area,wing_span,wing_mac,wing_sweep,wing_t/c,flaps_type,flaps_area,flaps_bf/b,flaps_cf/c,flaps_Sf/S,cruise_mach,cruise_range,engine_type,engine_mount,engine_default,drag_cd0,drag_k,drag_e,drag_gears,fuel_fuel_coef,limits_MTOW,limits_MLW,limits_OEW,limits_MFC,limits_VMO,limits_MMO,limits_ceiling,clean_e,origin_longitude,origin_latitude,origin_elevation,origin_RWY_1_HEADING_a,origin_RWY_1_HEADING_b,origin_RWY_1_LENGTH,origin_RWY_2_HEADING_a,origin_RWY_2_HEADING_b,origin_RWY_2_LENGTH,origin_RWY_3_HEADING_a,origin_RWY_3_HEADING_b,origin_RWY_3_LENGTH,origin_RWY_4_HEADING_a,origin_RWY_4_HEADING_b,origin_RWY_4_LENGTH,origin_RWY_5_HEADING_a,origin_RWY_5_HEADING_b,origin_RWY_5_LENGTH,origin_RWY_6_HEADING_a,origin_RWY_6_HEADING_b,origin_RWY_6_LENGTH,origin_RWY_7_HEADING_a,origin_RWY_7_HEADING_b,origin_RWY_7_LENGTH,origin_RWY_8_HEADING_a,origin_RWY_8_HEADING_b,origin_RWY_8_LENGTH,destination_longitude,destination_latitude,destination_elevation,destination_RWY_1_HEADING_a,destination_RWY_1_HEADING_b,destination_RWY_1_LENGTH,destination_RWY_2_HEADING_a,destination_RWY_2_HEADING_b,destination_RWY_2_LENGTH,destination_RWY_3_HEADING_a,destination_RWY_3_HEADING_b,destination_RWY_3_LENGTH,destination_RWY_4_HEADING_a,destination_RWY_4_HEADING_b,destination_RWY_4_LENGTH,destination_RWY_5_HEADING_a,destination_RWY_5_HEADING_b,destination_RWY_5_LENGTH,destination_RWY_6_HEADING_a,destination_RWY_6_HEADING_b,destination_RWY_6_LENGTH,destination_RWY_7_HEADING_a,destination_RWY_7_HEADING_b,destination_RWY_7_LENGTH,destination_RWY_8_HEADING_a,destination_RWY_8_HEADING_b,destination_RWY_8_LENGTH,LF1,LF2,parked_fraction,takeoff_fraction,climb_fraction,cruise_fraction,descent_fraction,approach_fraction,landing_fraction,taxiing_fraction,takeoff_delta,landing_delta,mean_time_in_air,segment_duration_s,segment_distance_km,mean_vertical_rate,starting_altitude,ending_altitude,altitude_difference,std_vertical_rate,mean_track,std_track,num_trajectory_points,points_per_second
10239,prc772357054,2025-04-19 08:12:27.554,2025-04-19 08:27:36.741,1451.4944,2025-04-19,A359,2025-04-19 01:10:19,2025-04-19 12:28:18,NZAA,Auckland Airport,KLAX,Los Angeles International Airport,A359,Airbus A350-900,280000.0,205000.0,142400.0,140795.0,340.0,0.89,13100.0,440.0,300.0,350.0,66.8,6.09,5.96,442.0,64.75,6.01357999999999,31.9,0.09672,double-slotted,26.85375000000005,0.7380026646464303,0.15,0.15,0.85,15000.0,turbofan,wing,Trent XWB-84,0.022,0.043,0.783,0.013,3.086355339673145,280000.0,205000.0,142400.0,140795.0,340.0,0.89,13100.0,0.7969999999999984,174.786331,-37.01199,23.0,51.0,231.0,3535.0,51.0,231.0,3535.0,51.0,231.0,3535.0,51.0,231.0,3535.0,51.0,231.0,3535.0,51.0,231.0,3535.0,51.0,231.0,3535.0,51.0,231.0,3535.0,-118.407997,33.942501,127.0,83.0,263.0,3939.0,83.0,263.0,3382.0,83.0,263.0,3318.0,83.0,263.0,2721.0,83.0,263.0,3939.0,83.0,263.0,3939.0,83.0,263.0,3939.0,83.0,263.0,3939.0,0.4362745098039216,0.782527960186974,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,422.14256666666665,240.68765,429.71912499999996,909.187,246.1421617907241,-354.90909090909093,39000.0,39000.0,0.0,65.82521308500226,45.67205747607879,0.08223606387598774,2.0,0.0021997674845768804
106838,prc793834895,2025-07-13 19:07:59.826,2025-07-13 19:12:00.543,466.746168,2025-07-13,A359,2025-07-13 16:38:51,2025-07-14 03:29:15,ZSPD,Shanghai Pudong International Airport,NZAA,Auckland Airport,A359,Airbus A350-900,280000.0,205000.0,142400.0,140795.0,340.0,0.89,13100.0,440.0,300.0,350.0,66.8,6.09,5.96,442.0,64.75,6.01357999999999,31.9,0.09672,double-slotted,26.85375000000005,0.7380026646464303,0.15,0.15,0.85,15000.0,turbofan,wing,Trent XWB-84,0.022,0.043,0.783,0.013,3.086355339673145,280000.0,205000.0,142400.0,140795.0,340.0,0.89,13100.0,0.7969999999999984,121.805,31.1434,13.0,168.0,348.0,4000.0,168.0,348.0,3800.0,168.0,348.0,3800.0,168.0,348.0,3400.0,168.0,348.0,4000.0,168.0,348.0,4000.0,168.0,348.0,4000.0,168.0,348.0,4000.0,174.786331,-37.01199,23.0,51.0,231.0,3535.0,51.0,231.0,3535.0,51.0,231.0,3535.0,51.0,231.0,3535.0,51.0,231.0,3535.0,51.0,231.0,3535.0,51.0,231.0,3535.0,51.0,231.0,3535.0,0.4125174027175745,0.2122934805753328,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,149.1471,497.24095,151.153075,240.717,61.825171940844335,0.0,33000.0,33011.0,11.0,0.0,0.0,0.0,2.0,0.008308511654764723
80571,prc786046305,2025-06-13 04:03:15.185,2025-06-13 04:08:16.450,54.0,2025-06-12,A20N,2025-06-12 22:36:03,2025-06-13 04:27:11,SEQM,Quito Mariscal Sucre International Airport,KJFK,New York John F. Kennedy International Airport,A20N,Airbus A320neo,79000.0,66000.0,44300.0,29700.0,350.0,0.82,12500.0,194.0,150.0,180.0,37.57,4.14,3.95,124.0,35.8,4.29,25.0,0.1091999999999997,single-slotted,21.1,0.78,0.176,0.17,0.78,6300.0,turbofan,wing,PW1127G-JM,0.017,0.038,0.807,0.017,2.65942225,79000.0,66000.0,44300.0,29700.0,350.0,0.82,12500.0,0.7969999999999984,-78.354306,-0.125399,7910.0,182.0,2.0,4098.0,182.0,2.0,4098.0,182.0,2.0,4098.0,182.0,2.0,4098.0,182.0,2.0,4098.0,182.0,2.0,4098.0,182.0,2.0,4098.0,182.0,2.0,4098.0,-73.779317,40.639447,13.0,121.0,301.0,4423.0,31.0,211.0,3682.0,121.0,301.0,3048.0,31.0,211.0,2560.0,121.0,301.0,4423.0,121.0,301.0,4423.0,121.0,301.0,4423.0,121.0,301.0,4423.0,0.1778246142456251,0.2048093724543108,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,327.2030833333334,18.909166666666668,329.71362500000004,301.265,68.78422331558565,-2139.2631578947367,30400.0,19600.0,-10800.0,60.62505143239846,32.40240313531132,0.1332223470239304,608.0,2.018156772276899
49136,prc778979906,2025-05-15 20:37:09.842,2025-05-15 20:40:06.189,82.100152,2025-05-15,A20N,2025-05-15 20:16:28,2025-05-16 01:25:35,KJFK,New York John F. Kennedy International Airport,SKBO,Bogota El Dorado International Airport,A20N,Airbus A320neo,79000.0,66000.0,44300.0,29700.0,350.0,0.82,12500.0,194.0,150.0,180.0,37.57,4.14,3.95,124.0,35.8,4.29,25.0,0.1091999999999997,single-slotted,21.1,0.78,0.176,0.17,0.78,6300.0,turbofan,wing,PW1127G-JM,0.017,0.038,0.807,0.017,2.65942225,79000.0,66000.0,44300.0,29700.0,350.0,0.82,12500.0,0.7969999999999984,-73.779317,40.639447,13.0,121.0,301.0,4423.0,31.0,211.0,3682.0,121.0,301.0,3048.0,31.0,211.0,2560.0,121.0,301.0,4423.0,121.0,301.0,4423.0,121.0,301.0,4423.0,121.0,301.0,4423.0,-74.1469,4.70159,8360.0,134.0,314.0,3800.0,134.0,314.0,3800.0,134.0,314.0,3800.0,134.0,314.0,3800.0,134.0,314.0,3800.0,134.0,314.0,3800.0,134.0,314.0,3800.0,134.0,314.0,3800.0,0.2562997667846727,0.3049033114631603,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.697366666666667,285.48018333333334,22.166925,176.347,45.40541596130463,1351.0898203592815,24000.0,28000.0,4000.0,321.87608505494467,219.5983852796625,0.8440303513665441,334.0,1.8939930931629116
103991,prc793041043,2025-07-10 17:00:22.178,2025-07-10 17:05:26.838,400.068144,2025-07-10,B789,2025-07-10 13:51:34,2025-07-10 23:22:44,ZSPD,Shanghai Pudong International Airport,YMML,Melbourne Airport,B789,Boeing 787-9,254000.0,193000.0,128000.0,126400.0,515.0,0.9,13100.0,420.0,260.0,290.0,62.81,5.94,5.77,377.0,60.12,6.27,32.2,0.094,single-slotted,23.054240740740678,0.7597639681818493,0.15,0.15,0.85,14000.0,turbofan,wing,Trent 1000-K2,0.022,0.042,0.783,0.014,3.0298933656539075,254000.0,193000.0,128000.0,126400.0,515.0,0.9,13100.0,0.7969999999999984,121.805,31.1434,13.0,168.0,348.0,4000.0,168.0,348.0,3800.0,168.0,348.0,3800.0,168.0,348.0,3400.0,168.0,348.0,4000.0,168.0,348.0,4000.0,168.0,348.0,4000.0,168.0,348.0,4000.0,144.836432,-37.661548,434.0,160.0,340.0,3657.0,83.0,263.0,2286.0,160.0,340.0,3657.0,160.0,340.0,3657.0,160.0,340.0,3657.0,160.0,340.0,3657.0,160.0,340.0,3657.0,160.0,340.0,3657.0,0.3917719463114417,0.2122934805753328,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,188.80296666666666,377.28603333333336,191.3418,304.66,58.429613684237474,-64.0,37000.0,37000.0,0.0,0.0,153.98404566957873,0.2012163994240551,2.0,0.006564695069914002
115887,prc796603126,2025-07-24 19:34:01.242,2025-07-24 20:18:10.909,4214.776864,2025-07-24,A359,2025-07-24 12:43:54,2025-07-24 22:38:21,ZSPD,Shanghai Pudong International Airport,YSSY,Sydney Kingsford Smith Airport,A359,Airbus A350-900,280000.0,205000.0,142400.0,140795.0,340.0,0.89,13100.0,440.0,300.0,350.0,66.8,6.09,5.96,442.0,64.75,6.01357999999999,31.9,0.09672,double-slotted,26.85375000000005,0.7380026646464303,0.15,0.15,0.85,15000.0,turbofan,wing,Trent XWB-84,0.022,0.043,0.783,0.013,3.086355339673145,280000.0,205000.0,142400.0,140795.0,340.0,0.89,13100.0,0.7969999999999984,121.805,31.1434,13.0,168.0,348.0,4000.0,168.0,348.0,3800.0,168.0,348.0,3800.0,168.0,348.0,3400.0,168.0,348.0,4000.0,168.0,348.0,4000.0,168.0,348.0,4000.0,168.0,348.0,4000.0,151.177002,-33.946098,21.0,155.0,335.0,3962.0,62.0,242.0,2530.0,155.0,335.0,2438.0,155.0,335.0,3962.0,155.0,335.0,3962.0,155.0,335.0,3962.0,155.0,335.0,3962.0,155.0,335.0,3962.0,0.4682095994789011,0.2122934805753328,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,410.1207,140.16818333333333,432.2012583333333,2649.667,668.7815799859807,0.0,37026.0,37021.0,-5.0,0.0,0.0,0.0,2.0,0.0007548118310716026
35032,prc776433571,2025-05-05 17:34:19.949,2025-05-05 17:49:12.841,1632.9311999999973,2025-05-05,A359,2025-05-05 15:47:28,2025-05-06 02:17:19,RCTP,Taipei Taoyuan International Airport,KSEA,Seattle Tacoma International Airport,A359,Airbus A350-900,280000.0,205000.0,142400.0,140795.0,340.0,0.89,13100.0,440.0,300.0,350.0,66.8,6.09,5.96,442.0,64.75,6.01357999999999,31.9,0.09672,double-slotted,26.85375000000005,0.7380026646464303,0.15,0.15,0.85,15000.0,turbofan,wing,Trent XWB-84,0.022,0.043,0.783,0.013,3.086355339673145,280000.0,205000.0,142400.0,140795.0,340.0,0.89,13100.0,0.7969999999999984,121.233002,25.0777,108.0,54.0,234.0,3800.0,54.0,234.0,3660.0,54.0,234.0,3800.0,54.0,234.0,3800.0,54.0,234.0,3800.0,54.0,234.0,3800.0,54.0,234.0,3800.0,54.0,234.0,3800.0,-122.310276,47.447943,432.0,180.0,0.0,3627.0,180.0,0.0,2873.0,180.0,0.0,2591.0,180.0,0.0,3627.0,180.0,0.0,3627.0,180.0,0.0,3627.0,180.0,0.0,3627.0,180.0,0.0,3627.0,0.3287603305785124,0.2494296786008224,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,106.86581666666666,508.10265,114.30658333333334,892.892,274.2764644242219,-6.875955320399765,39000.0,39000.0,0.0,67.75049642854077,47.30517524518415,11.433919341814393,972.0,1.088597501153555
88722,prc788531173,2025-06-22 19:35:28.960,2025-06-22 19:39:29.954,383.28524,2025-06-22,A359,2025-06-22 16:41:19,2025-06-23 02:12:03,ZSPD,Shanghai Pudong International Airport,YSSY,Sydney Kingsford Smith Airport,A359,Airbus A350-900,280000.0,205000.0,142400.0,140795.0,340.0,0.89,13100.0,440.0,300.0,350.0,66.8,6.09,5.96,442.0,64.75,6.01357999999999,31.9,0.09672,double-slotted,26.85375000000005,0.7380026646464303,0.15,0.15,0.85,15000.0,turbofan,wing,Trent XWB-84,0.022,0.043,0.783,0.013,3.086355339673145,280000.0,205000.0,142400.0,140795.0,340.0,0.89,13100.0,0.7969999999999984,121.805,31.1434,13.0,168.0,348.0,4000.0,168.0,348.0,3800.0,168.0,348.0,3800.0,168.0,348.0,3400.0,168.0,348.0,4000.0,168.0,348.0,4000.0,168.0,348.0,4000.0,168.0,348.0,4000.0,151.177002,-33.946098,21.0,155.0,335.0,3962.0,62.0,242.0,2530.0,155.0,335.0,2438.0,155.0,335.0,3962.0,155.0,335.0,3962.0,155.0,335.0,3962.0,155.0,335.0,3962.0,155.0,335.0,3962.0,0.4682095994789011,0.2122934805753328,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,174.166,392.5507666666666,176.17428333333334,240.994,62.426741449882,0.0,37004.0,37003.0,-1.0,0.0,0.0,0.0,2.0,0.008298961799878836
68170,prc783213881,2025-06-02 03:08:14.877,2025-06-02 03:13:15.687,55.0,2025-06-01,A20N,2025-06-01 21:17:17,2025-06-02 03:28:37,SEGU,Guayaquil International Airport,KJFK,New York John F. Kennedy International Airport,A20N,Airbus A320neo,79000.0,66000.0,44300.0,29700.0,350.0,0.82,12500.0,194.0,150.0,180.0,37.57,4.14,3.95,124.0,35.8,4.29,25.0,0.1091999999999997,single-slotted,21.1,0.78,0.176,0.17,0.78,6300.0,turbofan,wing,PW1127G-JM,0.017,0.038,0.807,0.017,2.65942225,79000.0,66000.0,44300.0,29700.0,350.0,0.82,12500.0,0.7969999999999984,-79.883598,-2.15742,20.0,33.0,213.0,2684.0,33.0,213.0,2684.0,33.0,213.0,2684.0,33.0,213.0,2684.0,33.0,213.0,2684.0,33.0,213.0,2684.0,33.0,213.0,2684.0,33.0,213.0,2684.0,-73.779317,40.639447,13.0,121.0,301.0,4423.0,31.0,211.0,3682.0,121.0,301.0,3048.0,31.0,211.0,2560.0,121.0,301.0,4423.0,121.0,301.0,4423.0,121.0,301.0,4423.0,121.0,301.0,4423.0,0.2288721746501676,0.2122934805753328,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,350.9646166666667,15.355216666666667,353.47136666666665,300.81,63.56426203424976,-1796.9562289562289,20200.0,11200.0,-9000.0,349.5996671259255,36.31702269634393,0.8705902006842949,594.0,1.9746683953326019
58320,prc780536077,2025-05-22 09:26:37.933,2025-05-22 09:31:40.326,400.0,2025-05-22,B788,2025-05-22 05:14:09,2025-05-22 14:39:46,SKBO,Bogota El Dorado International Airport,EGLL,London Heathrow Airport,B788,Boeing 787-8,228000.0,172000.0,119000.0,126200.0,515.0,0.9,13100.0,380.0,220.0,250.0,56.72,5.94,5.77,377.0,60.12,6.27,32.2,0.094,single-slotted,40.58450000000004,0.6841600000000007,0.15,0.15,0.85,14800.0,turbofan,wing,Trent 1000-E2,0.017,0.041,0.819,0.013,5.1610875879,228000.0,172000.0,119000.0,126200.0,515.0,0.9,13100.0,0.7969999999999985,-74.1469,4.70159,8360.0,134.0,314.0,3800.0,134.0,314.0,3800.0,134.0,314.0,3800.0,134.0,314.0,3800.0,134.0,314.0,3800.0,134.0,314.0,3800.0,134.0,314.0,3800.0,134.0,314.0,3800.0,-0.461941,51.4706,83.0,89.0,269.0,3901.0,89.0,269.0,3658.0,89.0,269.0,3901.0,89.0,269.0,3901.0,89.0,269.0,3901.0,89.0,269.0,3901.0,89.0,269.0,3901.0,89.0,269.0,3901.0,0.6240710688557513,0.2122934805753328,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,252.4822166666667,308.09456666666665,255.0021583333333,302.393,77.60933605862334,-64.0,40002.0,39999.0,-3.0,0.0,63.423769106240115,1.6993400811985206,2.0,0.0066139097135185015
