,fuel_kg
fuel_kg,1.0
segment_distance_km,0.8853473467820584
segment_duration_s,0.8799842647300654
pax_high,0.5860337443784789
pax_low,0.5687426466269961
flaps_area,0.5632792470374673
mtow,0.5467400081986765
limits_MTOW,0.5467400081986765
pax_max,0.5411017822799886
wing_mac,0.5401556444481883
fuselage_length,0.5398890194526761
drag_cd0,0.5389196023804637
mlw,0.5388437802706499
limits_MLW,0.5388437802706499
limits_OEW,0.5330964951325494
oew,0.5330964951325494
limits_MFC,0.5220029342573066
mfc,0.5220029342573066
fuselage_width,0.5060252376310732
wing_area,0.503620217599727
ceiling,0.5005423311036459
limits_ceiling,0.5005423311036459
fuselage_height,0.4989953929235086
wing_span,0.4972997661306259
drag_k,0.4876877260304392
wing_sweep,0.4850237973670836
mmo,0.48479884099545045
limits_MMO,0.48479884099545045
cruise_mach,0.47927396818853696
cruise_range,0.46953924051601026
mean_time_in_air,0.3477461112721273
takeoff_delta,0.32305069285711513
origin_longitude,0.28535658082589727
destination_longitude,0.26857177562026796
landing_delta,0.2629820625254075
destination_RWY_4_HEADING_a,0.24393277063130372
destination_RWY_5_HEADING_a,0.22974097948202668
destination_RWY_8_HEADING_a,0.21342543074552237
destination_RWY_1_HEADING_a,0.21342543074552237
destination_RWY_7_HEADING_a,0.21342543074552237
destination_RWY_2_HEADING_a,0.19391476903620605
destination_RWY_6_HEADING_a,0.1861101208134483
destination_RWY_4_LENGTH,0.1760722050628769
ending_altitude,0.17230050359073826
starting_altitude,0.1566230197835983
fuel_fuel_coef,0.1429720741864724
origin_RWY_8_LENGTH,0.140967052222227
origin_RWY_7_LENGTH,0.140967052222227
destination_RWY_3_HEADING_a,0.14055410295815668
destination_RWY_2_HEADING_b,0.14042040835936642
origin_RWY_2_HEADING_b,0.13392962773263742
destination_RWY_6_HEADING_b,0.12942946331772437
origin_RWY_4_HEADING_a,0.12628205863771128
origin_RWY_5_HEADING_a,0.12486972063497676
cruise_fraction,0.1232724459385023
origin_RWY_4_LENGTH,0.12026030865635398
destination_RWY_7_LENGTH,0.11960766642445686
destination_RWY_8_LENGTH,0.11960766642445686
origin_RWY_1_LENGTH,0.11946583541712295
origin_RWY_1_HEADING_a,0.11810629826950383
origin_RWY_7_HEADING_a,0.11810629826950383
origin_RWY_8_HEADING_a,0.11810629826950383
origin_RWY_2_LENGTH,0.11018264809287165
destination_RWY_4_HEADING_b,0.10821845601061104
LF2,0.10258554709556439
origin_RWY_3_LENGTH,0.10019075661518277
destination_RWY_1_LENGTH,0.09264115891031081
destination_RWY_5_HEADING_b,0.0896936687148778
destination_RWY_5_LENGTH,0.08966251791830246
origin_RWY_5_LENGTH,0.085389383590262
destination_RWY_3_HEADING_b,0.08202700177755744
mean_vertical_rate,0.08142514856555834
destination_RWY_8_HEADING_b,0.07807792009285858
destination_RWY_1_HEADING_b,0.07807792009285858
destination_RWY_7_HEADING_b,0.07807792009285858
num_trajectory_points,0.07397559798134686
origin_RWY_6_HEADING_b,0.07358458836582522
origin_RWY_3_HEADING_b,0.07219303763336724
origin_RWY_2_HEADING_a,0.05882069494598981
altitude_difference,0.05678225924912891
destination_RWY_6_LENGTH,0.04900780382829843
destination_RWY_3_LENGTH,0.03624850108666719
destination_RWY_2_LENGTH,0.023520298645681954
origin_RWY_6_HEADING_a,0.0013087414880446737
origin_RWY_6_LENGTH,-0.013819511642771115
LF1,-0.01563666222408563
climb_fraction,-0.016154221647514927
origin_RWY_3_HEADING_a,-0.023042994584845142
vmo,-0.02737909223817802
limits_VMO,-0.02737909223817802
clean_e,-0.030075605237229134
origin_RWY_4_HEADING_b,-0.054117213053980824
origin_RWY_5_HEADING_b,-0.058683785487008686
origin_RWY_7_HEADING_b,-0.06419910508920769
origin_RWY_1_HEADING_b,-0.06419910508920769
origin_RWY_8_HEADING_b,-0.06419910508920769
std_track,-0.07361881505796676
approach_fraction,-0.07503776501130961
flaps_bf/b,-0.08206357095463926
origin_latitude,-0.11346559575700628
idx,-0.1246641864803698
destination_elevation,-0.1358002142929861
descent_fraction,-0.14609817279707607
mean_track,-0.14777080018323976
origin_elevation,-0.1603696407994508
std_vertical_rate,-0.16099501878097403
destination_latitude,-0.22578862978335937
points_per_second,-0.370229781163634
drag_gears,-0.38669387769736563
flaps_cf/c,-0.39052911191204115
flaps_Sf/S,-0.3954628394709719
wing_t/c,-0.4954556738789911
drag_e,-0.5021039750621092
parked_fraction,
takeoff_fraction,
landing_fraction,
taxiing_fraction,
