,idx,fuel_kg,mtow,mlw,oew,mfc,vmo,mmo,ceiling,pax_max,pax_low,pax_high,fuselage_length,fuselage_height,fuselage_width,wing_area,wing_span,wing_mac,wing_sweep,wing_t/c,flaps_area,flaps_bf/b,flaps_cf/c,flaps_Sf/S,cruise_mach,cruise_range,drag_cd0,drag_k,drag_e,drag_gears,fuel_fuel_coef,limits_MTOW,limits_MLW,limits_OEW,limits_MFC,limits_VMO,limits_MMO,limits_ceiling,clean_e,origin_longitude,origin_latitude,origin_elevation,origin_RWY_1_HEADING_a,origin_RWY_1_HEADING_b,origin_RWY_1_LENGTH,origin_RWY_2_HEADING_a,origin_RWY_2_HEADING_b,origin_RWY_2_LENGTH,origin_RWY_3_HEADING_a,origin_RWY_3_HEADING_b,origin_RWY_3_LENGTH,origin_RWY_4_HEADING_a,origin_RWY_4_HEADING_b,origin_RWY_4_LENGTH,origin_RWY_5_HEADING_a,origin_RWY_5_HEADING_b,origin_RWY_5_LENGTH,origin_RWY_6_HEADING_a,origin_RWY_6_HEADING_b,origin_RWY_6_LENGTH,origin_RWY_7_HEADING_a,origin_RWY_7_HEADING_b,origin_RWY_7_LENGTH,origin_RWY_8_HEADING_a,origin_RWY_8_HEADING_b,origin_RWY_8_LENGTH,destination_longitude,destination_latitude,destination_elevation,destination_RWY_1_HEADING_a,destination_RWY_1_HEADING_b,destination_RWY_1_LENGTH,destination_RWY_2_HEADING_a,destination_RWY_2_HEADING_b,destination_RWY_2_LENGTH,destination_RWY_3_HEADING_a,destination_RWY_3_HEADING_b,destination_RWY_3_LENGTH,destination_RWY_4_HEADING_a,destination_RWY_4_HEADING_b,destination_RWY_4_LENGTH,destination_RWY_5_HEADING_a,destination_RWY_5_HEADING_b,destination_RWY_5_LENGTH,destination_RWY_6_HEADING_a,destination_RWY_6_HEADING_b,destination_RWY_6_LENGTH,destination_RWY_7_HEADING_a,destination_RWY_7_HEADING_b,destination_RWY_7_LENGTH,destination_RWY_8_HEADING_a,destination_RWY_8_HEADING_b,destination_RWY_8_LENGTH,LF1,LF2,parked_fraction,takeoff_fraction,climb_fraction,cruise_fraction,descent_fraction,approach_fraction,landing_fraction,taxiing_fraction,takeoff_delta,landing_delta,mean_time_in_air,segment_duration_s,segment_distance_km,mean_vertical_rate,starting_altitude,ending_altitude,altitude_difference,std_vertical_rate,mean_track,std_track,num_trajectory_points,points_per_second
idx,1.0,-0.10295540879163895,-0.08142306977258618,-0.08454281026471999,-0.08346195615038257,-0.08662811029998549,-0.09763770156103878,-0.10498951424296075,-0.08891681828460225,-0.07714113905001997,-0.05954962487313696,-0.05770966705286321,-0.08986112981842918,-0.06983320425308959,-0.08643300149793834,-0.09158582667702383,-0.0917699699124916,-0.06721644156787927,-0.09556602544047235,0.11850284592431455,-0.07697671095797963,0.1926933294819279,0.1803926713474148,0.1724089858294689,-0.11574015933464608,-0.0840074420345329,-0.05318183315399903,-0.12583517969167624,0.011276667555696654,0.102447305938604,-0.13246440431819098,-0.08142306977258618,-0.08454281026471999,-0.08346195615038257,-0.08662811029998549,-0.09763770156103878,-0.10498951424296075,-0.08891681828460225,-0.10962208695327666,-0.05187983511454515,-0.10294162665982327,0.047544834499744885,-0.03724029604559912,-0.006903642633787099,0.028079103788871383,-0.01992936253874196,-0.07774233722524614,-0.015770775224701546,0.07500188428831521,-0.00435806573712746,0.06318441188295819,-0.02997839070456971,-0.003430359052762514,0.015642712478486025,-0.03192409768208324,-0.001363795123266452,0.1073278850992956,-0.02775604535564066,-0.01585153413944049,0.12408701559392836,-0.03724029604559912,-0.006903642633787099,0.02459283796323329,-0.03724029604559912,-0.006903642633787099,0.02635242410193446,-0.013716523192400455,-0.07627446000485182,-0.01266699780148717,-0.03066327810397554,0.057039556572435875,0.047765598023144375,-0.043347467715425775,-0.06773457066827145,-0.024485809843201575,0.0733557328543858,0.027087473833123297,0.014879285374202071,-0.05327306534345584,0.04181347006273135,-0.017469307501075927,-0.03416536633668556,0.055463740023351554,0.1037115078604337,-0.016736797632800633,0.035976134289327506,0.11758619129268788,-0.03066327810397554,0.057039556572435875,0.030159604340498834,-0.03066327810397554,0.057039556572435875,0.030002007737825426,-0.07324238323670794,-0.11838340933865275,,,0.01968430369647413,0.038174033293671736,0.012411026127921486,-0.049122055291734114,,-0.01495191153680795,-0.030440432214413955,-0.02304398835659118,-0.03480221100065368,-0.13419303247435582,-0.05133402174959238,-0.012186127092018644,-0.018647832821735315,-0.00823243261988715,0.022283732062605265,-0.003964815443304108,-0.06514899498255843,0.00041853014122028977,-0.024166219968978057,0.12309161923459967
fuel_kg,-0.10295540879163895,1.0,0.5714143815388533,0.5657499181742454,0.5638015585551028,0.5553414735289479,0.04664550005966954,0.5304050226531887,0.5262974670220958,0.5632662305946222,0.5675165176216328,0.5764673438702087,0.5620152216946117,0.5405622488467671,0.5460235997467469,0.5499416196913426,0.5396316273833115,0.5251182163598169,0.533770566434103,-0.5137065245763018,0.44596200550712867,-0.16434466441071047,-0.4012535504658356,-0.4503651900898262,0.529144195326781,0.5108796221188283,0.5057297358169393,0.5075983029989668,-0.39103513273613166,-0.4660772896811306,0.20302929128948882,0.5714143815388533,0.5657499181742454,0.5638015585551028,0.5553414735289479,0.04664550005966954,0.5304050226531887,0.5262974670220958,0.046105767927188644,0.2669649133305423,-0.031481529842510306,-0.12734064016022828,0.12503794047548328,0.04558258866108113,0.16432621530589858,0.1778770216680323,0.16558570190825186,0.15352294141271128,0.05787212889647763,0.06777268144210039,0.11620070884204911,0.10921870121765483,0.03665162635592291,0.11316867050243039,0.12358950701575226,0.050427434266524074,0.14696873801696772,0.09820440304382602,0.08778897707446713,0.12298954204928406,0.12503794047548328,0.04558258866108113,0.17257704926765982,0.12503794047548328,0.04558258866108113,0.17603537552753815,0.2866239618265149,-0.14132757921359584,-0.08146636971686973,0.08629403714537563,-0.05199206036055291,0.11918110950617603,0.11289457304353163,0.08414507285753196,0.09674612853401238,0.010824892799078566,-0.002440271921413411,0.06527316481857472,0.11964268216357414,-0.02714951121762313,0.18666823739140243,0.09586028707146728,-0.04218467480191976,0.10886070403630992,0.049894980409613876,-0.001569802526861817,0.08355330859537932,0.08629403714537563,-0.05199206036055291,0.13361695136435028,0.08629403714537563,-0.05199206036055291,0.13707226954234936,-0.030604870171874694,0.18879297644555787,,,0.018937793134362783,0.12674269750130962,-0.14245625229177267,-0.05884208128535698,,-0.012811092901641704,0.29104097239655335,0.36879917540346946,0.31268203355991137,0.8031142808302504,0.24877375397977455,0.07676845427614783,0.13728367982313447,0.17762090516761586,0.09723444281241936,-0.09758698820660464,-0.06298176181160986,-0.047438650763974265,0.062011300412451904,-0.34310535343654347
mtow,-0.08142306977258618,0.5714143815388533,1.0,0.9985375265945745,0.9986455967121214,0.9928083559113554,0.18591849080633074,0.9673126721636202,0.9156376490888709,0.9953249375578961,0.967028128758564,0.9636247149344901,0.9917461962508193,0.9848269185160173,0.99010520071048,0.9928889606032484,0.9859749492278245,0.9160799342491426,0.9798386093872475,-0.8777882751147422,0.6234587449032147,-0.3431119321681698,-0.7467525197710242,-0.8368403998716458,0.9673865510943596,0.9543298506365221,0.8412417213394634,0.8533983402364662,-0.621100823926474,-0.9142323884434131,0.4948840934322726,1.0,0.9985375265945745,0.9986455967121214,0.9928083559113554,0.18591849080633074,0.9673126721636202,0.9156376490888709,0.07533839879096708,0.629075868429719,-0.10228422583358754,-0.1901342555690896,0.2729780236038486,0.07352897897303744,0.3627748444756034,0.3591873986180123,0.33187947242465987,0.36103487780431903,0.22716089632906375,0.2133666763582177,0.31858943138156914,0.2825247625633161,0.0859451975785227,0.29264509431895,0.2840007551989746,0.08764140248885098,0.3716650440711595,0.2460025128298609,0.13032935947651447,0.3264091983623967,0.2729780236038486,0.07352897897303744,0.3836265580108708,0.2729780236038486,0.07352897897303744,0.38856492936283027,0.6595904819617875,-0.3397452671119114,-0.12633727097654918,0.24612071896374985,0.009177604133040206,0.26959336992824634,0.2544701757555162,0.22866986468837347,0.17531443804160968,0.20062916026627764,0.16837124209894047,0.15017372928214026,0.29997534441294876,0.052515112500557466,0.3905484169094563,0.26627035824168893,0.025419147100665437,0.29688214634814897,0.2296790597580354,0.05620059374340564,0.26338532763168554,0.24612071896374985,0.009177604133040206,0.30017353814529624,0.24612071896374985,0.009177604133040206,0.3029875882578179,-0.15177381873419268,0.271983543388463,,,-0.09299531424160706,0.2139092514680223,-0.14540797203276362,-0.07132922800954877,,-0.015497517681734246,0.5918514133317826,0.5854926716552177,0.5978146587682256,0.2959197306479658,0.10303933657896003,0.011520726315003662,0.25402259833010155,0.25198157733000726,0.008609395837757536,-0.2346443546530802,-0.18437026769543732,-0.12120916912473349,-0.25258106649170753,-0.5527274272070377
mlw,-0.08454281026471999,0.5657499181742454,0.9985375265945745,1.0,0.9989437955921564,0.995437797957815,0.19523607211534943,0.9668520484451939,0.9008767976309409,0.9943052470801158,0.95409638218817,0.951004402518772,0.9931996620936644,0.9825564912422168,0.9932668412765764,0.9940100111240388,0.9911060511090422,0.9192104199425065,0.9783742144735812,-0.868113054466282,0.5999433665818814,-0.35231269347151223,-0.765603310706682,-0.84506595369858,0.9688617745195692,0.9584269817441748,0.8466114422543283,0.8434906231764647,-0.6367588915772923,-0.9220988660028469,0.5277785828805871,0.9985375265945745,1.0,0.9989437955921564,0.995437797957815,0.19523607211534943,0.9668520484451939,0.9008767976309409,0.07880715993452923,0.6301145021399787,-0.10309277255975875,-0.1880635820093554,0.27360595532674165,0.07259786773822689,0.36489287840496865,0.36068316215894264,0.33210948527075385,0.36290175077973563,0.2294454461737982,0.21396260678462684,0.318821940079829,0.28378819438674424,0.08486333599695228,0.29343237633064606,0.28508402198403654,0.08671772236138368,0.3743897739893867,0.24699692203156526,0.12890665532560175,0.32874672888577355,0.27360595532674165,0.07259786773822689,0.3860147016385551,0.27360595532674165,0.07259786773822689,0.39081743873250047,0.6586252395450961,-0.34120944134730846,-0.12280074943246921,0.24638431180756068,0.010945168583606944,0.2695195616393649,0.2566748392751011,0.23135218847164182,0.17826984354070316,0.20236435500112457,0.17059938478556488,0.15223972787195578,0.30056086587963504,0.054333329832047826,0.3920594411838222,0.267031758817991,0.027338412728108167,0.2985355805237275,0.23165351126354689,0.05677816738855695,0.26559006568978705,0.24638431180756068,0.010945168583606944,0.3011247279804277,0.24638431180756068,0.010945168583606944,0.303825964327555,-0.148926811690585,0.27585019677620876,,,-0.09327748444866676,0.21400803747522004,-0.14518352851990546,-0.07170344773399591,,-0.014230291876422418,0.5927613192337083,0.5829129865273227,0.5985982667664119,0.29234623518261066,0.10287582022549673,0.011150808833295214,0.25641633861123647,0.2538639229187352,0.007591007610282086,-0.23652368058137618,-0.18540095462982215,-0.12221869975507237,-0.256839473623186,-0.5566115672781238
oew,-0.08346195615038257,0.5638015585551028,0.9986455967121214,0.9989437955921564,1.0,0.9938366616112096,0.19679869623324725,0.9709504870730529,0.9120919969461312,0.9932357571389405,0.9570152085654732,0.9538818463989248,0.9922736272625353,0.9860090785473365,0.9943023835514767,0.9966087616840565,0.9927090080229617,0.9079388442737264,0.9820090088133921,-0.8779953335178592,0.5956068500421288,-0.3400728259543988,-0.7601068762726018,-0.8396345148172139,0.973146446009876,0.9661519165336927,0.8327706189904989,0.8376344471023768,-0.6167072682807875,-0.9295594737172227,0.5126353590629195,0.9986455967121214,0.9989437955921564,1.0,0.9938366616112096,0.19679869623324725,0.9709504870730529,0.9120919969461312,0.08093896811054972,0.6284289692602135,-0.11221621713552934,-0.18484206300161865,0.27366177128193053,0.07326867835915633,0.36636551089303515,0.36267196333510693,0.33304697854360127,0.36744328434763684,0.23088051962257994,0.21438955469014787,0.32005531765149725,0.2843662502365647,0.08645075777729565,0.2935347481330963,0.2855474036205272,0.08808552452677769,0.37691201822450204,0.250454363435009,0.12670149143100584,0.33314169722575476,0.27366177128193053,0.07326867835915633,0.3873714021096117,0.27366177128193053,0.07326867835915633,0.3924456428807299,0.6583113704523256,-0.35071557084619015,-0.11937710797187072,0.24842346582730293,0.013296497584099426,0.27337928919686033,0.2581487289615966,0.23094169711381232,0.18013268330588486,0.20783984322193425,0.1729807659569744,0.15043728471980133,0.3018287038329561,0.05645810340295147,0.39126119212419114,0.269132456408699,0.030042592152648314,0.30262053880415385,0.23769908888418304,0.055430832709467685,0.2720810653817562,0.24842346582730293,0.013296497584099426,0.30433502699522175,0.24842346582730293,0.013296497584099426,0.30720632875172726,-0.1536298184899324,0.2745428743712674,,,-0.09265350424594307,0.2145135269961306,-0.1453109366807311,-0.07165033682318178,,-0.015917329271316907,0.5974527576424976,0.5896670637810958,0.6032765289592682,0.29376247014375745,0.1020214058161564,0.011193000032980866,0.2601788861594284,0.2579514445676854,0.008512034035606696,-0.23834887543360336,-0.19216297908396132,-0.12224619096479038,-0.2589320330971791,-0.5606060422104258
mfc,-0.08662811029998549,0.5553414735289479,0.9928083559113554,0.995437797957815,0.9938366616112096,1.0,0.2111728801154488,0.9621702970912333,0.8827853147394518,0.9924897508793503,0.9406258018761031,0.9349760112549635,0.9811246824503581,0.9828440998542157,0.9928284972136568,0.9891138844697241,0.9880922596876325,0.9422859740503131,0.9762058812653125,-0.8457816900707076,0.6219011288111638,-0.3775604229594652,-0.7587675684562819,-0.8429141350910624,0.9603189643633052,0.9559406814301364,0.8213837800474868,0.8274989868078663,-0.6055230011852637,-0.9228942616713077,0.5819673556889899,0.9928083559113553,0.9954377979578147,0.9938366616112098,1.0,0.2111728801154488,0.9621702970912333,0.8827853147394518,0.09286843416167362,0.6045597979387312,-0.10042363617430333,-0.1710224154361157,0.26367421497585597,0.05127296285661055,0.36472226974886485,0.34883879771430276,0.3205656111845744,0.37024560882932883,0.2185976335806289,0.20338801438226026,0.3142258719203679,0.2727339405835199,0.061759423298235784,0.29172992219156335,0.2762420272950772,0.06402841371786544,0.3768770081918152,0.2340901818680629,0.10852040142176073,0.3292514916061006,0.26367421497585597,0.05127296285661055,0.3881272112937949,0.26367421497585597,0.05127296285661055,0.39211458371919333,0.6303568994716,-0.3242779091152891,-0.10138807139283751,0.23962162160247089,-0.0058924342360666335,0.27176716180207333,0.25539062783101135,0.23083137667370962,0.19950772328202668,0.19281906652980876,0.16361716805874937,0.16080047938671638,0.29078703491970503,0.03509101338807484,0.3894282791520872,0.26042265057916836,0.009248578852358802,0.3020793713595212,0.22088475881554254,0.041598010495366426,0.26628286198799067,0.23962162160247089,-0.0058924342360666335,0.3044590028808486,0.23962162160247089,-0.0058924342360666335,0.3065999077806317,-0.1479249991615741,0.29088440205155264,,,-0.09152078866479506,0.2101788735336529,-0.13919777565697486,-0.0713741580919993,,-0.013944986215436236,0.5886610797764958,0.5730716613501726,0.5943176774893845,0.2851420538168218,0.10024204087661294,0.008395987299029552,0.2559367267058076,0.2533759539088539,0.007546795279635836,-0.233907616086178,-0.1819650283551544,-0.12109530798979698,-0.2561440935810618,-0.5521918415682807
vmo,-0.09763770156103878,0.04664550005966954,0.18591849080633074,0.19523607211534943,0.19679869623324725,0.2111728801154488,1.0,0.39946671850208,0.3637716468498201,0.18532786583130095,0.0714072547280532,0.03426955543140062,0.15482748916578112,0.2709461891320956,0.2571693377496002,0.21111626116509588,0.22948826738175282,0.20374353001319143,0.3411396851598759,-0.4681672804498681,0.30200600837112357,-0.14041159918004525,-0.23371097196113882,-0.23740121344196138,0.33952483822354457,0.3117123819554456,-0.16840187991415612,0.06250637204084472,0.3625302657490623,-0.29951910733757964,0.378514112123,0.18591849080633083,0.19523607211534952,0.1967986962332473,0.21117288011544869,1.0,0.39946671850208,0.3637716468498201,0.35018888903671885,0.06970334419385968,-0.03198151640686611,0.20063828744180331,0.15807374384662218,-0.06104714321834174,0.14009153875987682,0.14736103701212738,0.15959382425571636,0.17389105065110155,0.14184804538343745,0.1477136115547834,0.12559606133098727,0.17968053828847227,-0.038421400534499044,0.1333065458529489,0.16714625171740438,-0.06463023784721277,0.15014941496174694,0.1761202124655123,-0.08392221617310985,0.1421088456250376,0.15807374384662218,-0.06104714321834174,0.14873922447725269,0.15807374384662218,-0.06104714321834174,0.14487804382020955,0.04741893120331921,-0.12000690954073846,0.29022773489435727,0.20033250568402852,-0.044350923821828474,0.10511546575020025,0.17915886844760642,0.1816469270429725,0.12112514493939748,0.1866998002839673,0.17732875339357757,0.20175392011391938,0.21747547475168535,-0.024111829481969174,0.15260353981606598,0.20710506220559965,-0.04517794867449673,0.12365583531274131,0.21572659231176333,-0.06244288063294232,0.1151913145140288,0.20033250568402852,-0.044350923821828474,0.1150881884336274,0.20033250568402852,-0.044350923821828474,0.11240842614515799,0.01195963647481575,0.2666448993050144,,,-0.027274155881223033,0.04459464092975529,-0.008885854408644284,-0.024788819162526104,,-0.013637283317112342,0.11659830125386186,0.1943711479814776,0.11707615768798692,0.043671632678733745,0.00640771660995275,-0.010029066786803986,0.14721487483364087,0.1464629991646208,0.005953693662426716,-0.09518783450686431,-0.02423339048237223,-0.04446377956501178,-0.1448596000611765,-0.2598848464326266
mmo,-0.10498951424296075,0.5304050226531887,0.9673126721636202,0.9668520484451939,0.9709504870730529,0.9621702970912333,0.39946671850208,1.0,0.9572557391221725,0.9549314926036129,0.9112602624373914,0.8967687578879949,0.9547727666510198,0.9762261786489783,0.9794727818485772,0.9768721053490342,0.9729533519830675,0.8619822502518685,0.9945074655145633,-0.9463125394440324,0.6193843069221104,-0.3497712809595367,-0.764936615410975,-0.8407930097829357,0.9924350530654125,0.967250095651618,0.7321607604994801,0.8161131065875304,-0.4709770202845442,-0.9454007487115754,0.5080495955759711,0.9673126721636199,0.9668520484451936,0.9709504870730526,0.962170297091233,0.39946671850208015,1.0,0.9572557391221725,0.1562801004940645,0.6157907719517629,-0.1172868624106034,-0.12941037301403566,0.28767004277823177,0.05603754693253252,0.3671258885560576,0.37594080786213396,0.35320077200181255,0.3823003799121719,0.24505860228826087,0.2352621622443153,0.32763064784829377,0.30904169581626123,0.07894224762361488,0.30725892991644166,0.30196828362593964,0.07108580130819583,0.3817003457508703,0.2731000732644127,0.09842858338241708,0.34161003891046654,0.28767004277823177,0.05603754693253252,0.3874841166008207,0.28767004277823177,0.05603754693253252,0.3920971686949493,0.6390027423035989,-0.36198508626509773,-0.04928890684765333,0.283791467622373,0.000557506548854781,0.27488814563860803,0.28400132942347617,0.2570802267161365,0.18457299161282026,0.24042571927705794,0.2032958145579802,0.1757333885619503,0.3395824041574134,0.047456554654615395,0.3978576028388327,0.30397635458380406,0.01625142699144884,0.3050154603871105,0.27641101104068333,0.0365725109415645,0.2758483842835842,0.283791467622373,0.000557506548854781,0.3049373790937273,0.283791467622373,0.000557506548854781,0.30739188842332904,-0.14187202780133865,0.3164570827930314,,,-0.09133376188169948,0.21178608870116755,-0.13959057395188396,-0.07392582572110429,,-0.019035248958375127,0.5912082779138628,0.6026071219411262,0.5968415506483643,0.28696746989180383,0.0962893809115404,0.00866480394781298,0.28161815810128243,0.27959447807341403,0.010079084207528444,-0.24603272106972338,-0.1872883856223874,-0.12428700119521954,-0.27330419642116477,-0.5827662218560091
ceiling,-0.08891681828460225,0.5262974670220958,0.9156376490888709,0.9008767976309409,0.9120919969461312,0.8827853147394518,0.3637716468498201,0.9572557391221725,1.0,0.8944413218769985,0.9160919787874239,0.9011821402897232,0.8952188353433019,0.9272353440846425,0.9072128726404254,0.917272487127853,0.8939246837154287,0.759090344230294,0.9486609204442313,-0.9766253296358225,0.6691542781855928,-0.2523804125235902,-0.6448118181823371,-0.7532522570787488,0.9439420774042577,0.9012019542191776,0.6627425448389217,0.8192324957704126,-0.36424554620796606,-0.8634360394824054,0.2694033491329311,0.9156376490888707,0.9008767976309409,0.9120919969461309,0.8827853147394524,0.3637716468498202,0.9572557391221718,1.0,0.13543416034769826,0.5976599314792684,-0.11797667820905361,-0.13518330196654552,0.27992694917595173,0.07115372689653576,0.3355109513896142,0.3628561060175658,0.3485534762072724,0.3513008782136878,0.2322821653575363,0.2328340348638255,0.3123523934225294,0.30062740290105755,0.09836130342780824,0.2891412044017296,0.29128874161685075,0.0869978083982647,0.34611904666189475,0.26999037871002035,0.10960955388869462,0.3131774542826305,0.27992694917595173,0.07115372689653576,0.35197917686571883,0.27992694917595173,0.07115372689653576,0.35770219234962547,0.6290156795621247,-0.3606529812858697,-0.0671191291463219,0.2819638079810515,0.004997815990633943,0.2577929942116405,0.2642301371983898,0.2349968123800369,0.14209693843036075,0.23693623178139417,0.1949530383868335,0.1499691582512278,0.33454080674963865,0.05124694863219065,0.3687885333428191,0.29852278417325645,0.02005883151672486,0.27790309293937665,0.2728601835644429,0.04062739257765067,0.2518165890982928,0.2819638079810515,0.004997815990633943,0.2809524435823855,0.2819638079810515,0.004997815990633943,0.28420556761430177,-0.1493914732843943,0.2730938413856821,,,-0.08589602844734383,0.20324584420175326,-0.1375721370072083,-0.06866506493474647,,-0.025485273345881843,0.5613867412951102,0.5962068491931609,0.5673652747154632,0.2931436438657881,0.09456171566256805,0.012093477803531686,0.26167531773392827,0.26221901287045907,0.014781386311671198,-0.23003088151502366,-0.18019011420943665,-0.1134835493571946,-0.244385716908388,-0.5443052869183266
pax_max,-0.07714113905001997,0.5632662305946222,0.9953249375578961,0.9943052470801158,0.9932357571389405,0.9924897508793503,0.18532786583130095,0.9549314926036129,0.8944413218769985,1.0,0.9680691754252452,0.9647668895393998,0.9868838681196571,0.9814540904125868,0.9825226818824537,0.9832514068775602,0.9769332097966735,0.9325724253068465,0.9727977156630332,-0.85111830915376,0.6282395212723305,-0.36010610327903764,-0.7297311409820451,-0.8324136099497381,0.951322926230735,0.9477081478549567,0.8283542969524246,0.838280163139205,-0.6098767278771461,-0.8952819182513528,0.5280510486821876,0.9953249375578961,0.9943052470801159,0.9932357571389405,0.9924897508793505,0.185327865831301,0.9549314926036125,0.8944413218769985,0.07751496707184559,0.6190681263472744,-0.09368669126062333,-0.1906818357005654,0.26763349423438265,0.07051434003501789,0.3608614072945994,0.3528086800552203,0.3235821469056567,0.3587112933652084,0.22494657449030883,0.20770909309891572,0.3164983678825069,0.27453784665990044,0.07957938727498924,0.2910656918671164,0.279426644274479,0.08350406149647373,0.3727149410659053,0.2406091987743387,0.1272255212593149,0.3273219406460842,0.26763349423438265,0.07051434003501789,0.3848619149588159,0.26763349423438265,0.07051434003501789,0.3888939744274535,0.6495005303951428,-0.32514695885044675,-0.1266393664837948,0.23483048427065129,0.0070610652984073,0.26570639900271587,0.2494862598530229,0.22487357653952497,0.18223963593720421,0.19196379337941896,0.16152323222171427,0.1554507990663036,0.28688870130145067,0.04834559627602864,0.3881373760977865,0.25605206968061794,0.02325557570412276,0.29627308608453373,0.2188792972684659,0.053609962881355826,0.26229854629370014,0.23483048427065129,0.0070610652984073,0.29855027399603007,0.23483048427065129,0.0070610652984073,0.300999442497605,-0.15690926313900605,0.27136146586580584,,,-0.0947112800044252,0.21286160661398434,-0.142029274722205,-0.0701076655868943,,-0.01482144048875789,0.5789319244404462,0.5715074343968293,0.5847243915056964,0.2873635744892239,0.10076832657178104,0.010188281055971322,0.24865548633854861,0.2462305460032116,0.007472998570861404,-0.22926311681735295,-0.17740951608858677,-0.1202808978530792,-0.2492903112149261,-0.5449923212554627
