,idx,fuel_kg,mtow,mlw,oew,mfc,vmo,mmo,ceiling,pax_max,pax_low,pax_high,fuselage_length,fuselage_height,fuselage_width,wing_area,wing_span,wing_mac,wing_sweep,wing_t/c,flaps_area,flaps_bf/b,flaps_cf/c,flaps_Sf/S,cruise_mach,cruise_range,drag_cd0,drag_k,drag_e,drag_gears,fuel_fuel_coef,limits_MTOW,limits_MLW,limits_OEW,limits_MFC,limits_VMO,limits_MMO,limits_ceiling,clean_e,origin_longitude,origin_latitude,origin_elevation,origin_RWY_1_HEADING_a,origin_RWY_1_HEADING_b,origin_RWY_1_LENGTH,origin_RWY_2_HEADING_a,origin_RWY_2_HEADING_b,origin_RWY_2_LENGTH,origin_RWY_3_HEADING_a,origin_RWY_3_HEADING_b,origin_RWY_3_LENGTH,origin_RWY_4_HEADING_a,origin_RWY_4_HEADING_b,origin_RWY_4_LENGTH,origin_RWY_5_HEADING_a,origin_RWY_5_HEADING_b,origin_RWY_5_LENGTH,origin_RWY_6_HEADING_a,origin_RWY_6_HEADING_b,origin_RWY_6_LENGTH,origin_RWY_7_HEADING_a,origin_RWY_7_HEADING_b,origin_RWY_7_LENGTH,origin_RWY_8_HEADING_a,origin_RWY_8_HEADING_b,origin_RWY_8_LENGTH,destination_longitude,destination_latitude,destination_elevation,destination_RWY_1_HEADING_a,destination_RWY_1_HEADING_b,destination_RWY_1_LENGTH,destination_RWY_2_HEADING_a,destination_RWY_2_HEADING_b,destination_RWY_2_LENGTH,destination_RWY_3_HEADING_a,destination_RWY_3_HEADING_b,destination_RWY_3_LENGTH,destination_RWY_4_HEADING_a,destination_RWY_4_HEADING_b,destination_RWY_4_LENGTH,destination_RWY_5_HEADING_a,destination_RWY_5_HEADING_b,destination_RWY_5_LENGTH,destination_RWY_6_HEADING_a,destination_RWY_6_HEADING_b,destination_RWY_6_LENGTH,destination_RWY_7_HEADING_a,destination_RWY_7_HEADING_b,destination_RWY_7_LENGTH,destination_RWY_8_HEADING_a,destination_RWY_8_HEADING_b,destination_RWY_8_LENGTH,arrival_rwy_heading,departure_rwy_heading,arrival_rwy_length,departure_rwy_length,starting_altitude,ending_altitude,altitude_difference,mean_vertical_rate,std_vertical_rate,mean_track,std_track,num_trajectory_points,points_per_second,takeoff_delta,landing_delta,mean_time_in_air,segment_duration_s,segment_distance_km,mean_dist_to_origin_km,mean_dist_to_dest_km,takeoff_fraction,climb_fraction,cruise_fraction,descent_fraction,approach_fraction,landing_fraction,taxiing_fraction
idx,1.0,-0.10288933762418663,-0.09669012489043965,-0.10078767062914029,-0.09924187938986301,-0.1031915545550005,-0.12800985576242085,-0.12486751651193799,-0.10230102353198796,-0.0934632130164753,-0.06904213753801344,-0.06515157672829715,-0.10417298416919003,-0.08848120149596185,-0.1042426919236189,-0.10757521543972647,-0.10930300239295904,-0.08526559191894338,-0.11530281860106936,0.13335592365090804,-0.08011714231439064,0.20548237720630833,0.19789206591552572,0.18880172745606427,-0.13402951577297478,-0.102436305297827,-0.0604546443738444,-0.1326573562791077,0.015670408035903784,0.1227182616972415,-0.15476731612685968,-0.09669012489043965,-0.10078767062914029,-0.09924187938986301,-0.1031915545550005,-0.12800985576242085,-0.12486751651193799,-0.10230102353198796,0.05520199078952643,-0.056048950265844305,-0.10219586118791242,0.02695651591012228,-0.049911276343878666,0.0020094666939981494,0.01956501846083702,-0.03325777503980893,-0.07655588189465984,-0.03273344176112732,0.06054085509251005,-0.003958000163837102,0.03461153255363695,-0.05119487883353586,-0.00066057213190977,-0.006240979730501979,-0.04660943560102317,0.0027468430599365337,0.09907616336724943,-0.04308043605102373,-0.0075728698105877795,0.11739537141026636,-0.049911276343878666,0.0020094666939981494,0.018353236048229006,-0.049911276343878666,0.0020094666939981494,0.017747888682476478,-0.03799358792774576,-0.06854248276954988,-0.004929391403528701,-0.03644397015207247,0.05400208521595574,0.030657473041381198,-0.04627178774473248,-0.07002549007842818,-0.03260838024947856,0.06383894607259448,0.01829623539328183,0.015906328204501764,-0.05757023818181173,0.03988453373049525,-0.020170665731930323,-0.038411514041648546,0.05016004868874315,0.09771387642417605,-0.01625009989091183,0.028980398651602925,0.11737206688846161,-0.03644397015207247,0.05400208521595574,0.023886322540280013,-0.03644397015207247,0.05400208521595574,0.02162254965885587,-0.02684065891089844,-0.03295076959124069,-0.020017081238283174,-0.03188438814329581,-0.04355701158587004,-0.039881851924508625,0.005587170006118427,-0.018147777311086855,0.00829788319827331,-0.03314554258982264,-0.001260134616313141,0.0071047793538329485,0.16518847023743408,-0.040057780500707844,-0.030631402409871326,-0.0439056101428101,-0.11110745311882204,-0.05137579413878817,-0.03765497012490264,-0.02438414105689192,-0.024339993750218825,0.02768657163647273,0.017918960496164003,0.03309933910692884,0.015984512041445725,-0.03754587836708821,-0.1342196639799775
fuel_kg,-0.10288933762418663,1.0,0.5654300709009589,0.5607708996471583,0.5585664008062183,0.5523807710227513,0.07250146065476509,0.5306522391610399,0.5194278900094997,0.5577778264644988,0.5614785192685101,0.5635874166378518,0.5562044583028983,0.5421401788342539,0.5451384482775203,0.5477169985070474,0.5389785251590511,0.5296048412060702,0.5371987809435274,-0.49845627000058257,0.4327018414153612,-0.18816313627562128,-0.40975215373566337,-0.45941100550184616,0.5290088175266271,0.5088677584542737,0.5014194838875237,0.5101133904050583,-0.3856528527759372,-0.47436906569182113,0.23185191979519384,0.5654300709009589,0.5607708996471583,0.5585664008062183,0.5523807710227513,0.07250146065476509,0.5306522391610399,0.5194278900094997,0.02394031544515201,0.2657066299463286,-0.02302347465150156,-0.11721110789052655,0.11938245358193968,0.012079020462438765,0.16609106449753558,0.1682002169944594,0.1533327186520612,0.15553276286613432,0.05198116830538553,0.05739854208064832,0.117568286276068,0.11239968979594835,0.012078554621924273,0.1248263678654346,0.11959409386816583,0.018925555084067087,0.14363776757521798,0.08508178114883097,0.05848911703962689,0.1136467397914454,0.11938245358193968,0.012079020462438765,0.1701276274724187,0.11938245358193968,0.012079020462438765,0.17491490996628975,0.28701215248836626,-0.1384527398791174,-0.07199926734230747,0.08450560831740637,-0.033626706161088565,0.12257576479486716,0.119104024375747,0.09561666935550839,0.07637569708219909,0.019564776452301095,0.01329828371751286,0.06898451141709931,0.11464353793872693,-0.011641882596764169,0.18677680570369665,0.09554460320935425,-0.026069317466537793,0.1175690898265893,0.05726036119829566,0.007896589345312684,0.0936756301076024,0.08450560831740637,-0.033626706161088565,0.13978983032309825,0.08450560831740637,-0.033626706161088565,0.141389488667284,-0.05742591830952641,0.0005826428950523486,-0.06899322448444668,-0.0005362174017180328,0.13979335695922507,0.17156959446322706,0.0769401390900266,0.07741133503888581,-0.09875297980032534,-0.06764981640810962,-0.03415600217939877,0.10348778998078079,-0.31687031613634487,0.30108526847979167,0.34729637986791523,0.32262985072491007,0.7894187376820173,0.25210314386101257,0.3342678929817995,0.3665017870165998,-0.020440714490390244,0.006589005915039252,0.1381621295607297,-0.13673075568760154,-0.060908445794778845,-0.06414056190674146,-0.06686144270074541
mtow,-0.09669012489043965,0.5654300709009589,1.0,0.9986259522999681,0.998727046921977,0.9926054512856461,0.20519445830864164,0.96576621018972,0.9115007844588081,0.9951953549376078,0.9678594611951717,0.9630560096930024,0.9921585102032554,0.984781704687951,0.9901154528108753,0.9928848403236509,0.9868010265595004,0.9181519529906406,0.9790837057773222,-0.8725667082496497,0.6235346635033366,-0.3547808793069369,-0.7674699917850538,-0.8417827978016741,0.9673839995633495,0.955654722388888,0.8378301857074499,0.8533439136564812,-0.6225604405544202,-0.9165301746876249,0.5082478387047477,1.0,0.9986259522999681,0.998727046921977,0.9926054512856461,0.20519445830864164,0.96576621018972,0.9115007844588081,0.05076221334988254,0.630536222485141,-0.09810116973320931,-0.1707449714593135,0.27447790468419775,0.058274093937563456,0.3500306376547353,0.36830885135506836,0.33327276309141224,0.3649291113229308,0.22685055730298803,0.20539431934193203,0.3179601139609785,0.29083394159538434,0.078161193717315,0.2980000577873617,0.28766188874828025,0.07428288758894776,0.35998068389261917,0.2438620017765217,0.1170079830692496,0.31349530026071404,0.27447790468419775,0.058274093937563456,0.3688931130132813,0.27447790468419775,0.058274093937563456,0.3745756180348057,0.6567753408559192,-0.3391640491738712,-0.11802865630729202,0.24223206348589443,0.026492311651777685,0.2789451253675899,0.23859044460538698,0.2271802561892511,0.16003505184844463,0.19638430943400179,0.1765841671594277,0.1434824337198739,0.2881241463219487,0.06412875084919391,0.3826622906441395,0.26455527116475525,0.03929187758759567,0.307770837663562,0.23124058777027443,0.06715845570795381,0.2718937113181371,0.24223206348589443,0.026492311651777685,0.31282486649429603,0.24223206348589443,0.026492311651777685,0.31296023715624177,-0.07637790107372339,-0.04904318216379742,-0.08678594731638961,-0.05332660109742898,0.26443630590292677,0.2594589766253911,0.0037803526659967593,0.007795060514549474,-0.24210881041787335,-0.19200859904929582,-0.11613189686890231,-0.23356921414221174,-0.519806593426041,0.6009954523463378,0.5855031861406006,0.6063723789081019,0.28569948762169833,0.09206211851904476,0.6024094958609219,0.5810157232601864,-0.034034131607957076,-0.09947204881552528,0.22128155191651167,-0.1345895427690387,-0.0682007564391855,-0.07611500281455588,-0.08853896657553538
mlw,-0.10078767062914029,0.5607708996471583,0.9986259522999681,1.0,0.9989408192531386,0.9953604868430379,0.214446994400285,0.9652099176579856,0.8970500080800701,0.9946055660970029,0.9556807779405508,0.9510010200820158,0.9931615619169722,0.9831535356153469,0.9930850623626418,0.9938268592919194,0.9914361971642729,0.9224670923157213,0.9779989913862308,-0.862436015954129,0.6017479676392047,-0.36511907156652373,-0.7840620722146673,-0.8496519483213696,0.9683023396639864,0.9588836617418602,0.8425832626632848,0.8444187600033474,-0.6364546816318039,-0.923479368895864,0.5403240686007278,0.9986259522999681,1.0,0.9989408192531386,0.9953604868430379,0.214446994400285,0.9652099176579856,0.8970500080800701,0.05289422516692712,0.6305612330435882,-0.0983620557092217,-0.16843103971847073,0.274451880483482,0.057422655171615385,0.3516583827138236,0.36910303346475365,0.3335625033879117,0.3665898104169262,0.2286955695913861,0.206264530377686,0.31816673330964945,0.2913595996881693,0.07733200114039587,0.29887314104552515,0.2880523396537369,0.073348112555497,0.36222039045626503,0.24441596297883916,0.11543191496326405,0.31556603141980416,0.274451880483482,0.057422655171615385,0.37086932288542973,0.274451880483482,0.057422655171615385,0.37637473195178417,0.6553224024505633,-0.3395964285433447,-0.11450842545284148,0.24176064161187963,0.0279467336548914,0.27944420619048915,0.23984842011519647,0.22918633260654803,0.16294198661473314,0.19761978185418735,0.17844319599525008,0.14562681571375127,0.28771233913105915,0.06551949504977554,0.3839620694488837,0.26446116546970944,0.04079411114568112,0.3096230204383355,0.23225538684729505,0.06744249976229198,0.27415178107828164,0.24176064161187963,0.0279467336548914,0.31402752899222625,0.24176064161187963,0.0279467336548914,0.31403622044159846,-0.07701669386029643,-0.04992955570962947,-0.0874492338753246,-0.05425537049169155,0.26645540606584306,0.2613629198485816,0.0036411911312762683,0.007459542173728528,-0.24304137413729493,-0.19206392315900458,-0.11788197963749608,-0.23685669249094868,-0.5222293288688177,0.6002565546965939,0.5827540162550066,0.6055626446876057,0.2829792618194885,0.09107277160980716,0.6013206541662455,0.5778538498863356,-0.03462942101326215,-0.09922632252749829,0.2208963533751975,-0.13404570781686917,-0.06815714203123664,-0.07659744737626736,-0.08848550156461418
oew,-0.09924187938986301,0.5585664008062183,0.998727046921977,0.9989408192531386,1.0,0.9937992543263509,0.21627018170433474,0.9695354361176244,0.9086554420439854,0.9933426136204385,0.9584492601562434,0.9536858614519781,0.9921563800613892,0.9865862026189695,0.9942231895612839,0.9965055067424431,0.9931122473297419,0.9112074542337261,0.9817366783923394,-0.8727396454856295,0.5982254460320446,-0.35307450660893613,-0.7789459259494299,-0.8444500635722512,0.9728318532865697,0.9667305007408592,0.8286290939751522,0.8386848400481517,-0.6162376156423254,-0.9311092179218062,0.5257801756946623,0.9987270469219771,0.9989408192531386,1.0,0.9937992543263509,0.21627018170433474,0.9695354361176244,0.9086554420439854,0.05479616802936841,0.6283879641092626,-0.1074427284753945,-0.16496161896573464,0.27465840230210226,0.05833044382377467,0.3530093774855965,0.3712376554468771,0.3344938776516177,0.37088376232958603,0.23068609277620897,0.2066510672052555,0.3189360672075145,0.2918592076716693,0.07877173596225684,0.2982844443232734,0.28857553877672676,0.07487588970429132,0.3648440639427052,0.24816290686005632,0.11334732945374176,0.3201408379972486,0.27465840230210226,0.05833044382377467,0.3721424106019564,0.27465840230210226,0.05833044382377467,0.3779006543089632,0.6551703705641501,-0.349047675819607,-0.11087874308520455,0.24384384426616146,0.029985524985526108,0.28267766208051065,0.24208611891026288,0.22862687149446423,0.1649483840591639,0.2033215853661926,0.1801438921605355,0.14415420584790087,0.2893841448604716,0.067487947593907,0.3835290068813951,0.2665767081660243,0.04313530444350471,0.3134914512670482,0.23868108785559097,0.06551448817274376,0.2805872015849737,0.24384384426616146,0.029985524985526108,0.3166714996122188,0.24384384426616146,0.029985524985526108,0.3168369943504703,-0.07717210557964466,-0.049686059422994845,-0.08774715230717754,-0.053944893769507424,0.2701183933654733,0.2656509859661259,0.0052051843290762765,0.008131528285967823,-0.24545100795057506,-0.19956640305889142,-0.11807617369265336,-0.23988117847373305,-0.526369533135932,0.6052591037332685,0.5896755595852812,0.6105468259090838,0.28378443639112866,0.09111351947273617,0.6073191094151379,0.584900721932599,-0.03441800351556085,-0.09904024589131623,0.22240848030450125,-0.1351824997928177,-0.06828458256116743,-0.07671585299360117,-0.09029258777506843
mfc,-0.1031915545550005,0.5523807710227513,0.9926054512856461,0.9953604868430379,0.9937992543263509,1.0,0.23074629837805224,0.9607743312274595,0.8782195785278252,0.992396731132435,0.9407345182304443,0.9335226600825002,0.980993520663024,0.9832801938153358,0.9929620121702312,0.9891018577388396,0.9889826808935837,0.9452800681435917,0.9758637821711887,-0.8401780541275414,0.6227517118145212,-0.3911508492760513,-0.7790137620332781,-0.8481558651239124,0.9602515031684371,0.9571824957238045,0.8164191493458909,0.8267399942278506,-0.6050848985465714,-0.9254214115198149,0.5961171251654152,0.9926054512856461,0.9953604868430379,0.9937992543263509,1.0,0.23074629837805224,0.9607743312274595,0.8782195785278252,0.06447949367142485,0.6048031567396983,-0.09673354214729513,-0.15042013714654873,0.264474482923002,0.0375515759415202,0.3515875616668967,0.35777865367307726,0.3232739139002533,0.3748631679259151,0.2198501422535807,0.19780212445125653,0.31423247509339525,0.2799453774639112,0.055700812701612916,0.29702121859329356,0.2792233376526025,0.05200424429613018,0.36562138767786295,0.2326048622376248,0.09530352561976503,0.31760254834205814,0.264474482923002,0.0375515759415202,0.373223398563661,0.264474482923002,0.0375515759415202,0.37781578188879555,0.6270660499501463,-0.3229872454513083,-0.09275258337812411,0.23398722861775434,0.0120266974323455,0.2830028038025048,0.2386254327386182,0.22755464381133184,0.18666036704085084,0.18881434115312837,0.17128791232827148,0.15475408777125654,0.2771192580661507,0.04736927074051835,0.381705759938955,0.2570613158465837,0.02388864115483203,0.31484489187947967,0.22166517791947873,0.05189689701494337,0.2771090600808547,0.23398722861775434,0.0120266974323455,0.31843977388460804,0.23398722861775434,0.0120266974323455,0.3179701217540914,-0.07784804831244092,-0.05091736024899081,-0.08799986630345108,-0.05505909249044598,0.2673331493528249,0.2622604407128519,0.0037325163754147414,0.005567628024638495,-0.24114271280598623,-0.18875810392355635,-0.11701751170525199,-0.23591648627878134,-0.5170040483142545,0.5950303018170244,0.5745377794168366,0.6002170068116645,0.27765903481246346,0.08996560624144125,0.596982596626728,0.5704761291503034,-0.035380187906490355,-0.09727122981677137,0.21739759945618065,-0.12822284218725757,-0.06613962235775395,-0.07747721440088974,-0.09259428583918757
vmo,-0.12800985576242085,0.07250146065476509,0.20519445830864164,0.214446994400285,0.21627018170433474,0.23074629837805224,1.0,0.42408766833345307,0.39038479643342994,0.2036242097449983,0.08563410063253866,0.04647976576805192,0.1722836344165686,0.2930805639599429,0.27811420162537415,0.23160212613106693,0.24960240284925655,0.22088239992601214,0.3651166598092004,-0.4943423476705453,0.32613965539149326,-0.1541507823159811,-0.2560019077790868,-0.2580006912225242,0.3632996734172268,0.3333291710206484,-0.16190041936107877,0.079583510672152,0.3629325626636663,-0.32181610253866294,0.38718055826484005,0.20519445830864164,0.21444699440028497,0.21627018170433449,0.23074629837805222,1.0,0.42408766833345307,0.39038479643342994,0.2798522077019058,0.07632738516041625,-0.04609685063543181,0.2148396496922526,0.17078963779192252,-0.057413808996131854,0.14495645235584811,0.1644660156197006,0.17491906826049466,0.18354127643753038,0.15743591974876106,0.16137942053163487,0.13488167514880162,0.192431363227638,-0.034690233290472466,0.14132227066919306,0.1797006295508284,-0.0615568778166531,0.15572754707161468,0.18797033080010386,-0.07982839843725678,0.146885239524718,0.17078963779192252,-0.057413808996131854,0.1535194650151088,0.17078963779192252,-0.057413808996131854,0.14944985407273922,0.05590580450444352,-0.112935855625342,0.2801263027772142,0.19016578097242356,-0.03803716748111627,0.10950954133664516,0.16871617719897217,0.17607952252693818,0.12549125046225373,0.17024977851904263,0.1666190254307307,0.1918790897700918,0.20909417666399283,-0.018313732125256287,0.15822749735775707,0.19749507548447837,-0.03914194192550403,0.12764053620814916,0.2042287216314993,-0.053886018795971734,0.11717880425501699,0.19016578097242356,-0.03803716748111627,0.12069632808297931,0.19016578097242356,-0.03803716748111627,0.11777500028843509,-0.024049417860352935,-0.018799700415593146,-0.029444748588370456,-0.020342916671042627,0.15116645048425464,0.1512817053766327,0.008610587650546637,-0.017007237490375398,-0.10070192317618971,-0.033659855946555,-0.04285050828249564,-0.14722041316212006,-0.262428239466219,0.12794245192452514,0.20794324123006933,0.12876641171490177,0.057616340784033826,0.011663829723599771,0.13975453905374025,0.2089326002813715,-0.01265584320898812,-0.039434316774065024,0.05971104550483566,-0.014850067058571538,-0.027574944468671477,-0.023872947731017717,-0.028329694148999898
mmo,-0.12486751651193799,0.5306522391610399,0.96576621018972,0.9652099176579856,0.9695354361176244,0.9607743312274595,0.42408766833345307,1.0,0.9567800587610863,0.9529968492584375,0.9088285344610957,0.8925900124406728,0.951735970448327,0.9767141101825475,0.9786406328080791,0.9759236664285991,0.9721917249708302,0.8620061209240918,0.9947407077332566,-0.9454490460507651,0.6246750873356252,-0.3619662145841634,-0.7830928437233338,-0.8445765371372701,0.9928216077656642,0.9678318544761453,0.7207260692735071,0.8156593320365805,-0.46091441148689666,-0.9472172835017426,0.5213561545661621,0.9657662101897202,0.9652099176579855,0.9695354361176245,0.9607743312274595,0.42408766833345307,1.0,0.9567800587610863,0.11784683400612128,0.6114510815964503,-0.11574068311573647,-0.1046061121927533,0.2912037732561793,0.04316269448650845,0.3544570007888584,0.3861235629980341,0.3554596908291319,0.3857358786209816,0.24794271164710183,0.22935406581506015,0.32600966938396797,0.3177211385481051,0.07164198102202374,0.31071896951086225,0.30688057688002957,0.05918380091433874,0.36960358742201205,0.2745363169483504,0.08583156493046289,0.32924681305426223,0.2912037732561793,0.04316269448650845,0.37316030096493036,0.2912037732561793,0.04316269448650845,0.37821000770444296,0.6328176257631051,-0.3572305708418459,-0.040543067123240524,0.2767252700248214,0.01675557758825482,0.28259043539694395,0.2666230258979195,0.2539571191640581,0.17120430814598317,0.23200084042504157,0.20742291987302097,0.16822884905148666,0.32591182318068673,0.058190035869627364,0.39016906302824544,0.29905152432727383,0.028910574946111812,0.31444703301433213,0.27467107118535744,0.046463913363673566,0.2825747904560443,0.2767252700248214,0.01675557758825482,0.31592835661572527,0.2767252700248214,0.01675557758825482,0.31569537170640105,-0.07770334508943037,-0.049646519852956345,-0.08920135695634249,-0.0539179718598415,0.29205410917627794,0.2879810870771416,0.00727744963647995,0.0045502782391756025,-0.25325693607158845,-0.19630974004598695,-0.11987030615749462,-0.2561874939623932,-0.5518441336893031,0.597767622685919,0.6018691543406866,0.6028818439098445,0.279631621229467,0.08834470543007937,0.6023037582618275,0.5972694082371125,-0.034001600161141246,-0.10138307945989714,0.22325649234331466,-0.13189132331826625,-0.07181121489288109,-0.07729596366601094,-0.09107207226835347
ceiling,-0.10230102353198796,0.5194278900094997,0.9115007844588081,0.8970500080800701,0.9086554420439854,0.8782195785278252,0.39038479643342994,0.9567800587610863,1.0,0.888281264188311,0.9092222463691338,0.893307167476759,0.8911712003423139,0.9236969706541063,0.904951703475306,0.9149292678407406,0.8925833793615155,0.7509529432876304,0.9461539554851941,-0.9788254915751304,0.6680758620130057,-0.2569505303248759,-0.6678430911172518,-0.7557366306992975,0.9452384154898228,0.9032683171735861,0.6507134582528344,0.8143936856725777,-0.35653524077643156,-0.8668099063123682,0.28149002394041284,0.9115007844588084,0.8970500080800705,0.9086554420439856,0.8782195785278245,0.39038479643342977,0.9567800587610861,1.0,0.10528624911734218,0.5951828066604137,-0.11863728100788172,-0.11166297675949913,0.286167617997589,0.05810205264136226,0.3254688576116893,0.3743584381215124,0.34796854944495426,0.35421411232505096,0.23616571850089976,0.22384608858287805,0.30936292551979255,0.31196884957019644,0.08882632937524372,0.29023203127284397,0.2987592400547586,0.07512865641249533,0.33562424398533225,0.2731987094444211,0.0979387677750598,0.30144551007750187,0.286167617997589,0.05810205264136226,0.33992576578680234,0.286167617997589,0.05810205264136226,0.34624616465683056,0.6232847151977398,-0.35961801173697777,-0.05784700097680999,0.27947718945136807,0.01994781783675398,0.26033328862294647,0.2529652951863301,0.2360694690532607,0.12771891620534465,0.23034763247475132,0.19966341140981336,0.14207670504504943,0.32758445115432255,0.06162300787587283,0.3619350865341267,0.29837845474634667,0.03188146223904305,0.28350749889716187,0.2751538155305294,0.05062175863240129,0.2548966564546972,0.27947718945136807,0.01994781783675398,0.2879447645254497,0.27947718945136807,0.01994781783675398,0.28866182913984495,-0.0700623983840892,-0.042093789053573034,-0.08141439566365244,-0.04593056690422102,0.27348515838698323,0.27046460954542256,0.008543296993165122,0.007459777874006056,-0.2397850429764711,-0.19345767602486125,-0.10705576922582408,-0.23249463031792053,-0.5219976017214784,0.574868180757795,0.5936423715670582,0.580037179150472,0.2808460553233935,0.08854624157383699,0.5806466451842865,0.5908822826868823,-0.02877749157556178,-0.09901882971243663,0.21729810270249814,-0.1324865210487251,-0.0709287950376078,-0.07032732481126089,-0.08420744540802805
pax_max,-0.0934632130164753,0.5577778264644988,0.9951953549376078,0.9946055660970029,0.9933426136204385,0.992396731132435,0.2036242097449983,0.9529968492584375,0.888281264188311,1.0,0.9677763499731707,0.9632959588045032,0.9884259358543094,0.980314001919635,0.9827213540107237,0.9832821281733662,0.9783591933050838,0.9341313672281961,0.971152126340261,-0.8449992648369651,0.6245128959972777,-0.3718272285465706,-0.7540246578506493,-0.8382731315702079,0.9515951580133827,0.9500983729164756,0.8265219098332732,0.8362534862110418,-0.6146701970869239,-0.8988337977213576,0.5422525214535346,0.9951953549376078,0.9946055660970029,0.9933426136204387,0.992396731132435,0.20362420974499823,0.9529968492584378,0.8882812641883115,0.05446867963735615,0.6228482393811268,-0.09023775299547519,-0.17106199556267848,0.26938183793452614,0.05468433466349878,0.3483367489899057,0.3619008073039153,0.32559506120954296,0.36333761062299413,0.22431332024581943,0.20038806617144325,0.31743638390013384,0.28344150890586667,0.07203343189580222,0.29772741423909654,0.2832934257485609,0.06987488856468423,0.3609250978172923,0.2380764412417326,0.11389159103403801,0.3137186195463487,0.26938183793452614,0.05468433466349878,0.3697782412044597,0.26938183793452614,0.05468433466349878,0.3747718032692208,0.6480427030189507,-0.3250012628981699,-0.11823813014036827,0.23197388344468164,0.02452087095979606,0.2767211955135468,0.23420462016409052,0.22303940252542206,0.1682611212841828,0.18872547577195992,0.1701284325107084,0.14978496729332816,0.2756928487789245,0.06015422284289091,0.38213834776001754,0.2552798281950738,0.037399261365808054,0.3088190958396108,0.2212134654810087,0.06492231686114949,0.272326347915983,0.23197388344468164,0.02452087095979606,0.3124571175730801,0.23197388344468164,0.02452087095979606,0.3123330953793302,-0.07622275238504465,-0.04984351450469772,-0.08593560800897833,-0.05407455551450794,0.2590891052234012,0.25390168504873534,0.0030269058220183994,0.006376173676869121,-0.2380612830717188,-0.18471013438563993,-0.11385017633177302,-0.23169561168462302,-0.511932070531956,0.5882613682065803,0.5729391821992456,0.5934591681732351,0.27748295534796036,0.0890363737376032,0.5898858268842788,0.5688544730653068,-0.03519103694605083,-0.09970764482754536,0.21884380004814794,-0.13075898052601997,-0.06625473360038348,-0.07572202024734555,-0.08978320746955258
