origin_icao,destination_icao,average_load_factor
CYEG,EHAM,0.5
CYUL,DTTA,0.5
CYUL,MSLP,0.46986918292944463
CYUL,SKBO,0.37767907501410036
CYVR,EHAM,0.5
CYVR,NFFN,0.3545359749739312
CYVR,RCTP,0.5
CYVR,ZUTF,0.5
CYYC,EHAM,0.5
CYYZ,HECA,0.47834890965732085
CYYZ,MSLP,0.4671776105286882
CYYZ,SKBO,0.5787352022126641
DTTA,CYUL,0.5
EBBR,DNMM,0.5
EBBR,EDDP,0.46153846153846156
EBBR,HECA,0.5
EBBR,LUKK,0.5
EBBR,ZUTF,0.6232814594928673
EBCI,LTFJ,0.5
EBLG,LLBG,0.5
EBLG,VHHH,0.5
EBLG,ZHCC,0.4047619047619047
EBOS,LTFM,0.5
EDDF,KJFK,0.4113547042795228
EDDF,LTFJ,0.5
EDDF,OJAI,0.5
EDDF,RCTP,0.5
EDDF,ZUTF,0.5
EDDH,LTFJ,0.6250000000000001
EDDK,LTAC,0.5
EDDK,LTAU,0.5
EDDK,LTCA,0.5
EDDK,LTDB,0.5
EDDK,LTFJ,0.38822751322751337
EDDL,LTAC,0.5
EDDL,LTAJ,0.5
EDDL,LTAU,0.5
EDDL,LTCB,0.5
EDDL,LTCG,0.5
EDDL,LTDB,0.5
EDDL,LTFJ,0.6794219417870954
EDDM,EHAM,0.5
EDDM,LTFJ,0.5
EDDM,LUKK,0.5
EDDP,EBBR,0.5845891974195017
EDDP,EHAM,0.5191001514168289
EDDP,KJFK,0.43164692206837674
EDDP,LEMD,0.5
EDDP,OBBI,0.5
EDDP,VIDP,0.5249438202247191
EDDS,LTFJ,0.6548672566371682
EDDV,LTFJ,0.5399999999999997
EDFH,LUKK,0.5
EFHK,EBBR,0.6538461538461539
EFHK,EDDF,0.4021274752332222
EFHK,EHAM,0.5
EFHK,LTFJ,0.5
EGBB,LTFJ,0.5133333333333333
EGCC,LTFJ,0.35585419734904267
EGCC,LUKK,0.38223234624145785
EGCC,OJAI,0.4166666666666667
EGFF,EPWR,0.5
EGGD,LTFJ,0.5958333333333333
EGGW,LBBG,0.5
EGGW,LBPD,0.5
EGGW,LRBC,0.4020349697396687
EGGW,LRCK,0.5
EGGW,LRSV,0.5
EGGW,LUKK,0.3064189189189189
EGHQ,EGBB,0.5
EGKK,LCLK,0.5
EGKK,LCPH,0.5
EGKK,ZSPD,0.5
EGLL,EHAM,0.5
EGLL,OJAI,0.5
EGLL,SKBO,0.5560503789796389
EGLL,UAAA,0.5
EGLL,VIDP,0.5583333333333333
EGLL,ZGSZ,0.5808823529411765
EGPH,LTFJ,0.5102836879432624
EGPH,OMDB,0.8156064119366871
EGSS,LGIR,0.5
EGSS,LTFJ,0.5362103174603174
EGSS,LUKK,0.4131240731586752
EGVN,KAUS,0.5
EHAM,CYUL,0.5
EHAM,CYVR,0.545662100456621
EHAM,CYYC,0.42857142857142866
EHAM,CYYZ,0.42276422764227634
EHAM,EDDP,0.5
EHAM,EGLL,0.5
EHAM,EPWA,0.5
EHAM,KATL,0.5604575163398692
EHAM,KAUS,0.5
EHAM,KDTW,0.5
EHAM,KIAD,0.46900003908816845
EHAM,KIAH,0.35
EHAM,KLAS,0.5
EHAM,KMIA,0.5
EHAM,KMSP,0.5
EHAM,KPDX,0.3900709219858156
EHAM,KSFO,0.5
EHAM,KSLC,0.5
EHAM,LHBP,0.5
EHAM,LPPT,0.31839250999191
EHAM,LROP,0.5532051282051283
EHAM,LTFM,0.5499999999999998
EHAM,LUKK,0.5161483253588517
EHAM,MMMX,0.5
EHAM,MPTO,0.5
EHAM,OJAI,0.5
EHAM,OMDB,0.5
EHAM,OMDW,0.5638766519823786
EHAM,RCTP,0.5
EHAM,RJAA,0.257859207927648
EHAM,RKSI,0.5
EHAM,SAEZ,0.5
EHAM,SBGL,0.5157232704402516
EHAM,SBGR,0.35894268774703564
EHAM,SEQM,0.5
EHAM,SMJP,0.5097680097680096
EHAM,SPJC,0.6205128205128205
EHAM,TNCA,0.44623655913978494
EHAM,TNCC,0.5309278350515463
EHAM,TNCM,0.6124031007751938
EHAM,VABB,0.5
EHAM,VHHH,0.5
EHAM,VOBL,0.5
EHAM,VTBS,0.3464052287581692
EHAM,WMKK,0.5
EHAM,ZBAA,0.5
EHAM,ZSPD,0.5
EHEH,LTFJ,0.5
EIDW,EGSS,0.5
EIDW,HECA,0.631944444444444
EIDW,LROP,0.5
EIDW,LTFJ,0.25054112554112556
EIDW,LUKK,0.4737909640470888
EKCH,LTFJ,0.5
ENBR,EHAM,0.5
ENGM,LTFJ,0.5
ESSA,LTFJ,0.5
FACT,KATL,0.515850144092219
FAOR,KATL,0.45022123893805305
HECA,CYYZ,0.5
HECA,EBBR,0.5473061269146609
HECA,EGLL,0.5
HECA,EIDW,0.5042567346123542
HECA,KEWR,0.6216216216216216
HECA,KIAD,0.5
HECA,KJFK,0.3621774701069854
HECA,ZSPD,0.5
HKJK,EHAM,0.515686274509804
KATL,FACT,0.5
KATL,FAOR,0.5969164082832097
KATL,KBOS,0.3200216090425532
KATL,KMCO,0.5
KATL,KMSP,0.36231884057971014
KATL,LEBL,0.5
KATL,RKSI,0.3892423366107577
KAUS,EGVN,0.5
KAUS,EHAM,0.5
KAUS,KDTW,0.5
KAUS,KEWR,0.30937499999999996
KAUS,KFLL,0.5
KBFM,KMEM,0.5
KBGR,KLAX,0.5
KBGR,LFPB,0.5
KBNA,KBOS,0.6048510028714005
KBNA,KEWR,0.5
KBNA,KTPA,0.5
KBOS,EGLL,0.5
KBOS,KATL,0.4765585687042436
KBOS,KBNA,0.5652210795443233
KBOS,KBWI,0.6604311361565123
KBOS,KCHS,0.6
KBOS,KCLT,0.5416666666666665
KBOS,KDFW,0.5
KBOS,KDTW,0.6470588235294118
KBOS,KFLL,0.6179766017482539
KBOS,KIAH,0.5
KBOS,KLAX,0.5
KBOS,KMCO,0.5158766266806787
KBOS,KMEM,0.5
KBOS,KMIA,0.5378758312652467
KBOS,KMSY,0.46551724137931033
KBOS,KMYR,0.614941536553163
KBOS,KORF,0.7674835624626419
KBOS,KPHL,0.5
KBOS,KRSW,0.5374844379131422
KBOS,KSEA,0.5
KBOS,KTPA,0.5777335913694429
KBOS,MDSD,0.5
KBOS,MSLP,0.44790523529791487
KBOS,SBGR,0.5
KBOS,TJSJ,0.6354081875207627
KBWI,KBOS,0.46887267436656455
KCHS,KBOS,0.5319260132142721
KCHS,KEWR,0.5
KCLT,KBOS,0.5
KCLT,KDFW,0.5
KCLT,KEWR,0.5
KCLT,KFLL,0.5
KCLT,KLGA,0.5
KCLT,KMCO,0.5
KCLT,MMGL,0.4603655603655603
KCOS,KDEN,0.5
KCVG,EDDP,0.49612403100775193
KCVG,LIMC,0.31212121212121213
KDEN,MMCU,0.3493827160493827
KDEN,MMGL,0.4630626817289351
KDEN,MMMX,0.5
KDEN,MMMY,0.42857142857142855
KDFW,KBOS,0.5
KDFW,MMGL,0.528061224489796
KDFW,MMMM,0.5535714285714286
KDFW,MMMX,0.5
KDFW,MMMY,0.40625
KDFW,MMSP,0.41216057431523445
KDFW,MSLP,0.3736501079913607
KDFW,NFFN,0.259839151266256
KDFW,SKBO,0.5
KDOV,LLNV,0.5
KDTW,KAUS,0.3875352118090085
KDTW,KBOS,0.5631098473858295
KDTW,KFLL,0.5
KDTW,KLAX,0.5
KDTW,KMCO,0.5
KDTW,KMSP,0.43533198682484037
KDTW,KTPA,0.5
KEWR,HECA,0.5
KEWR,KAUS,0.5
KEWR,KCLT,0.5
KEWR,KFLL,0.5
KEWR,KGSO,0.5
KEWR,KLAS,0.48732462865630616
KEWR,KLAX,0.5
KEWR,KMCO,0.5
KEWR,KORD,0.47222222222222215
KEWR,MMGL,0.7157434402332361
KEWR,MSLP,0.6157407407407408
KEWR,VIDP,0.5
KFAT,MMGL,0.5700786506984581
KFAT,MMLO,0.4441123015846948
KFAT,MMMM,0.503874173430836
KFLL,KAUS,0.5
KFLL,KBOS,0.4168792676274784
KFLL,KCLE,0.5
KFLL,KEWR,0.5
KFLL,KLGA,0.5
KFLL,MNMG,0.6067913385826772
KFLL,SBKP,0.5
KFLL,SKBO,0.5
KFLL,SKRG,0.5347313237221494
KIAD,EGLL,0.5
KIAD,HECA,0.5
KIAD,KEWR,0.5
KIAD,MGGT,0.514998800095992
KIAD,MROC,0.4839802914309047
KIAD,MSLP,0.44165686619573785
KIAD,SKBO,0.6174309807954872
KIAH,KDFW,0.5
KIAH,KLAX,0.5
KIAH,MMGL,0.7592645630861221
KIAH,MMMM,0.5
KIAH,MMMY,0.4333333333333333
KIAH,MSLP,0.5
KJFK,EBBR,0.5
KJFK,EDDP,0.49220712291196905
KJFK,HECA,0.5183524796861865
KJFK,KMIA,0.3678618857901727
KJFK,LLBG,0.48909657320872274
KJFK,LROP,0.3584834834834835
KJFK,MGGT,0.6702081415195813
KJFK,MHLM,0.5119416339734325
KJFK,MMGL,0.6055806938159879
KJFK,MSLP,0.4426363263871941
KJFK,SEGU,0.3453201182167769
KJFK,SEQM,0.3872613977365313
KJFK,SKBO,0.25629976678467276
KJFK,SKCG,0.704677902031816
KJFK,SKCL,0.326751878175528
KJFK,SKPE,0.5557108626198083
KJFK,SKRG,0.31186525552011635
KJFK,VIDP,0.24126984126984125
KLAS,EHAM,0.5
KLAS,KBUR,0.5
KLAS,KCLT,0.5
KLAS,KEWR,0.6384180790960451
KLAS,KMSY,0.5
KLAS,KOAK,0.5
KLAS,KPDX,0.5
KLAS,KSEA,0.5
KLAS,KTPA,0.5
KLAS,MMGL,0.5440303097800531
KLAX,EHAM,0.5
KLAX,KATL,0.5
KLAX,KAUS,0.5
KLAX,KDTW,0.5
KLAX,KIAH,0.5
KLAX,KMIA,0.335973597359736
KLAX,LIRF,0.39999999999999997
KLAX,MGGT,0.23841092118394888
KLAX,MMAS,0.41393376838601054
KLAX,MMGL,0.5
KLAX,MMLO,0.46600166031509477
KLAX,MMMM,0.4805194805194805
KLAX,MMMY,0.7238643554006968
KLAX,MMOX,0.375
KLAX,MMQT,0.5
KLAX,MMZC,0.5361700543424505
KLAX,MSLP,0.7484692477940736
KLAX,NFFN,0.43206432844611226
KLAX,NZAA,0.2139389736477115
KLAX,RCTP,0.6292974588938713
KLAX,RJTT,0.5
KLAX,YSSY,0.32090482782825724
KLAX,ZSHC,0.5
KLAX,ZSPD,0.5
KLAX,ZSWX,0.4673913043478261
KLAX,ZUTF,0.34261173647803556
