origin_icao,destination_icao,average_load_factor
CYUL,DTTA,0.012380902677078122
CYUL,MSLP,0.16292929649692325
CYUL,SKBO,0.1638850928509182
CYVR,RCTP,0.18833100733905553
CYYZ,MSLP,0.2339363321414038
CYYZ,SKBO,0.19212340688637508
DTTA,CYUL,0.07175745362601603
EBBR,DNMM,0.23494306799363118
EBBR,EDDP,0.2998376415292878
EBBR,LUKK,0.2768354619992213
EDDF,KJFK,0.31323753879230615
EDDF,OJAI,0.19151944732314102
EDDF,RCTP,0.39253209173289666
EDDM,EHAM,0.3333333333333333
EDDM,LUKK,0.26277676802405897
EDDP,EBBR,0.3193553373959916
EDDP,EHAM,0.2666763727146344
EDDP,KJFK,0.412398639286433
EDDP,LEMD,0.507362871790833
EDDP,OBBI,0.32099583514715
EDDP,VIDP,0.29992820988676683
EDFH,LUKK,0.20661593337596143
EFHK,EHAM,0.10585702240784589
EGCC,LUKK,0.2927195103987023
EGCC,OJAI,0.20259510031979663
EGFF,EPWR,0.26453635932813824
EGGW,LBBG,0.15398186559663013
EGGW,LBPD,0.04064698035747049
EGGW,LRBC,0.43938665866721055
EGGW,LRCK,0.1646133409480242
EGGW,LRSV,0.049102063719210526
EGGW,LUKK,0.28296470589292944
EGKK,LCLK,0.20251682509657074
EGKK,LCPH,0.21119830979199855
EGLL,EHAM,0.7761110493580143
EGLL,OJAI,0.29200271105335274
EGLL,UAAA,0.4266330013821231
EGLL,VIDP,0.21624255594231281
EGPH,OMDB,0.25800003075952305
EGSS,LGIR,0.22819022145507697
EGSS,LUKK,0.19859634359120995
EGVN,KAUS,0.3115722964035296
EHAM,CYUL,0.23495883435835355
EHAM,CYYC,0.2100383909254771
EHAM,CYYZ,0.3983236869781288
EHAM,EDDP,0.37795151016236445
EHAM,EGLL,0.31505649330521984
EHAM,EPWA,0.4778900281740841
EHAM,KATL,0.3195055284992903
EHAM,KAUS,0.7035607448463524
EHAM,KDTW,0.33388712395175535
EHAM,KIAD,0.4221278917631706
EHAM,KIAH,0.3555155596633677
EHAM,KMIA,0.3818260303579987
EHAM,KMSP,0.23330627377928537
EHAM,KPDX,0.4753280774692768
EHAM,KSLC,0.3471535529947699
EHAM,LHBP,0.31326397761683106
EHAM,LPPT,0.1747846452256861
EHAM,LROP,0.4877703191204613
EHAM,LTFM,0.4755994027493462
EHAM,LUKK,0.29131758453853906
EHAM,MMMX,0.3338487436273138
EHAM,OJAI,0.2269032533077001
EHAM,OMDB,0.3542660310534189
EHAM,OMDW,0.41471910449336313
EHAM,RCTP,0.24821953128316632
EHAM,RJAA,0.4817446909204147
EHAM,RKSI,0.27204259744077275
EHAM,SBGL,0.2644056559221324
EHAM,SBGR,0.3138684340468997
EHAM,SMJP,0.402678064243582
EHAM,TNCA,0.461390602426291
EHAM,TNCC,0.3499720327727656
EHAM,TNCM,0.4393126729364486
EHAM,VABB,0.22384803147724056
EHAM,VHHH,0.26065823244706704
EHAM,VOBL,0.23711075946276916
EHAM,VTBS,0.2756470616662679
EHAM,WMKK,0.24595304514410063
EHAM,ZBAA,0.22048246270615626
EHAM,ZSPD,0.2842091207287265
EIDW,LROP,0.1741229310910616
EIDW,LUKK,0.19237903543006318
ENBR,EHAM,0.024272437757995303
